Eames Demetrios,Tom Wujec,Sophal Ear,Olafur Eliasson,Iraola,isPartial
0,0,12,52,23,False
0,12,0,17,17,False
0,0,0,50,28,False
0,0,0,39,22,False
0,0,0,34,14,False
10,10,0,48,19,False
0,0,0,30,20,False
0,0,0,28,37,False
0,0,0,26,25,False
0,0,0,57,17,False
0,0,0,26,9,False
0,0,0,20,12,False
0,7,0,21,21,False
0,0,0,15,22,False
6,0,0,25,9,False
0,0,0,25,14,False
0,0,0,25,18,False
0,6,6,13,19,False
0,0,0,10,22,False
6,0,0,9,12,False
0,0,0,11,19,False
0,0,0,10,26,False
0,0,0,34,21,False
0,0,0,31,20,False
0,0,0,41,16,False
0,5,0,28,16,False
4,4,0,26,33,False
0,0,0,30,19,False
0,4,4,22,29,False
4,0,0,20,31,False
4,0,0,25,27,False
0,0,0,19,17,False
0,0,0,18,11,False
0,0,0,30,10,False
0,3,0,38,21,False
0,0,0,24,20,False
3,0,0,27,16,False
0,6,3,38,23,False
0,0,0,24,23,False
0,3,0,25,17,False
0,2,0,17,18,False
4,0,2,26,16,False
0,0,0,18,23,False
0,0,0,21,18,False
16,2,0,30,24,False
2,2,0,46,18,False
0,0,0,38,18,False
0,0,0,20,22,False
0,0,0,45,18,False
2,2,0,35,19,False
0,0,2,32,22,False
3,0,0,38,23,False
2,2,2,48,19,False
0,2,0,88,10,False
0,2,0,62,13,False
2,0,2,33,29,False
0,2,2,49,27,False
1,1,0,36,25,False
2,2,2,33,24,False
0,0,0,19,27,False
0,0,1,25,21,False
1,1,1,35,23,False
0,0,0,27,24,False
1,1,0,34,25,False
1,0,0,32,26,False
0,0,0,33,25,False
3,3,0,20,23,False
3,1,0,22,24,False
1,1,0,33,30,False
0,0,1,29,25,False
1,1,1,37,33,False
0,2,2,20,27,False
2,2,1,29,25,False
0,1,1,34,18,False
1,2,0,37,19,False
1,6,2,52,21,False
1,3,2,55,19,False
0,2,0,39,21,False
0,1,1,38,15,False
1,1,2,44,18,False
1,4,0,21,20,False
1,2,2,27,24,False
1,2,2,31,35,False
1,2,0,18,28,False
1,2,0,29,23,False
1,2,0,27,37,False
1,1,1,22,30,False
1,1,0,19,26,False
1,1,1,25,30,False
1,1,0,19,25,False
1,1,1,19,19,False
0,1,1,14,29,False
2,1,0,30,28,False
1,2,1,36,22,False
1,1,1,29,20,False
1,1,0,20,17,False
1,2,0,22,20,False
1,1,1,31,23,False
0,1,1,28,35,False
1,2,0,24,25,False
1,1,1,24,37,False
1,1,1,23,17,False
0,1,0,24,17,False
1,1,1,22,18,False
1,2,0,27,18,False
1,2,1,26,17,False
1,1,1,17,19,False
1,1,1,17,18,False
0,1,0,20,20,False
1,3,1,26,20,False
0,1,0,20,14,False
1,1,0,22,15,False
1,1,0,25,17,False
0,0,0,20,17,False
1,1,0,17,15,False
1,1,0,18,19,False
1,1,1,21,21,False
1,2,2,28,20,False
0,2,0,25,19,False
0,1,0,23,18,False
1,1,0,19,20,False
1,1,0,28,22,False
0,3,0,25,20,False
0,2,0,22,16,False
0,1,0,15,21,False
0,0,0,12,17,False
0,0,0,13,21,False
1,2,0,24,23,False
1,1,0,27,27,False
1,0,0,32,22,False
1,1,0,30,22,False
0,1,0,34,18,False
0,1,1,35,20,False
0,3,0,34,22,False
0,2,0,24,27,False
1,2,0,20,34,False
0,2,1,24,78,False
0,1,0,17,34,False
0,2,0,18,35,False
1,2,0,23,30,False
0,2,1,30,21,False
1,1,0,30,19,False
1,1,0,35,18,False
0,1,0,33,14,False
1,1,0,34,17,False
0,1,1,30,14,False
1,1,1,26,18,False
1,1,0,30,15,False
1,3,0,25,22,False
0,1,0,41,23,False
0,1,0,24,21,False
0,2,1,24,16,False
0,2,0,25,15,False
0,1,1,27,21,False
1,3,0,26,23,False
0,1,0,24,19,False
0,1,0,23,13,False
1,2,0,28,17,False
0,2,0,27,14,False
0,2,1,24,15,False
1,2,0,26,16,False
1,1,0,21,14,False
0,1,0,15,13,False
0,1,0,17,14,False
0,2,0,24,14,False
0,2,0,24,14,False
0,2,1,28,14,False
0,0,0,19,9,False
0,2,0,24,13,False
1,2,0,23,14,False
0,2,0,26,12,False
0,2,0,24,12,False
0,1,0,22,14,False
0,1,0,25,14,False
1,1,0,20,13,False
0,1,0,22,15,False
0,1,0,21,17,False
1,3,0,24,15,False
0,1,0,24,16,False
1,1,0,21,15,False
0,1,0,19,11,False
0,1,0,25,14,False
0,2,0,19,12,False
0,1,1,19,14,False
0,1,0,22,13,False
0,1,0,22,13,False
0,1,0,71,16,False
0,1,0,62,13,False
0,1,0,73,14,False
0,1,0,100,12,False
0,1,1,66,14,False
1,0,0,56,13,False
0,1,0,55,21,False
1,1,0,56,37,False
0,1,0,35,16,False
0,1,0,31,11,False
0,1,0,30,13,False
0,0,0,26,9,False
0,1,0,26,26,False
1,1,1,23,21,False
0,1,0,28,17,False
0,0,0,25,13,True
