Bertrand Piccard,Vilayanur Ramachandran,Nick Veasey,Dan Buettner,Iraola,isPartial
23,14,0,14,28,False
23,41,0,0,37,False
29,17,0,0,17,False
13,0,0,0,31,False
12,0,0,11,27,False
15,12,0,11,35,False
36,12,0,12,28,False
19,0,11,0,39,False
15,14,0,0,31,False
14,14,11,11,21,False
11,11,0,16,14,False
16,10,0,0,33,False
17,0,0,9,26,False
15,9,0,0,23,False
19,15,0,8,18,False
17,8,0,8,17,False
7,11,7,0,17,False
10,11,8,0,15,False
23,8,0,8,15,False
12,7,0,0,15,False
7,0,0,0,29,False
8,6,0,6,31,False
6,0,0,6,27,False
15,0,0,6,23,False
14,8,0,5,16,False
11,6,6,6,20,False
24,6,9,5,38,False
14,10,5,8,19,False
11,5,0,5,25,False
10,5,0,7,26,False
11,0,10,5,29,False
5,9,0,5,24,False
4,4,4,4,20,False
8,6,0,4,20,False
10,8,4,0,21,False
8,0,0,4,32,False
17,3,0,6,23,False
9,4,0,7,30,False
10,10,0,6,34,False
9,5,0,3,21,False
7,6,0,3,22,False
8,4,4,3,28,False
15,0,3,0,16,False
6,3,0,6,21,False
12,3,3,3,30,False
5,5,0,0,27,False
11,6,0,2,16,False
12,13,0,0,26,False
11,9,2,2,22,False
8,2,0,2,27,False
5,4,4,4,26,False
9,6,13,7,32,False
4,2,6,5,29,False
5,4,3,6,18,False
4,6,4,2,21,False
3,2,6,4,34,False
4,2,9,3,33,False
4,5,4,2,29,False
12,6,6,9,28,False
8,4,8,4,27,False
4,5,4,4,28,False
6,4,3,2,29,False
7,5,6,6,23,False
7,2,4,8,29,False
5,8,3,5,28,False
20,4,2,3,23,False
7,5,3,5,25,False
5,5,4,2,26,False
6,4,13,3,37,False
5,3,8,5,32,False
11,4,3,6,32,False
8,5,4,5,32,False
15,6,10,14,35,False
7,6,4,7,23,False
9,5,7,3,25,False
17,5,4,5,26,False
11,4,5,5,26,False
9,3,5,2,27,False
21,2,2,2,18,False
6,2,4,3,23,False
10,4,4,5,33,False
6,3,5,5,33,False
5,3,7,11,41,False
5,4,3,4,29,False
4,3,2,11,26,False
4,6,3,8,31,False
2,4,2,6,39,False
6,6,3,5,29,False
10,4,3,5,31,False
7,3,3,5,28,False
5,3,3,4,24,False
3,2,2,4,34,False
6,5,3,3,32,False
7,3,2,4,25,False
5,2,3,4,27,False
6,3,4,3,23,False
9,3,3,5,24,False
3,3,4,4,25,False
6,2,3,4,55,False
9,3,2,3,27,False
6,2,3,3,39,False
10,4,5,2,26,False
5,1,2,3,24,False
4,2,3,3,24,False
7,2,2,2,25,False
7,3,3,4,25,False
4,1,3,3,20,False
9,2,2,5,24,False
4,2,2,5,25,False
4,2,3,5,25,False
5,4,6,12,21,False
5,2,3,3,25,False
8,2,3,3,21,False
5,2,2,4,22,False
11,1,2,2,23,False
4,3,1,4,23,False
4,3,3,3,25,False
3,3,3,5,24,False
5,2,3,2,24,False
5,2,2,2,24,False
5,3,3,3,24,False
3,2,3,3,23,False
5,2,2,3,26,False
8,2,1,5,18,False
4,2,2,2,21,False
6,3,5,3,19,False
2,2,1,2,20,False
3,1,1,1,29,False
9,1,1,3,30,False
21,1,1,3,26,False
9,3,3,2,26,False
9,2,1,3,19,False
10,1,2,1,22,False
9,2,4,5,25,False
32,2,2,4,31,False
8,2,2,10,36,False
10,1,3,5,100,False
7,2,2,5,40,False
10,1,1,2,48,False
5,2,1,19,33,False
12,2,1,8,27,False
5,2,1,5,22,False
11,1,2,3,20,False
12,1,1,3,22,False
6,2,1,4,24,False
6,1,2,2,18,False
4,1,1,2,21,False
17,1,2,3,20,False
8,1,1,4,26,False
10,1,1,2,24,False
19,1,1,2,27,False
5,1,1,3,16,False
6,1,3,3,22,False
7,1,1,3,22,False
10,1,1,2,27,False
10,1,1,3,20,False
7,2,1,2,17,False
13,2,1,2,19,False
10,1,1,2,18,False
11,1,1,3,17,False
6,2,1,3,19,False
7,1,2,8,18,False
6,1,1,3,17,False
3,1,1,4,15,False
4,1,1,3,14,False
5,1,2,10,14,False
5,2,1,5,15,False
8,1,2,4,11,False
4,1,2,5,16,False
7,3,2,5,18,False
5,1,2,5,17,False
3,2,1,5,12,False
4,1,1,4,16,False
4,1,1,3,17,False
3,1,1,5,15,False
3,1,1,6,16,False
5,1,2,4,17,False
5,1,1,4,19,False
6,1,1,2,15,False
6,1,1,3,15,False
6,1,1,3,15,False
4,0,1,3,18,False
6,1,1,5,15,False
4,1,1,5,16,False
4,2,1,4,19,False
4,1,1,4,15,False
5,0,1,4,19,False
6,1,1,4,19,False
3,1,1,2,15,False
5,1,1,3,16,False
8,1,1,4,17,False
6,1,1,10,15,False
4,1,1,7,25,False
4,1,1,5,46,False
6,1,0,5,20,False
7,1,1,5,13,False
10,1,1,3,13,False
9,1,0,5,16,False
4,1,0,5,28,False
3,1,1,4,26,False
2,1,1,4,19,False
4,1,1,3,16,True
