Gary Lauder's new traffic sign,Eric Mead,Gary Vaynerchuk,Mark Roth,Iraola,isPartial
0,0,0,16,14,False
0,0,0,10,18,False
0,9,0,26,9,False
0,0,0,18,16,False
0,6,0,0,13,False
0,0,0,17,17,False
0,6,0,6,14,False
0,0,6,6,19,False
0,5,0,13,15,False
0,10,0,13,10,False
0,8,0,11,7,False
0,5,5,10,16,False
0,6,4,11,13,False
0,5,5,6,11,False
0,4,0,9,9,False
0,4,0,13,8,False
0,4,0,7,9,False
0,4,0,9,8,False
0,4,0,6,8,False
0,0,0,10,7,False
0,5,0,13,14,False
0,0,3,8,16,False
0,3,0,9,14,False
0,3,0,9,11,False
0,3,3,12,8,False
0,3,0,11,10,False
0,5,0,5,19,False
0,3,0,9,9,False
0,5,0,10,12,False
0,2,0,11,13,False
0,0,0,4,15,False
0,2,0,6,12,False
0,3,2,6,10,False
0,3,0,8,10,False
0,2,0,6,10,False
0,3,2,9,16,False
0,2,2,6,12,False
0,5,0,7,15,False
0,2,2,7,17,False
0,2,2,7,11,False
0,2,3,7,11,False
0,2,2,7,14,False
0,1,7,7,8,False
0,1,7,6,11,False
0,2,6,5,15,False
0,2,3,9,13,False
0,2,2,7,8,False
0,2,1,9,13,False
0,0,3,7,11,False
0,2,4,4,13,False
0,2,2,7,13,False
0,1,7,3,16,False
0,1,8,6,14,False
0,1,9,6,9,False
0,1,10,5,10,False
0,2,7,9,17,False
0,1,10,4,17,False
0,1,7,7,14,False
0,1,9,7,14,False
0,1,11,8,13,False
0,2,9,6,14,False
0,1,10,5,14,False
0,2,12,7,11,False
0,1,11,10,15,False
0,1,7,5,14,False
0,1,12,11,11,False
0,2,10,7,12,False
0,2,10,8,13,False
0,1,15,6,18,False
0,2,25,9,16,False
0,1,25,6,16,False
0,1,22,7,16,False
0,1,21,7,17,False
0,1,19,6,12,False
0,3,32,15,12,False
0,2,18,7,13,False
0,2,15,4,13,False
0,1,18,5,13,False
0,1,15,5,9,False
0,2,13,8,11,False
0,2,13,6,16,False
0,2,12,4,17,False
0,1,13,5,20,False
0,1,13,4,14,False
0,1,11,6,13,False
0,1,13,6,15,False
0,2,24,10,19,False
0,1,16,5,14,False
0,1,15,4,16,False
0,1,13,3,14,False
0,1,15,7,12,False
0,1,12,5,17,False
0,1,11,5,16,False
0,1,10,6,12,False
0,1,13,6,13,False
0,1,12,5,11,False
0,1,13,5,12,False
0,1,11,6,13,False
0,1,12,3,27,False
0,1,10,4,14,False
0,1,10,6,20,False
0,1,10,5,13,False
0,1,8,7,12,False
0,1,8,5,12,False
0,1,9,5,12,False
0,1,9,5,12,False
0,2,8,4,10,False
0,0,8,4,12,False
0,1,9,3,12,False
0,1,12,7,12,False
0,1,8,4,11,False
0,0,11,4,12,False
0,1,10,5,11,False
0,1,10,2,11,False
0,1,9,4,12,False
0,0,10,4,12,False
0,1,8,3,13,False
0,1,11,3,12,False
0,0,15,4,12,False
0,1,17,3,12,False
0,1,13,5,12,False
0,0,13,6,12,False
0,0,13,4,13,False
0,0,11,6,9,False
0,1,10,5,10,False
0,1,10,4,10,False
0,1,11,4,10,False
0,1,10,4,15,False
0,1,11,5,15,False
0,1,10,4,13,False
0,0,11,4,13,False
0,0,8,4,10,False
0,1,8,5,11,False
0,1,13,5,13,False
0,1,13,6,15,False
0,1,15,4,18,False
0,0,15,4,50,False
0,1,14,4,20,False
0,0,18,4,24,False
0,1,22,3,16,False
0,0,15,4,14,False
0,1,24,3,11,False
0,1,19,4,10,False
0,0,20,4,11,False
0,1,24,4,12,False
0,1,25,4,9,False
0,1,41,4,11,False
0,0,39,5,10,False
0,1,67,7,13,False
0,1,51,3,12,False
0,1,40,3,13,False
0,1,43,3,8,False
0,1,47,3,11,False
0,1,42,4,11,False
0,0,42,5,13,False
0,1,58,6,10,False
0,1,64,11,9,False
0,0,100,8,9,False
0,1,88,6,9,False
0,0,73,7,9,False
0,0,64,5,10,False
0,0,71,5,9,False
0,1,64,4,8,False
0,0,58,5,7,False
0,2,69,5,7,False
0,1,87,5,7,False
0,1,82,4,8,False
0,1,66,5,6,False
0,1,78,6,8,False
0,1,74,6,9,False
0,0,73,6,9,False
0,1,68,5,6,False
0,1,63,6,8,False
0,0,50,5,8,False
0,1,60,4,7,False
0,2,70,5,8,False
0,1,59,4,8,False
0,1,54,4,9,False
0,1,50,4,7,False
0,1,50,3,8,False
0,1,56,6,8,False
0,1,49,6,9,False
0,1,59,5,8,False
0,1,60,3,8,False
0,1,59,4,9,False
0,1,61,4,8,False
0,1,60,5,9,False
0,1,59,4,9,False
0,1,54,4,7,False
0,2,47,3,8,False
0,1,52,3,8,False
0,1,58,3,7,False
0,1,55,4,12,False
0,1,50,3,23,False
0,1,38,5,10,False
0,1,36,3,6,False
0,0,39,3,6,False
0,1,32,3,8,False
0,0,30,3,14,False
0,0,29,3,13,False
0,0,30,4,9,False
0,0,27,6,8,True
