Fabian Hemmert,Tim Birkhead,Gary Wolf,Sebastian Seung,Iraola,isPartial
0,0,29,29,15,False
0,0,22,14,44,False
0,0,53,36,18,False
0,0,56,14,42,False
0,24,18,0,30,False
0,0,0,0,42,False
0,0,25,0,25,False
0,0,23,12,58,False
0,0,0,0,32,False
0,0,33,0,11,False
0,0,16,11,11,False
0,10,25,0,36,False
0,9,18,9,22,False
0,0,19,9,23,False
8,0,8,8,12,False
0,0,22,9,18,False
0,0,15,15,23,False
8,8,16,0,16,False
0,0,16,0,20,False
0,0,8,15,8,False
0,0,17,0,28,False
0,7,13,0,39,False
0,0,7,0,39,False
0,0,10,6,22,False
0,0,14,8,14,False
0,0,32,0,20,False
0,0,7,5,40,False
0,0,13,0,19,False
0,0,12,0,32,False
0,0,13,5,21,False
0,0,13,0,28,False
0,5,17,0,21,False
0,0,9,0,18,False
0,0,12,0,16,False
4,4,8,0,24,False
0,0,12,4,39,False
0,7,20,4,29,False
0,0,15,0,38,False
0,3,20,5,35,False
0,0,10,7,17,False
0,3,10,6,24,False
0,0,9,0,25,False
0,9,15,6,12,False
0,3,10,3,23,False
3,3,6,0,28,False
3,3,8,3,33,False
0,0,5,7,17,False
3,3,9,0,29,False
0,2,7,6,22,False
2,0,16,7,30,False
0,2,8,3,23,False
0,0,14,2,36,False
0,2,10,2,26,False
0,4,7,4,18,False
0,4,11,0,22,False
0,0,19,0,41,False
0,4,11,2,35,False
0,4,6,0,33,False
2,2,8,0,31,False
0,0,7,0,31,False
2,2,11,2,29,False
0,0,9,4,30,False
2,0,8,2,29,False
0,2,12,2,31,False
2,0,11,2,32,False
0,3,10,2,23,False
0,0,12,2,27,False
0,2,12,0,29,False
0,0,7,0,39,False
0,3,13,3,36,False
0,4,15,0,33,False
0,0,7,0,33,False
1,0,10,2,39,False
0,3,8,1,24,False
1,0,12,0,21,False
0,0,8,3,28,False
0,1,14,0,30,False
0,1,8,1,28,False
0,2,9,2,18,False
0,0,6,0,26,False
3,1,7,7,31,False
2,1,11,14,32,False
2,2,7,4,41,False
2,0,7,2,31,False
0,1,10,3,26,False
1,1,8,2,31,False
0,1,5,3,36,False
0,0,8,1,28,False
0,3,13,1,33,False
0,0,7,4,28,False
0,1,8,3,25,False
0,0,9,3,33,False
1,1,12,2,32,False
1,2,6,2,25,False
1,1,9,1,28,False
0,1,7,1,25,False
0,1,9,2,22,False
1,2,9,7,27,False
0,1,9,7,52,False
0,1,6,5,28,False
1,1,11,4,37,False
1,1,7,1,26,False
1,1,8,2,24,False
0,0,11,3,23,False
1,1,6,1,23,False
1,1,13,4,23,False
0,1,7,3,21,False
0,0,6,3,24,False
1,0,8,1,28,False
1,1,7,1,29,False
0,1,6,4,20,False
1,1,7,2,24,False
1,1,7,2,23,False
1,1,7,3,24,False
0,1,6,2,22,False
1,1,8,4,23,False
0,1,8,3,24,False
1,1,8,1,24,False
1,1,10,1,25,False
1,1,8,1,26,False
1,1,10,1,22,False
0,0,12,3,24,False
0,1,10,2,27,False
1,1,9,2,20,False
1,1,10,4,20,False
1,1,6,2,21,False
1,1,11,1,22,False
0,1,10,2,30,False
0,1,10,3,33,False
1,1,7,2,28,False
0,1,6,2,29,False
0,0,6,2,19,False
0,0,10,4,22,False
1,1,9,1,27,False
0,0,6,3,33,False
0,0,9,1,36,False
0,0,6,0,100,False
0,0,8,2,40,False
0,0,7,3,49,False
0,0,7,2,35,False
0,0,8,2,28,False
0,1,8,0,23,False
0,1,5,1,19,False
0,0,9,1,19,False
0,0,10,0,24,False
0,0,12,1,19,False
1,0,11,3,22,False
0,1,8,0,20,False
0,1,7,2,24,False
0,0,8,1,25,False
0,0,9,1,27,False
0,1,8,1,16,False
0,1,7,0,22,False
0,0,8,2,24,False
0,0,6,2,29,False
0,0,7,1,19,False
0,0,9,2,19,False
0,1,6,2,21,False
0,0,8,1,21,False
0,0,6,1,19,False
0,1,5,1,17,False
0,1,7,1,19,False
0,1,7,0,17,False
0,1,7,1,14,False
0,1,4,1,15,False
0,1,5,1,14,False
0,1,5,2,15,False
0,1,8,1,12,False
0,0,6,1,16,False
0,1,5,1,20,False
0,0,5,1,17,False
0,1,7,1,14,False
0,1,6,1,18,False
0,1,4,2,16,False
0,1,4,1,17,False
0,1,5,0,17,False
0,0,6,1,17,False
0,1,3,0,19,False
0,1,5,1,16,False
0,1,5,1,17,False
0,1,6,0,15,False
0,1,5,1,17,False
0,0,5,1,15,False
0,0,5,0,15,False
0,1,5,1,21,False
0,0,7,1,15,False
0,1,5,0,19,False
1,0,6,1,18,False
0,1,5,1,16,False
0,1,7,1,16,False
0,0,6,1,17,False
0,0,7,1,17,False
0,1,4,0,25,False
0,1,6,1,50,False
0,0,5,1,21,False
0,0,7,1,13,False
0,0,5,1,12,False
0,1,5,3,18,False
0,0,7,2,31,False
0,0,4,1,26,False
0,1,7,2,19,False
0,0,4,1,16,True
