Barbara Block,Stacey Kramer,Stefano Mancuso,Melinda Gates,Iraola,isPartial
0,0,0,29,1,False
0,0,0,21,3,False
3,0,0,13,1,False
1,0,0,14,3,False
1,0,0,7,2,False
1,1,0,12,3,False
1,0,1,21,2,False
2,0,0,12,4,False
1,1,0,18,2,False
2,0,0,12,1,False
0,0,0,11,1,False
0,0,0,14,3,False
1,0,0,22,2,False
1,0,0,17,2,False
1,0,0,17,1,False
1,0,0,14,1,False
1,1,0,13,2,False
2,0,1,13,1,False
1,1,0,16,2,False
1,1,0,8,1,False
1,0,1,11,2,False
1,0,0,19,3,False
1,0,0,17,3,False
0,0,0,38,2,False
1,0,0,17,1,False
0,0,0,16,2,False
1,0,0,12,3,False
1,0,0,15,1,False
1,0,0,16,2,False
1,0,0,100,2,False
1,0,0,40,2,False
1,0,0,30,2,False
0,0,0,17,1,False
0,0,0,16,1,False
1,0,0,18,2,False
0,0,0,26,3,False
1,0,0,21,2,False
0,0,0,22,3,False
1,0,1,17,3,False
0,0,0,15,1,False
1,0,0,16,2,False
0,0,0,16,2,False
0,0,0,14,1,False
0,0,0,13,2,False
0,0,0,13,2,False
1,0,0,13,2,False
1,0,0,13,1,False
0,0,0,10,2,False
0,0,0,21,2,False
1,0,0,15,2,False
1,0,0,14,2,False
0,0,0,13,3,False
0,0,0,13,2,False
0,0,0,25,1,False
0,0,0,15,2,False
0,0,0,11,3,False
1,0,0,13,3,False
0,0,0,14,2,False
1,0,0,14,2,False
0,0,0,10,2,False
1,0,0,13,2,False
1,0,0,15,2,False
0,0,0,18,2,False
1,0,0,12,2,False
0,0,0,11,2,False
0,0,0,11,2,False
0,0,0,11,2,False
1,0,0,9,2,False
0,0,0,10,3,False
0,0,0,12,3,False
1,0,0,14,3,False
0,0,0,10,3,False
0,0,0,16,3,False
1,0,0,11,2,False
1,0,0,11,2,False
1,0,0,12,2,False
1,0,0,9,2,False
0,0,0,12,2,False
0,0,0,9,1,False
0,0,0,12,2,False
1,0,0,12,2,False
0,1,0,18,2,False
0,0,0,10,3,False
1,0,0,9,2,False
0,0,0,11,2,False
1,0,0,10,2,False
1,0,0,11,3,False
1,0,0,9,2,False
0,0,0,10,2,False
0,0,0,8,2,False
0,0,0,8,2,False
0,0,0,9,2,False
0,0,0,12,2,False
0,0,0,12,2,False
0,0,0,9,2,False
0,0,0,7,2,False
1,0,0,10,2,False
1,0,0,9,2,False
1,0,0,8,4,False
0,0,0,10,2,False
0,0,0,9,3,False
0,0,0,8,2,False
0,0,0,12,2,False
0,0,0,9,2,False
0,0,0,10,2,False
0,0,0,8,2,False
1,0,0,8,2,False
0,0,0,8,2,False
0,0,0,10,2,False
1,0,0,11,2,False
1,0,0,10,1,False
0,0,0,10,2,False
1,0,0,12,2,False
0,0,0,8,2,False
0,0,0,8,2,False
0,0,0,8,2,False
0,0,0,10,2,False
1,0,0,9,2,False
0,0,0,10,2,False
0,0,0,7,2,False
0,0,0,10,2,False
1,0,0,10,2,False
1,0,0,9,2,False
1,0,0,9,1,False
0,0,0,10,1,False
0,0,0,9,2,False
0,0,0,7,2,False
1,0,0,9,2,False
0,0,0,8,2,False
0,0,0,10,2,False
0,0,0,9,2,False
0,0,0,7,1,False
1,0,0,12,2,False
0,0,0,9,2,False
0,0,0,9,2,False
1,0,0,9,3,False
0,0,0,9,8,False
0,0,0,8,3,False
0,0,0,8,4,False
0,0,0,8,3,False
0,0,0,9,2,False
0,0,0,9,2,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,7,2,False
0,0,0,11,1,False
1,0,0,8,2,False
0,0,0,7,2,False
0,0,0,7,2,False
0,0,0,7,2,False
0,0,0,5,2,False
0,0,0,6,1,False
0,0,0,7,2,False
0,0,0,8,2,False
0,0,0,9,2,False
0,0,0,7,1,False
0,0,0,7,1,False
1,0,0,11,2,False
0,0,0,11,2,False
0,0,0,8,1,False
0,0,0,7,1,False
0,0,0,6,1,False
0,0,0,6,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,7,1,False
0,0,0,10,1,False
0,0,0,6,1,False
0,0,0,8,1,False
0,0,0,11,2,False
0,0,0,8,1,False
0,0,1,7,1,False
0,0,1,7,1,False
0,0,0,6,1,False
0,0,0,6,1,False
0,0,0,6,1,False
0,0,0,7,1,False
0,0,1,7,1,False
0,0,0,6,1,False
0,0,1,5,1,False
0,0,1,8,1,False
0,0,0,12,1,False
0,0,1,8,1,False
0,0,1,11,1,False
0,0,0,12,2,False
0,0,1,12,1,False
0,0,1,8,1,False
0,0,1,7,1,False
0,0,1,18,1,False
0,0,1,14,1,False
0,0,1,10,1,False
0,0,1,9,1,False
0,0,1,8,2,False
0,0,1,15,4,False
0,0,0,18,2,False
0,0,1,38,1,False
0,0,1,37,1,False
0,0,1,18,1,False
0,0,1,16,2,False
1,0,1,14,2,False
0,0,1,11,1,False
0,0,1,11,1,True
