Birke Baehr,William Ury,Marcel Dicke,Bart Weetjens,Iraola,isPartial
0,14,0,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,13,0,0,31,False
0,11,0,0,27,False
0,23,0,0,35,False
0,18,0,0,28,False
0,11,0,0,39,False
0,15,0,0,31,False
0,16,0,0,21,False
0,21,0,0,14,False
0,19,10,0,33,False
0,9,0,0,26,False
0,13,9,0,23,False
0,13,8,0,18,False
0,8,0,0,17,False
0,12,0,0,17,False
0,12,8,0,15,False
0,11,0,0,15,False
0,15,0,0,15,False
0,27,0,0,29,False
0,17,0,0,31,False
0,19,0,6,27,False
0,0,0,0,23,False
0,11,5,0,16,False
0,0,0,0,20,False
0,0,0,0,38,False
0,10,5,0,19,False
0,7,5,0,25,False
0,10,0,0,26,False
0,5,0,0,29,False
0,6,0,0,24,False
0,11,4,0,20,False
0,11,0,0,20,False
0,15,0,0,21,False
0,10,0,0,32,False
0,9,0,0,23,False
0,11,7,0,30,False
0,13,3,0,34,False
0,13,3,0,21,False
0,11,0,0,22,False
0,5,3,0,28,False
0,10,6,0,16,False
0,10,3,0,21,False
0,8,5,0,30,False
0,8,0,0,27,False
0,9,2,0,16,False
0,4,0,0,26,False
0,9,0,0,22,False
0,7,2,0,27,False
0,3,3,0,26,False
0,9,2,2,32,False
0,8,2,2,29,False
0,9,0,0,18,False
0,7,2,0,21,False
0,3,4,2,34,False
0,5,0,0,33,False
0,6,3,2,29,False
0,6,2,3,28,False
0,6,2,2,27,False
0,5,2,0,28,False
0,6,2,0,29,False
0,4,2,2,23,False
0,5,0,3,29,False
0,12,0,0,28,False
0,6,0,0,23,False
0,9,3,0,25,False
0,6,2,0,26,False
0,5,1,1,37,False
0,8,1,0,32,False
0,6,1,0,32,False
0,4,1,1,32,False
0,5,2,0,35,False
0,4,2,2,23,False
0,5,1,1,25,False
0,5,1,1,26,False
0,7,1,0,26,False
0,6,0,1,27,False
0,4,0,0,18,False
0,3,2,0,23,False
3,5,1,0,33,False
4,4,1,0,33,False
2,8,2,2,41,False
4,15,3,2,29,False
3,5,2,1,26,False
1,9,1,1,31,False
2,6,1,1,39,False
5,8,2,0,29,False
1,5,1,1,31,False
1,3,1,2,28,False
1,4,1,0,24,False
0,4,1,0,34,False
1,6,2,1,32,False
1,4,1,1,25,False
0,8,2,0,27,False
1,5,1,0,23,False
2,5,1,1,24,False
1,4,1,0,25,False
1,7,1,1,55,False
1,9,2,1,27,False
1,5,2,1,39,False
1,6,1,0,26,False
1,4,1,0,24,False
1,7,1,1,24,False
1,10,1,0,25,False
1,10,1,1,25,False
1,9,1,0,20,False
1,6,1,1,24,False
1,4,0,1,25,False
2,4,1,1,25,False
2,5,1,1,21,False
2,6,1,0,25,False
2,7,1,1,21,False
6,7,1,1,22,False
1,5,1,0,23,False
2,5,1,0,23,False
1,8,1,0,25,False
1,5,1,1,24,False
1,7,1,1,24,False
2,4,1,1,24,False
1,6,0,0,24,False
1,6,1,1,23,False
1,5,1,1,26,False
1,6,1,0,18,False
1,4,1,0,21,False
1,6,1,1,19,False
2,4,1,0,20,False
1,3,1,1,29,False
1,5,1,1,30,False
1,5,1,0,26,False
1,6,1,0,26,False
0,4,0,0,19,False
1,7,1,0,22,False
1,5,1,0,25,False
0,5,0,0,31,False
1,5,1,0,36,False
1,6,0,0,100,False
1,10,1,0,40,False
0,4,1,0,48,False
0,6,1,0,33,False
0,6,1,0,27,False
1,7,1,0,22,False
0,5,1,0,20,False
1,3,1,0,22,False
0,6,0,0,24,False
1,5,1,0,18,False
1,7,1,0,21,False
2,7,0,0,20,False
1,7,1,0,26,False
0,6,0,0,24,False
0,4,0,0,27,False
0,6,0,0,16,False
0,7,1,0,22,False
0,7,1,0,22,False
0,8,1,0,27,False
0,5,0,0,20,False
1,5,1,0,17,False
1,5,1,0,19,False
1,8,1,0,18,False
1,6,1,1,17,False
1,7,1,0,19,False
1,5,1,0,18,False
1,3,1,0,17,False
0,4,0,0,15,False
1,6,0,0,14,False
1,5,1,1,14,False
1,6,1,0,15,False
0,5,0,0,11,False
0,4,1,0,16,False
0,5,1,0,18,False
1,5,0,0,17,False
0,8,0,0,12,False
1,6,1,0,16,False
0,4,1,0,17,False
0,5,1,0,15,False
0,5,0,0,16,False
0,4,0,0,17,False
0,5,0,0,19,False
1,6,1,0,15,False
0,4,1,0,15,False
0,4,1,0,15,False
1,5,1,1,18,False
1,5,0,0,15,False
1,5,0,0,16,False
0,3,1,1,19,False
0,3,0,0,15,False
0,4,0,0,19,False
0,5,1,0,19,False
0,5,0,0,15,False
0,6,1,0,16,False
0,4,0,0,17,False
1,3,0,0,15,False
1,3,1,0,25,False
0,4,0,0,46,False
0,3,0,0,20,False
0,4,0,0,13,False
1,5,0,0,13,False
0,5,0,1,16,False
0,4,1,0,28,False
0,4,1,0,26,False
0,3,1,0,19,False
1,4,0,0,16,True
