Dale Dougherty,Christopher McDougall,Suheir Hammad,Nigel Marsh,Iraola,isPartial
0,0,21,0,28,False
0,0,14,28,37,False
0,0,0,0,17,False
0,0,20,13,31,False
11,0,23,11,27,False
0,0,0,0,35,False
0,0,18,0,28,False
11,0,28,0,39,False
0,0,10,0,31,False
0,0,10,0,21,False
0,10,21,10,14,False
0,10,10,0,33,False
0,0,13,9,26,False
9,0,12,0,23,False
15,0,8,0,18,False
9,0,11,9,17,False
7,0,7,7,17,False
0,0,15,0,15,False
8,8,19,15,15,False
7,0,7,7,15,False
7,0,16,7,29,False
0,0,16,6,31,False
0,0,10,0,27,False
0,0,14,6,23,False
0,5,5,5,16,False
6,0,11,6,20,False
10,0,10,0,38,False
0,0,5,8,19,False
0,5,9,5,25,False
0,0,12,5,26,False
5,5,7,15,29,False
0,0,9,5,24,False
4,0,9,4,20,False
6,4,8,0,20,False
0,0,10,0,21,False
4,0,5,0,32,False
3,0,9,5,23,False
0,0,7,4,30,False
0,0,8,3,34,False
0,0,9,0,21,False
3,3,3,3,22,False
3,0,4,4,28,False
3,3,8,4,16,False
0,3,7,4,21,False
3,0,4,5,30,False
0,0,10,2,27,False
5,0,10,4,16,False
3,3,11,3,26,False
2,0,9,4,22,False
2,0,3,2,27,False
0,0,7,4,26,False
5,2,5,3,32,False
2,2,10,4,29,False
3,0,6,2,18,False
2,2,6,4,21,False
2,2,3,2,34,False
2,2,4,3,33,False
2,4,7,2,29,False
3,2,11,3,28,False
2,0,10,4,27,False
2,0,7,2,28,False
3,0,10,2,29,False
3,2,14,3,23,False
2,3,13,2,29,False
2,12,7,2,28,False
3,14,7,2,23,False
2,9,6,2,25,False
2,29,7,2,26,False
1,24,6,1,37,False
3,22,8,3,32,False
1,15,6,2,32,False
3,14,7,1,32,False
1,21,4,2,35,False
3,17,6,1,23,False
1,15,5,2,25,False
2,18,5,4,26,False
2,22,5,1,26,False
4,18,4,5,27,False
1,17,3,2,18,False
1,19,4,4,23,False
1,18,5,3,33,False
2,11,6,3,33,False
0,17,4,3,41,False
0,13,4,1,29,False
2,11,5,4,26,False
2,21,9,26,31,False
2,11,10,10,39,False
2,18,6,7,29,False
1,12,5,6,31,False
0,16,5,3,28,False
1,12,4,4,24,False
1,14,4,4,34,False
1,13,7,3,32,False
2,9,4,3,25,False
1,17,4,3,27,False
1,12,3,5,23,False
1,12,3,3,24,False
1,11,4,3,25,False
2,10,4,4,55,False
1,24,3,5,27,False
2,13,4,5,39,False
2,14,3,2,26,False
2,13,4,3,24,False
1,11,3,4,24,False
1,9,2,5,25,False
2,12,4,3,25,False
1,11,5,4,20,False
1,7,3,4,24,False
1,11,5,4,25,False
1,7,3,4,25,False
1,8,4,5,21,False
1,8,5,3,25,False
1,7,2,4,21,False
1,8,2,4,22,False
1,9,3,4,23,False
1,10,1,3,23,False
1,8,3,3,25,False
1,8,3,4,24,False
1,7,2,5,24,False
1,6,3,2,24,False
1,5,4,3,24,False
1,6,4,4,23,False
1,5,2,4,26,False
1,5,3,3,18,False
1,6,2,3,21,False
2,4,2,6,19,False
1,6,3,4,20,False
1,7,2,3,29,False
1,5,1,2,30,False
1,4,2,2,26,False
1,4,2,4,26,False
0,5,1,3,19,False
1,6,1,3,22,False
1,5,2,4,25,False
1,6,2,3,31,False
1,11,2,6,36,False
1,6,1,3,100,False
1,6,1,3,40,False
1,5,1,4,48,False
1,6,1,4,33,False
1,3,2,3,27,False
1,5,1,4,22,False
1,4,2,3,20,False
1,6,1,4,22,False
2,4,2,3,24,False
1,4,1,3,18,False
1,4,2,1,21,False
1,4,0,2,20,False
1,7,2,3,26,False
1,4,1,1,24,False
0,3,2,2,27,False
1,5,1,2,16,False
1,6,2,1,22,False
1,5,2,3,22,False
1,4,2,3,27,False
0,4,1,2,20,False
2,3,2,2,17,False
1,6,2,3,19,False
1,4,1,2,18,False
1,6,2,2,17,False
2,5,2,2,19,False
1,4,1,3,18,False
1,4,1,2,17,False
0,5,1,1,15,False
1,3,1,2,14,False
1,4,1,1,14,False
3,4,1,3,15,False
1,3,1,1,11,False
1,4,2,1,16,False
0,3,1,2,18,False
1,4,1,1,17,False
1,5,0,2,12,False
1,3,1,2,16,False
1,3,1,1,17,False
0,3,1,2,15,False
1,3,0,1,16,False
1,3,1,2,17,False
1,3,1,2,19,False
1,3,0,2,15,False
1,3,1,1,15,False
0,4,1,2,15,False
1,4,1,1,18,False
0,2,2,1,15,False
1,4,1,1,16,False
0,4,1,2,19,False
1,3,1,1,15,False
1,3,0,2,19,False
0,4,1,1,19,False
1,3,1,2,15,False
0,5,1,2,16,False
1,4,1,1,17,False
1,3,1,1,15,False
1,3,1,1,25,False
1,3,1,1,46,False
0,3,1,1,20,False
0,3,1,1,13,False
0,3,1,1,13,False
0,3,1,2,16,False
0,3,1,1,28,False
0,3,1,1,26,False
0,2,1,1,19,False
1,1,0,2,16,True
