Daniel Wolpert,Paul Lewis,Sandra Fisher-Martins,Martin Hanczyc,Iraola,isPartial
7,100,0,0,15,False
0,64,0,0,20,False
0,76,0,0,9,False
0,52,0,0,17,False
6,59,0,0,14,False
6,49,0,0,18,False
6,58,0,0,15,False
6,56,0,6,21,False
0,68,0,0,17,False
6,62,0,0,11,False
8,55,0,0,8,False
5,54,0,0,17,False
6,58,0,0,14,False
5,66,0,0,12,False
0,59,0,0,9,False
5,72,0,0,9,False
4,44,0,0,9,False
6,47,0,0,8,False
8,64,0,0,8,False
4,56,0,0,8,False
4,47,0,0,15,False
3,49,0,0,17,False
3,64,0,0,15,False
3,44,0,0,12,False
0,54,0,0,9,False
3,70,0,0,11,False
3,55,0,0,21,False
3,58,0,0,10,False
2,45,0,0,13,False
0,54,0,0,14,False
0,54,0,0,16,False
0,60,0,0,13,False
3,55,0,0,11,False
2,58,0,0,11,False
2,57,0,2,11,False
4,52,0,0,17,False
3,48,0,0,12,False
2,45,0,0,16,False
2,46,0,0,18,False
4,48,0,0,11,False
3,49,0,0,12,False
2,49,0,0,15,False
2,43,0,0,8,False
4,53,0,0,11,False
0,52,0,0,16,False
1,59,0,0,14,False
4,59,0,1,8,False
0,72,0,0,14,False
1,72,0,1,12,False
1,70,0,0,14,False
2,57,0,0,14,False
2,56,0,0,17,False
2,54,0,0,16,False
0,55,0,1,10,False
1,52,0,0,11,False
2,58,0,1,18,False
1,58,0,0,18,False
1,54,0,0,15,False
2,55,0,0,15,False
1,65,0,0,14,False
1,54,0,0,15,False
1,47,0,1,15,False
1,51,0,0,12,False
1,49,0,1,16,False
1,44,0,0,15,False
1,73,0,0,12,False
1,53,0,0,13,False
1,57,0,0,14,False
2,57,0,1,20,False
1,54,0,1,17,False
1,58,0,0,17,False
1,61,0,0,17,False
1,54,0,1,19,False
1,48,0,0,12,False
1,54,0,0,13,False
1,46,0,0,14,False
1,52,0,1,14,False
1,45,0,0,14,False
1,60,0,0,10,False
1,47,0,0,12,False
1,52,0,0,18,False
1,49,0,0,18,False
1,56,0,0,22,False
1,59,0,0,15,False
0,58,0,0,14,False
1,53,0,0,17,False
1,47,0,0,21,False
0,45,0,0,16,False
0,45,0,0,17,False
0,56,0,0,15,False
1,45,0,0,13,False
0,52,0,0,18,False
0,45,0,0,17,False
0,46,0,0,13,False
3,58,1,2,14,False
1,64,0,1,12,False
1,53,0,1,13,False
1,49,0,1,13,False
1,47,0,0,29,False
1,44,0,0,15,False
1,42,0,1,21,False
1,35,0,1,14,False
1,41,0,0,13,False
0,54,0,0,13,False
1,69,0,0,13,False
0,48,0,0,13,False
1,54,0,0,11,False
1,58,0,0,13,False
0,56,0,0,13,False
1,60,0,0,13,False
0,49,0,0,11,False
1,44,0,0,13,False
1,42,0,0,11,False
1,43,0,0,12,False
1,41,0,0,12,False
1,42,0,0,12,False
1,42,0,0,14,False
0,46,0,0,13,False
1,45,0,0,13,False
1,76,0,0,13,False
0,48,0,0,13,False
0,45,0,0,13,False
1,42,0,0,14,False
0,42,0,0,10,False
1,40,0,1,11,False
1,34,0,0,10,False
0,34,0,0,11,False
1,34,0,0,16,False
1,36,0,0,16,False
1,39,0,0,14,False
0,43,0,0,14,False
1,43,0,0,10,False
0,36,0,0,12,False
1,35,0,1,13,False
1,32,0,0,17,False
1,40,0,0,19,False
1,36,0,0,54,False
0,35,0,0,21,False
0,32,0,0,26,False
0,31,0,0,17,False
1,35,0,0,15,False
0,35,0,0,12,False
1,38,0,0,11,False
0,36,0,0,12,False
0,41,0,0,13,False
0,33,0,0,10,False
0,34,0,0,11,False
0,35,0,0,11,False
1,32,0,0,14,False
0,33,0,0,13,False
0,32,0,0,14,False
0,35,0,0,8,False
0,31,0,0,12,False
1,44,0,0,12,False
0,36,0,0,14,False
0,32,0,1,11,False
0,39,0,0,9,False
0,35,0,0,10,False
0,35,0,0,9,False
0,29,0,0,9,False
1,28,0,0,10,False
0,31,0,0,9,False
0,31,0,0,9,False
0,32,0,0,8,False
0,33,0,0,7,False
0,32,0,0,8,False
1,41,0,0,8,False
1,38,0,0,6,False
0,36,0,0,8,False
1,42,0,0,10,False
1,30,0,0,9,False
1,29,0,0,7,False
0,26,0,0,8,False
1,29,0,0,9,False
1,32,0,0,8,False
0,29,0,0,9,False
0,29,0,0,9,False
0,30,0,0,10,False
0,33,0,0,8,False
0,32,0,0,8,False
0,27,0,0,8,False
1,26,0,0,10,False
1,28,0,0,8,False
0,25,0,0,9,False
0,26,0,0,10,False
0,29,0,0,8,False
0,26,0,0,10,False
0,28,0,0,10,False
0,27,0,0,8,False
0,31,0,0,8,False
0,38,0,0,9,False
0,34,0,0,8,False
0,28,0,0,13,False
0,30,0,0,25,False
0,25,0,0,11,False
0,28,0,0,7,False
0,30,0,0,7,False
0,29,0,0,8,False
0,32,0,0,15,False
0,29,0,0,14,False
0,28,0,0,10,False
0,28,0,0,9,True
