Scott Rickard,Bilal Bomani,Julian Baggini,Lisa Harouni,Iraola,isPartial
14,0,0,0,28,False
0,0,0,0,37,False
0,0,17,0,17,False
0,0,13,0,31,False
0,0,0,0,27,False
11,0,11,0,35,False
0,0,0,0,28,False
11,0,11,0,39,False
0,0,0,0,31,False
11,0,11,0,21,False
16,0,0,0,14,False
0,0,10,0,33,False
9,0,0,0,26,False
0,0,9,0,23,False
7,0,7,8,18,False
0,0,8,0,17,False
0,0,7,0,17,False
0,0,7,0,15,False
0,0,8,0,15,False
7,0,7,0,15,False
7,0,7,0,29,False
0,0,6,0,31,False
6,0,0,6,27,False
6,0,0,0,23,False
5,0,11,0,16,False
0,0,6,0,20,False
7,0,5,0,38,False
5,0,5,0,19,False
0,0,5,0,25,False
5,0,10,0,26,False
0,0,8,0,29,False
0,0,5,0,24,False
4,0,4,0,20,False
5,0,7,0,20,False
8,0,4,0,21,False
4,0,8,0,32,False
3,0,7,0,23,False
0,0,4,0,30,False
0,0,8,0,34,False
0,0,3,3,21,False
0,0,3,0,22,False
6,0,4,0,28,False
3,0,5,0,16,False
3,0,4,0,21,False
3,0,3,0,30,False
2,0,4,0,27,False
0,0,3,0,16,False
5,0,3,0,26,False
0,0,3,0,22,False
0,0,3,0,27,False
0,0,5,0,26,False
3,0,2,0,32,False
0,0,5,0,29,False
2,0,3,0,18,False
2,0,2,0,21,False
0,0,2,0,34,False
2,0,3,2,33,False
4,0,2,0,29,False
0,2,2,0,28,False
2,0,4,0,27,False
2,2,6,0,28,False
2,0,4,0,29,False
2,0,4,2,23,False
0,0,2,0,29,False
2,0,5,0,28,False
3,0,2,0,23,False
2,0,3,0,25,False
2,0,3,0,26,False
0,0,2,0,37,False
1,0,2,0,32,False
0,0,3,0,32,False
1,0,2,0,32,False
2,0,5,1,35,False
1,0,6,0,23,False
0,0,2,0,25,False
1,0,2,0,26,False
0,0,4,0,26,False
0,0,2,0,27,False
0,0,3,0,18,False
1,0,1,0,23,False
2,0,4,0,33,False
1,0,3,0,33,False
1,0,3,0,41,False
0,0,3,0,29,False
0,0,1,0,26,False
1,0,4,0,31,False
1,0,2,0,39,False
1,0,2,0,29,False
3,0,4,0,31,False
1,0,3,1,28,False
0,0,3,1,24,False
1,0,2,1,34,False
1,0,3,3,32,False
1,0,4,0,25,False
1,0,3,0,27,False
1,0,2,1,23,False
1,1,7,3,24,False
3,1,4,3,25,False
1,1,3,3,55,False
1,0,4,2,27,False
1,1,3,2,39,False
2,0,3,1,26,False
1,1,3,1,24,False
0,0,2,1,24,False
1,0,5,1,25,False
1,0,4,1,25,False
1,0,2,1,20,False
1,0,1,2,24,False
1,0,3,1,25,False
1,0,2,1,25,False
1,0,1,1,21,False
1,0,2,1,25,False
1,0,2,1,21,False
1,0,2,3,22,False
0,1,2,1,23,False
1,0,1,0,23,False
1,1,2,1,25,False
1,0,4,1,24,False
1,0,3,1,24,False
1,1,2,0,24,False
2,0,4,0,24,False
1,1,2,1,23,False
5,0,4,0,26,False
1,0,1,1,18,False
2,0,3,1,21,False
1,0,1,1,19,False
2,0,2,1,20,False
1,0,2,1,29,False
1,0,2,0,30,False
2,0,2,1,26,False
2,1,2,0,26,False
1,0,2,0,19,False
1,0,2,0,22,False
2,0,2,1,25,False
1,0,4,1,31,False
1,0,2,0,36,False
1,0,3,0,100,False
1,0,2,0,40,False
1,0,2,0,48,False
1,0,3,0,33,False
1,0,3,0,27,False
1,0,3,0,22,False
2,1,3,0,20,False
1,0,2,0,22,False
1,0,2,0,24,False
1,0,2,0,18,False
1,0,2,0,21,False
1,0,1,0,20,False
0,0,4,0,26,False
0,0,2,0,24,False
1,0,2,0,27,False
0,0,2,0,16,False
0,0,3,0,22,False
1,0,2,0,22,False
1,0,2,0,27,False
1,0,1,0,20,False
1,0,2,0,17,False
1,0,2,0,19,False
1,0,3,1,18,False
1,0,1,0,17,False
1,0,2,0,19,False
0,0,3,0,18,False
0,0,1,0,17,False
1,0,2,0,15,False
0,0,3,0,14,False
0,0,2,0,14,False
0,0,2,0,15,False
1,0,3,0,11,False
1,0,4,0,16,False
1,0,2,0,18,False
0,0,2,0,17,False
0,0,2,0,12,False
0,0,1,0,16,False
0,0,1,0,17,False
0,1,2,0,15,False
1,1,2,0,16,False
1,0,3,0,17,False
1,0,3,0,19,False
1,0,3,0,15,False
1,0,2,0,15,False
0,0,2,0,15,False
1,0,3,0,18,False
1,0,2,0,15,False
1,0,2,0,16,False
0,0,3,0,19,False
1,0,2,0,15,False
0,0,2,0,19,False
0,0,2,0,19,False
1,0,3,0,15,False
0,0,2,0,16,False
1,0,2,0,17,False
0,0,3,0,15,False
0,0,2,0,25,False
0,0,2,0,46,False
0,0,2,0,20,False
0,0,2,0,13,False
0,0,2,0,13,False
0,0,1,0,16,False
0,0,1,0,28,False
0,0,1,0,26,False
1,0,3,0,19,False
1,0,2,0,16,True
