Rob Reid,Scott Summit,Mark Raymond,T. Boone Pickens,Iraola,isPartial
7,5,13,0,7,False
11,7,13,4,10,False
4,4,7,4,4,False
3,3,8,5,8,False
7,3,5,6,7,False
3,8,9,0,9,False
4,6,13,3,7,False
3,6,11,3,10,False
3,3,11,4,8,False
3,5,7,5,5,False
7,0,8,3,4,False
6,3,7,4,9,False
7,2,13,0,7,False
5,5,9,5,6,False
4,2,8,3,5,False
3,5,7,2,4,False
4,2,12,3,5,False
2,3,12,3,4,False
3,4,11,4,4,False
4,2,12,6,4,False
2,3,5,6,8,False
4,3,8,3,8,False
5,2,9,2,7,False
6,2,9,2,6,False
8,4,5,4,4,False
3,6,7,1,5,False
2,2,7,3,10,False
4,3,9,2,5,False
2,6,11,4,7,False
2,2,6,9,7,False
2,2,7,3,8,False
4,4,5,2,6,False
3,2,5,4,5,False
4,4,5,1,5,False
6,3,7,3,5,False
8,2,6,2,8,False
3,3,7,3,6,False
2,2,7,1,8,False
2,3,5,2,9,False
1,3,5,1,6,False
2,2,5,3,6,False
4,2,5,3,7,False
4,3,5,3,4,False
7,2,8,2,6,False
5,3,5,3,8,False
5,2,6,3,7,False
6,2,6,5,4,False
9,2,7,2,7,False
5,3,5,2,6,False
3,2,3,4,7,False
2,2,7,2,7,False
4,1,4,11,8,False
1,2,6,12,8,False
2,1,5,5,5,False
4,2,4,100,5,False
2,2,6,38,9,False
2,3,6,44,9,False
1,2,6,32,7,False
2,2,5,25,7,False
5,3,5,7,7,False
3,3,6,7,7,False
3,3,6,7,7,False
3,4,5,7,6,False
3,2,7,4,8,False
2,1,4,5,7,False
2,2,5,4,6,False
3,3,6,7,7,False
3,3,6,8,7,False
3,2,6,3,10,False
5,2,5,4,8,False
5,2,4,3,8,False
6,2,5,3,8,False
3,2,6,3,9,False
3,2,5,3,6,False
3,3,4,2,6,False
2,3,4,3,7,False
2,2,5,4,7,False
1,3,4,4,7,False
1,3,6,3,5,False
2,3,5,3,6,False
2,2,5,2,9,False
2,2,6,3,9,False
3,2,5,2,11,False
7,1,4,1,8,False
3,2,5,3,7,False
2,2,5,3,8,False
3,2,5,2,10,False
2,2,5,3,8,False
2,3,4,2,8,False
1,2,4,2,7,False
1,2,4,2,6,False
2,3,4,3,9,False
2,2,4,3,8,False
1,2,4,2,6,False
2,2,4,2,7,False
3,2,4,2,6,False
2,2,4,2,6,False
2,3,3,1,7,False
5,3,4,3,14,False
2,2,4,2,7,False
2,2,4,4,10,False
2,2,4,3,7,False
3,2,5,1,6,False
2,2,3,2,6,False
2,2,4,2,7,False
1,2,4,2,6,False
3,2,4,1,5,False
3,2,4,1,6,False
2,2,4,4,6,False
2,3,4,2,6,False
1,3,4,2,6,False
2,2,4,1,6,False
1,3,3,1,6,False
1,2,3,1,6,False
1,3,4,1,6,False
1,2,5,1,6,False
1,2,3,3,7,False
2,2,3,1,6,False
4,2,4,1,6,False
2,4,4,1,6,False
2,2,4,1,6,False
1,2,4,1,6,False
1,2,4,1,7,False
1,2,3,1,5,False
1,3,3,1,6,False
1,2,4,1,5,False
1,3,4,1,5,False
1,2,4,1,8,False
1,2,4,1,8,False
1,2,3,1,7,False
2,2,3,1,7,False
2,2,4,1,5,False
1,3,4,1,6,False
1,3,3,0,7,False
2,2,4,1,8,False
2,3,3,1,9,False
1,3,4,1,26,False
1,3,4,0,10,False
1,3,3,1,13,False
1,2,4,1,9,False
2,2,3,0,7,False
1,2,3,1,6,False
2,2,4,1,5,False
1,3,4,1,6,False
1,2,3,1,6,False
1,2,3,0,5,False
1,2,4,1,6,False
1,2,6,0,5,False
1,3,4,1,7,False
1,3,3,0,6,False
1,2,4,0,7,False
1,2,3,0,4,False
1,3,3,1,6,False
1,2,3,1,6,False
1,2,3,0,7,False
2,2,4,1,5,False
1,2,4,1,5,False
1,2,3,0,5,False
1,2,3,0,5,False
1,2,3,0,5,False
1,2,3,0,5,False
1,2,3,0,5,False
2,2,3,0,4,False
1,2,3,0,4,False
2,3,3,0,4,False
3,2,3,0,4,False
1,2,3,2,4,False
1,2,3,1,3,False
1,2,3,1,4,False
2,3,3,0,5,False
1,2,3,0,5,False
1,2,3,1,3,False
1,3,3,0,4,False
1,2,2,0,4,False
1,2,3,0,4,False
1,2,3,0,4,False
1,2,3,0,4,False
1,2,3,0,5,False
1,2,2,0,4,False
1,3,3,0,4,False
1,2,3,0,4,False
1,2,3,0,5,False
1,2,3,0,4,False
1,2,3,0,4,False
1,2,2,0,5,False
1,2,3,0,4,False
1,2,3,0,5,False
1,2,3,0,5,False
1,2,2,8,4,False
1,2,2,0,4,False
1,2,3,0,4,False
1,2,2,1,4,False
1,2,3,0,6,False
1,2,3,0,12,False
1,2,2,0,5,False
1,1,3,1,3,False
1,2,3,0,3,False
1,2,2,0,4,False
1,2,3,0,7,False
1,2,2,0,7,False
1,2,2,0,5,False
1,2,2,0,4,True
