Natalie MacMaster,Sergey Brin + Larry Page,Stew,James Howard Kunstler,Iraola,isPartial
2,2,56,1,0,False
1,5,40,1,1,False
1,3,42,0,1,False
1,7,31,0,1,False
1,4,30,0,1,False
1,3,28,1,1,False
1,3,25,0,1,False
1,6,31,0,1,False
1,4,36,0,1,False
1,4,55,0,0,False
1,2,54,0,0,False
1,4,52,1,0,False
0,4,54,0,0,False
1,4,43,0,1,False
1,4,43,1,0,False
1,4,32,2,1,False
1,3,32,1,0,False
1,3,29,1,1,False
0,3,29,0,1,False
1,3,32,1,0,False
1,6,40,1,1,False
1,6,59,1,1,False
0,5,54,1,0,False
0,5,57,1,1,False
0,11,53,0,0,False
0,5,46,1,0,False
0,6,46,1,1,False
1,4,32,1,0,False
0,4,31,1,1,False
1,4,30,0,1,False
1,4,31,1,1,False
0,3,35,0,0,False
1,5,44,0,1,False
1,5,62,0,0,False
0,3,54,0,1,False
1,3,52,0,1,False
1,3,53,0,0,False
1,4,47,0,1,False
1,4,41,0,1,False
0,4,31,1,1,False
0,5,27,0,1,False
0,3,27,0,1,False
0,3,29,1,1,False
0,3,30,0,1,False
0,6,38,1,1,False
0,5,52,0,0,False
0,7,54,0,1,False
0,9,55,0,1,False
0,4,58,0,1,False
1,4,46,1,0,False
0,3,44,1,1,False
0,3,33,0,1,False
0,5,31,1,1,False
0,4,29,1,0,False
0,3,30,1,0,False
0,3,32,1,1,False
0,6,42,1,1,False
0,3,60,1,1,False
0,3,60,1,1,False
0,3,61,1,1,False
0,3,65,0,1,False
0,3,52,1,1,False
0,3,50,1,1,False
0,3,38,0,1,False
0,3,34,0,1,False
0,3,31,0,1,False
0,2,32,0,1,False
0,3,37,0,1,False
0,3,46,0,1,False
0,4,67,0,1,False
0,4,63,0,1,False
0,3,60,0,1,False
0,4,70,0,1,False
0,3,55,0,0,False
0,4,48,0,1,False
0,3,37,0,1,False
0,3,33,0,1,False
0,3,32,0,1,False
0,2,33,0,0,False
0,3,38,0,1,False
0,4,49,0,1,False
0,4,67,0,1,False
0,3,72,0,1,False
0,3,68,0,1,False
0,11,74,0,1,False
0,4,59,0,1,False
0,4,53,0,1,False
0,6,43,0,1,False
0,4,40,0,1,False
0,3,39,0,1,False
0,6,36,0,1,False
0,5,39,0,1,False
0,5,51,0,1,False
0,6,72,0,1,False
0,4,72,0,1,False
0,3,72,0,1,False
0,4,80,0,1,False
0,4,64,0,1,False
0,3,56,0,1,False
0,6,43,0,1,False
0,4,39,0,1,False
0,5,37,0,0,False
0,4,39,0,1,False
0,3,41,0,1,False
0,4,58,0,1,False
0,4,78,0,0,False
0,3,74,0,1,False
0,3,71,0,1,False
0,7,81,0,1,False
0,5,69,0,1,False
0,5,65,0,0,False
0,5,48,0,0,False
0,8,40,0,1,False
0,4,40,0,0,False
0,4,39,0,0,False
0,8,42,0,1,False
0,8,60,0,1,False
0,6,80,0,1,False
0,6,84,0,1,False
0,5,76,0,1,False
0,5,87,0,1,False
0,5,71,0,1,False
0,7,65,0,1,False
0,6,47,0,1,False
0,6,41,0,1,False
0,5,39,0,1,False
0,5,39,0,1,False
0,6,45,0,1,False
0,6,58,0,1,False
0,6,78,0,1,False
0,6,88,0,1,False
0,5,73,0,0,False
0,5,87,0,1,False
0,5,76,0,1,False
0,5,65,0,1,False
0,5,47,0,1,False
0,5,43,0,2,False
0,5,42,0,1,False
0,5,40,0,1,False
0,10,45,0,1,False
0,7,58,0,1,False
0,5,81,0,1,False
0,5,83,0,1,False
0,4,73,0,0,False
0,4,95,0,1,False
0,5,70,0,0,False
0,4,61,0,0,False
0,4,53,0,0,False
0,4,46,0,1,False
0,4,44,0,1,False
0,3,44,0,1,False
0,3,44,0,0,False
0,4,61,0,0,False
0,3,85,0,1,False
0,3,81,0,1,False
0,4,82,0,1,False
0,5,91,0,0,False
0,4,72,0,0,False
0,4,68,1,0,False
0,4,54,0,0,False
0,4,48,0,0,False
0,3,44,0,0,False
0,3,46,0,0,False
0,3,50,0,0,False
0,3,65,0,0,False
0,3,85,0,0,False
0,4,88,0,0,False
0,3,87,0,0,False
0,3,98,0,0,False
0,3,75,0,0,False
0,3,71,0,0,False
0,3,56,0,0,False
0,3,46,0,0,False
0,3,45,0,0,False
0,3,44,0,0,False
0,3,51,0,0,False
0,5,67,0,0,False
0,4,89,0,0,False
0,3,92,0,0,False
1,3,85,0,0,False
0,3,100,0,0,False
0,3,79,0,0,False
0,3,72,0,0,False
0,3,54,0,0,False
0,3,49,0,0,False
0,3,48,0,0,False
0,3,47,0,0,False
0,4,51,0,0,False
0,4,68,0,0,False
0,3,90,0,0,False
0,3,94,0,0,False
0,8,83,0,0,False
0,3,91,0,1,False
0,3,79,0,1,False
0,3,86,0,0,False
0,3,94,0,0,False
0,3,75,0,0,False
0,3,59,0,0,False
0,4,57,0,1,False
0,3,59,0,1,False
0,4,70,0,0,False
0,4,94,0,0,True
