Sherry Turkle,Chip Kidd,Jack Choi,Lucy McRae,Iraola,isPartial
29,35,0,0,28,False
33,35,14,0,37,False
17,0,0,0,17,False
18,27,13,0,31,False
23,23,0,0,27,False
12,23,0,12,35,False
12,12,0,0,28,False
23,11,11,0,39,False
10,35,0,0,31,False
16,37,11,0,21,False
14,32,11,0,14,False
13,39,10,0,33,False
14,17,0,0,26,False
12,15,9,0,23,False
8,27,0,0,18,False
21,14,9,0,17,False
25,19,0,0,17,False
11,11,8,0,15,False
8,19,0,0,15,False
7,19,0,0,15,False
18,20,0,0,29,False
32,21,0,0,31,False
15,67,19,6,27,False
12,27,0,0,23,False
11,44,8,0,16,False
9,32,6,0,20,False
14,16,5,0,38,False
13,16,0,0,19,False
6,16,5,0,25,False
15,25,5,0,26,False
8,8,5,0,29,False
5,14,0,5,24,False
13,18,0,0,20,False
15,11,8,0,20,False
6,18,0,0,21,False
8,10,4,12,32,False
10,16,4,0,23,False
9,15,0,0,30,False
5,20,3,3,34,False
6,15,3,3,21,False
6,14,3,0,22,False
7,4,0,0,28,False
4,12,3,0,16,False
7,10,3,3,21,False
7,10,3,3,30,False
3,15,2,2,27,False
9,14,2,4,16,False
8,11,5,0,26,False
7,13,0,0,22,False
5,33,0,2,27,False
6,20,0,0,26,False
9,18,4,0,32,False
6,12,3,0,29,False
5,12,0,2,18,False
2,7,0,0,21,False
4,11,0,0,34,False
3,17,2,2,33,False
4,12,3,2,29,False
7,17,6,2,28,False
6,12,2,2,27,False
6,14,3,2,28,False
4,14,2,2,29,False
6,12,2,2,23,False
4,7,2,3,29,False
6,15,3,2,28,False
6,12,3,2,23,False
2,10,3,2,25,False
5,10,2,2,26,False
8,11,2,4,37,False
5,12,1,2,32,False
7,14,3,3,32,False
3,6,2,4,32,False
5,8,2,1,35,False
4,9,3,4,23,False
5,11,2,2,25,False
7,11,3,3,26,False
4,9,4,2,26,False
3,7,4,4,27,False
2,6,1,11,18,False
3,7,2,5,23,False
5,10,4,2,33,False
3,8,3,2,33,False
5,8,3,3,41,False
5,9,2,1,29,False
25,6,3,3,26,False
18,7,4,1,31,False
16,9,2,2,39,False
14,9,3,1,29,False
10,7,4,3,31,False
8,5,4,3,28,False
5,5,3,2,24,False
9,8,3,1,34,False
13,6,2,2,32,False
12,8,2,3,25,False
12,8,2,4,27,False
8,7,3,2,23,False
7,8,4,2,24,False
11,7,4,3,25,False
16,7,2,3,55,False
30,19,6,13,27,False
14,11,6,5,39,False
13,10,5,4,26,False
13,9,3,2,24,False
11,7,3,3,24,False
15,7,3,5,25,False
22,10,2,2,25,False
20,8,2,2,20,False
11,6,2,3,24,False
12,7,3,3,25,False
17,7,2,3,25,False
17,7,2,3,21,False
16,12,2,3,25,False
13,5,3,1,21,False
11,10,7,2,22,False
7,9,6,3,23,False
13,5,4,1,23,False
14,12,3,1,25,False
23,14,2,3,24,False
13,13,3,2,24,False
16,8,2,2,24,False
15,10,2,2,24,False
19,8,2,2,23,False
15,8,2,3,26,False
17,8,3,2,18,False
11,7,3,3,21,False
10,5,2,2,19,False
5,6,3,1,20,False
7,9,3,3,29,False
13,7,2,3,30,False
14,7,2,3,26,False
15,6,2,3,26,False
12,8,2,3,19,False
10,10,2,2,22,False
13,10,3,2,25,False
14,6,4,3,31,False
12,10,1,2,36,False
8,8,2,2,100,False
7,10,3,1,40,False
6,8,3,1,48,False
6,6,3,1,33,False
18,11,3,2,27,False
29,8,2,2,22,False
28,8,2,2,20,False
15,7,2,2,22,False
14,4,2,2,24,False
17,8,3,2,18,False
16,9,4,2,21,False
15,7,4,2,20,False
12,6,1,1,26,False
10,3,2,1,24,False
7,5,3,1,27,False
9,5,2,2,16,False
14,7,2,2,22,False
18,7,3,2,22,False
15,5,2,2,27,False
11,5,2,1,20,False
10,5,1,1,17,False
14,7,1,1,19,False
17,6,1,2,18,False
17,6,1,1,17,False
12,7,3,2,19,False
7,3,2,1,18,False
6,3,2,1,17,False
7,4,1,1,15,False
13,7,1,2,14,False
15,8,2,1,14,False
16,6,2,2,15,False
10,6,1,1,11,False
8,5,2,1,16,False
13,5,2,1,18,False
9,6,2,2,17,False
12,7,1,1,12,False
6,7,1,1,16,False
6,4,1,1,17,False
9,4,2,1,15,False
10,6,1,1,16,False
14,5,1,2,17,False
15,6,2,2,19,False
11,5,3,1,15,False
8,5,1,1,15,False
11,5,2,1,15,False
11,4,2,2,18,False
10,3,2,1,15,False
11,4,1,1,16,False
9,5,1,1,19,False
6,6,2,1,15,False
7,3,2,1,19,False
8,4,2,1,19,False
14,6,2,2,15,False
11,4,2,1,16,False
9,4,3,1,17,False
6,3,4,1,15,False
8,5,3,2,25,False
13,4,3,1,46,False
8,4,2,1,20,False
9,4,2,1,13,False
5,3,3,1,13,False
5,3,2,2,16,False
4,3,3,1,28,False
5,3,2,1,26,False
15,5,2,1,19,False
14,4,2,2,16,True
