Carvens Lissaint,Jonathan Foley,Frank Warren,Frans de Waal,Iraola,isPartial
0,0,50,17,23,False
0,0,42,0,30,False
0,0,56,14,14,False
0,11,44,22,26,False
0,9,44,9,22,False
0,9,44,9,28,False
0,0,46,20,23,False
0,9,37,18,32,False
0,0,28,13,25,False
0,0,55,9,17,False
0,9,32,13,12,False
0,8,40,16,27,False
0,0,68,11,21,False
0,0,52,7,19,False
0,0,37,19,14,False
0,7,46,10,14,False
0,12,49,10,14,False
0,6,62,9,12,False
0,8,50,6,13,False
0,0,42,6,12,False
0,5,42,9,24,False
0,5,60,19,26,False
0,0,46,14,22,False
0,5,77,10,19,False
0,0,46,9,13,False
0,5,53,5,17,False
0,4,73,7,31,False
0,4,39,4,15,False
0,6,49,8,20,False
0,0,32,7,22,False
0,4,40,8,24,False
0,4,40,6,20,False
0,4,41,7,17,False
0,5,57,11,16,False
3,3,53,11,17,False
0,3,85,8,26,False
0,0,61,7,19,False
0,0,69,7,25,False
0,5,59,7,28,False
0,3,75,16,17,False
0,2,45,16,18,False
0,2,55,5,23,False
0,2,100,6,13,False
0,3,53,4,18,False
0,2,58,10,25,False
0,2,88,5,22,False
0,3,75,11,13,False
0,3,74,8,22,False
0,3,87,10,18,False
2,4,70,4,22,False
0,3,85,4,22,False
0,3,94,4,26,False
0,0,57,6,24,False
0,3,61,6,15,False
0,2,64,4,17,False
0,3,45,5,28,False
2,3,68,5,27,False
0,2,43,6,23,False
0,2,55,8,23,False
1,1,64,3,22,False
0,1,58,6,23,False
0,2,49,6,23,False
0,1,61,7,19,False
1,3,49,5,24,False
0,1,44,7,23,False
0,2,39,6,19,False
0,1,44,3,20,False
0,1,35,3,22,False
0,1,34,8,30,False
0,3,56,5,26,False
0,1,39,11,26,False
0,2,52,8,26,False
0,2,56,6,29,False
0,1,37,8,19,False
2,1,36,10,20,False
1,2,28,5,21,False
0,1,34,4,21,False
0,2,30,4,22,False
0,2,33,2,15,False
1,2,33,4,19,False
0,3,45,6,27,False
1,3,39,10,27,False
1,1,34,7,33,False
1,1,46,6,24,False
1,2,35,6,21,False
1,3,32,6,26,False
1,1,31,5,32,False
1,2,30,6,24,False
0,3,53,5,26,False
1,1,27,4,23,False
1,1,40,3,19,False
1,0,26,5,28,False
1,1,41,5,26,False
1,3,40,6,20,False
1,3,35,7,22,False
1,1,29,6,19,False
1,1,30,4,20,False
1,2,41,6,21,False
1,1,31,5,45,False
2,3,34,11,22,False
1,1,44,6,32,False
1,1,24,7,21,False
1,1,33,3,20,False
1,1,17,5,19,False
1,1,22,6,21,False
1,2,24,7,20,False
1,2,21,7,17,False
1,2,24,5,20,False
1,2,21,5,20,False
1,1,21,6,20,False
1,1,41,14,17,False
1,1,26,11,20,False
1,1,18,9,18,False
1,2,22,9,18,False
0,1,23,7,19,False
1,2,22,9,19,False
1,2,24,17,21,False
0,2,17,9,20,False
1,2,23,9,20,False
0,1,18,8,20,False
0,2,21,5,20,False
1,1,18,7,19,False
1,1,18,6,21,False
0,1,17,8,15,False
1,2,16,6,17,False
1,2,14,5,16,False
0,2,22,4,17,False
0,6,69,4,24,False
0,1,31,8,25,False
1,1,23,6,22,False
1,1,35,8,21,False
1,1,24,7,16,False
1,2,20,4,18,False
1,2,23,5,21,False
1,1,21,7,25,False
0,1,21,5,30,False
0,1,22,5,82,False
0,2,19,4,33,False
1,1,19,4,39,False
0,1,21,3,27,False
1,1,18,7,22,False
0,1,19,6,18,False
0,2,17,5,17,False
0,1,26,6,18,False
0,2,23,5,20,False
1,1,21,5,15,False
0,2,23,5,17,False
1,2,28,10,17,False
0,1,22,11,21,False
0,1,21,10,20,False
0,1,17,6,22,False
0,1,15,4,13,False
0,1,21,5,18,False
0,2,20,11,18,False
0,1,20,9,22,False
0,2,25,9,16,False
0,1,24,7,14,False
1,1,25,7,16,False
0,1,23,6,14,False
0,1,25,4,14,False
0,1,29,5,16,False
0,1,22,4,14,False
0,1,19,5,14,False
0,1,18,31,12,False
0,1,25,5,11,False
0,1,22,6,12,False
0,1,25,5,13,False
0,1,25,6,9,False
0,1,22,5,13,False
0,1,25,5,15,False
0,1,26,6,14,False
0,1,32,4,10,False
0,1,27,6,13,False
0,1,31,6,14,False
0,1,19,6,12,False
0,2,29,4,13,False
0,1,28,5,14,False
0,1,28,7,15,False
0,1,30,9,12,False
0,2,44,7,13,False
1,1,21,4,12,False
0,1,21,6,15,False
1,2,23,12,13,False
0,1,19,7,13,False
0,1,20,10,16,False
0,1,31,7,13,False
0,1,19,5,15,False
0,1,21,5,15,False
0,2,35,4,12,False
0,2,24,7,13,False
0,4,20,7,14,False
0,6,25,5,12,False
0,39,16,5,20,False
0,10,49,4,38,False
0,10,18,4,16,False
0,12,13,6,11,False
0,4,14,6,10,False
0,3,17,5,13,False
1,3,15,5,23,False
0,1,28,5,21,False
0,2,18,4,15,False
0,1,17,5,13,True
