Laura Carstensen,Christina Warinner,Michael Norton,Jon Bergmann,Iraola,isPartial
16,0,65,0,33,False
0,0,40,0,24,False
0,0,50,0,20,False
16,0,54,0,31,False
13,13,27,0,27,False
0,0,67,0,27,False
0,0,63,14,35,False
0,0,46,0,39,False
24,0,42,0,36,False
0,0,37,0,49,False
0,0,18,0,31,False
11,0,17,0,40,False
10,0,30,0,20,False
11,0,37,0,31,False
0,0,26,0,18,False
0,0,39,0,44,False
9,0,30,0,26,False
0,0,61,0,30,False
9,0,44,0,27,False
0,0,38,0,21,False
8,0,31,0,27,False
7,0,36,0,18,False
0,0,29,0,47,False
7,0,29,0,18,False
12,0,47,0,13,False
0,0,26,0,39,False
0,0,30,0,44,False
6,0,18,0,33,False
0,0,25,0,44,False
0,0,29,0,35,False
0,0,20,0,34,False
0,0,34,0,32,False
0,0,13,0,23,False
0,0,23,0,11,False
4,0,23,0,18,False
5,0,28,0,37,False
6,0,32,0,34,False
0,0,26,0,41,False
4,0,30,0,30,False
0,0,14,0,16,False
7,0,38,0,18,False
3,0,22,0,21,False
3,0,25,0,30,False
6,0,23,0,28,False
0,0,20,0,36,False
3,0,28,0,33,False
0,0,30,0,23,False
3,0,25,0,37,False
3,0,28,0,22,False
0,0,28,0,27,False
0,0,24,0,27,False
2,0,24,0,30,False
0,0,19,0,31,False
0,0,33,2,27,False
2,0,25,0,23,False
2,0,29,2,37,False
0,0,36,0,36,False
4,0,38,0,37,False
0,0,20,0,36,False
2,0,18,0,38,False
0,0,22,2,40,False
3,0,16,0,38,False
0,0,24,0,33,False
2,0,26,2,27,False
0,0,27,0,31,False
2,0,31,0,32,False
0,0,36,0,27,False
2,0,26,0,28,False
2,0,23,0,40,False
2,0,33,0,36,False
2,0,30,0,33,False
2,0,30,0,32,False
3,0,23,0,47,False
2,0,31,2,28,False
0,0,29,0,27,False
1,0,34,1,29,False
3,0,28,0,27,False
0,0,27,0,28,False
1,0,20,0,29,False
1,0,19,0,31,False
1,0,19,1,38,False
4,0,25,0,26,False
3,0,23,0,51,False
1,0,21,0,38,False
3,0,24,1,29,False
1,0,20,0,39,False
1,0,24,0,51,False
1,0,26,0,28,False
1,0,22,0,46,False
3,0,28,0,39,False
1,0,23,1,29,False
1,0,20,2,48,False
3,0,20,1,38,False
3,0,21,1,30,False
1,0,26,0,27,False
0,1,20,1,28,False
2,0,20,0,28,False
1,0,19,0,30,False
2,0,21,0,57,False
4,3,26,1,35,False
0,2,32,1,42,False
2,0,31,0,30,False
1,1,20,0,24,False
1,0,25,1,29,False
3,0,18,2,33,False
1,0,19,1,23,False
1,0,25,0,23,False
1,0,29,1,27,False
0,0,21,1,29,False
1,0,40,1,27,False
1,1,30,0,26,False
1,2,39,0,25,False
2,1,31,1,25,False
1,1,31,1,25,False
1,1,23,1,26,False
1,3,26,1,25,False
1,1,31,1,27,False
3,1,29,0,26,False
1,1,24,1,28,False
2,1,25,1,24,False
2,1,35,1,26,False
1,1,24,1,27,False
2,1,26,1,32,False
1,1,28,1,20,False
2,1,57,1,23,False
1,0,43,0,22,False
1,1,23,1,28,False
1,1,26,1,34,False
1,1,23,1,37,False
2,1,27,1,30,False
2,1,33,1,33,False
1,1,30,0,23,False
1,1,44,2,29,False
1,1,70,1,30,False
1,1,42,1,41,False
2,1,25,1,46,False
1,2,32,0,100,False
1,1,28,1,42,False
3,1,24,0,52,False
1,1,31,1,40,False
1,1,25,1,32,False
1,1,28,0,23,False
0,1,38,1,29,False
1,0,22,1,24,False
1,1,27,1,27,False
2,1,31,0,22,False
1,1,23,1,25,False
1,1,20,1,23,False
1,0,25,1,33,False
1,1,27,1,31,False
1,1,18,1,30,False
2,1,19,1,19,False
2,1,22,1,24,False
2,1,18,1,26,False
1,1,25,1,32,False
1,0,35,0,24,False
1,1,29,0,18,False
1,1,25,1,24,False
1,1,29,0,21,False
0,1,27,1,21,False
0,0,29,1,26,False
1,1,22,1,19,False
1,1,21,1,21,False
1,0,20,0,17,False
1,0,15,1,18,False
0,0,20,1,18,False
1,0,24,0,18,False
0,1,18,0,15,False
1,0,21,0,18,False
1,0,15,0,18,False
1,0,21,0,18,False
2,1,19,0,17,False
0,0,19,1,19,False
0,0,16,0,14,False
1,0,17,0,17,False
0,0,18,1,20,False
0,0,19,0,24,False
1,0,27,0,22,False
1,1,30,0,19,False
0,0,32,0,19,False
1,0,19,0,15,False
1,0,22,0,22,False
0,1,19,1,17,False
0,0,16,1,20,False
1,0,21,1,22,False
0,0,24,0,18,False
1,0,16,0,24,False
2,0,19,0,19,False
1,0,16,0,18,False
0,0,17,1,18,False
1,1,22,0,16,False
1,1,23,0,20,False
0,1,25,0,30,False
1,1,26,0,57,False
1,1,15,1,27,False
1,0,24,0,18,False
0,1,19,0,14,False
1,0,17,0,17,False
1,0,17,0,40,False
1,1,19,0,26,False
1,0,17,0,22,False
1,0,17,1,20,True
