Eduardo Paes,Nancy Lublin,Joe Smith,Brenda Romero,Iraola,isPartial
0,0,29,3,8,False
7,0,28,0,4,False
0,0,32,3,3,False
0,0,15,2,5,False
2,0,19,0,3,False
2,2,22,2,4,False
4,0,24,2,6,False
4,0,29,0,6,False
2,0,22,2,5,False
4,0,23,2,6,False
2,0,18,2,5,False
2,2,23,0,5,False
3,0,35,0,4,False
0,0,30,2,4,False
3,1,25,0,5,False
2,0,27,0,7,False
0,0,21,0,3,False
3,0,25,0,5,False
3,0,25,1,5,False
1,1,20,0,3,False
1,0,20,0,5,False
1,0,23,1,4,False
2,0,28,1,6,False
2,0,25,0,3,False
2,0,32,1,2,False
1,0,27,0,5,False
1,0,25,0,6,False
2,1,19,0,4,False
1,0,19,1,6,False
1,0,21,1,5,False
3,0,17,1,6,False
2,1,23,0,4,False
10,0,21,1,4,False
6,0,23,1,4,False
0,0,19,0,3,False
1,0,25,1,5,False
2,0,17,0,5,False
1,0,26,0,6,False
1,1,20,1,5,False
1,1,25,1,3,False
1,1,32,0,3,False
2,1,20,1,4,False
1,1,26,1,4,False
2,0,19,1,4,False
1,0,17,0,6,False
1,0,20,0,4,False
1,0,19,0,4,False
1,0,19,1,5,False
1,1,22,0,4,False
2,0,30,0,4,False
1,0,21,1,5,False
1,0,19,1,5,False
1,0,26,1,5,False
2,0,18,0,5,False
3,0,21,0,3,False
5,0,20,1,5,False
15,0,19,1,6,False
48,1,24,0,6,False
8,1,22,0,6,False
4,0,23,1,6,False
7,0,20,0,6,False
5,1,27,0,6,False
4,0,29,0,4,False
5,0,23,1,5,False
4,0,24,1,5,False
4,0,19,0,6,False
3,0,19,1,4,False
3,1,22,1,4,False
5,0,18,1,6,False
3,0,18,1,6,False
3,1,17,1,6,False
2,0,17,1,5,False
2,0,20,1,7,False
3,1,17,1,5,False
3,0,17,1,4,False
6,0,20,1,5,False
4,0,16,1,4,False
2,0,17,1,5,False
2,0,22,1,5,False
3,0,19,1,5,False
3,0,19,1,6,False
4,0,19,1,5,False
4,0,17,0,7,False
4,0,64,0,6,False
3,0,23,1,5,False
4,0,20,0,6,False
4,0,18,1,8,False
3,0,19,0,5,False
3,0,18,0,7,False
3,0,19,1,6,False
2,0,15,1,4,False
3,0,16,0,8,False
2,0,17,1,5,False
3,0,15,1,5,False
2,0,19,1,5,False
2,0,19,2,4,False
3,0,23,1,5,False
3,0,18,0,5,False
4,0,21,1,9,False
3,0,18,1,5,False
4,1,21,0,7,False
4,0,21,1,5,False
7,0,20,0,4,False
14,0,17,0,5,False
18,0,20,0,5,False
28,0,16,0,4,False
6,0,18,1,4,False
3,0,18,0,5,False
4,0,24,1,4,False
3,0,22,1,4,False
3,0,20,1,4,False
3,0,20,1,4,False
8,0,17,1,4,False
11,0,16,0,4,False
7,0,18,1,4,False
5,0,17,0,4,False
3,0,19,1,4,False
5,0,16,1,4,False
2,0,18,0,4,False
4,0,17,1,4,False
3,0,19,0,4,False
5,0,17,1,4,False
7,0,14,1,5,False
3,0,18,1,3,False
4,1,16,1,4,False
4,0,16,1,4,False
5,0,18,1,4,False
6,0,16,1,6,False
2,0,15,1,6,False
3,0,16,1,4,False
2,0,18,0,5,False
2,0,18,0,4,False
2,0,18,1,4,False
9,0,17,1,4,False
3,0,17,1,6,False
2,0,17,1,7,False
2,0,16,0,16,False
2,0,16,1,7,False
3,0,19,1,8,False
2,0,17,1,6,False
3,0,18,1,5,False
3,0,17,1,4,False
5,0,15,1,4,False
4,0,17,0,4,False
3,0,18,1,4,False
3,0,17,0,3,False
37,0,16,0,4,False
7,0,16,0,4,False
5,0,16,0,5,False
4,0,23,1,5,False
16,0,17,0,5,False
26,0,23,1,3,False
7,0,15,0,4,False
6,0,19,0,4,False
6,0,18,0,5,False
6,0,49,0,4,False
2,0,21,1,3,False
2,0,21,1,3,False
2,0,17,1,3,False
3,0,17,1,3,False
2,0,16,0,4,False
2,0,18,0,3,False
2,0,23,1,3,False
2,0,19,0,3,False
2,0,19,0,3,False
2,0,18,0,3,False
2,0,18,0,3,False
2,0,24,0,2,False
1,0,18,0,3,False
2,0,15,1,3,False
2,0,26,0,3,False
2,0,15,0,3,False
2,0,14,1,3,False
2,0,22,0,3,False
4,0,16,0,3,False
8,0,17,0,3,False
22,0,16,0,3,False
100,0,18,0,4,False
3,0,31,0,3,False
2,0,17,0,3,False
6,0,17,1,2,False
2,0,20,0,3,False
2,0,21,0,3,False
2,0,15,1,3,False
2,0,13,1,3,False
1,0,16,1,3,False
2,0,15,1,3,False
2,0,19,1,3,False
2,0,20,0,3,False
2,0,24,1,3,False
2,0,17,0,3,False
3,0,37,0,3,False
2,0,34,0,5,False
2,0,24,1,9,False
2,0,16,0,4,False
2,0,21,0,3,False
2,0,19,1,2,False
4,3,16,1,3,False
3,0,20,1,6,False
3,0,24,0,4,False
9,0,21,0,3,False
15,0,23,0,3,True
