Lisa Kristine,Mark Forsyth,Ivan Krastev,Caitria + Morgan O'Neill,Iraola,isPartial
0,16,16,0,47,False
16,16,16,0,26,False
0,0,20,0,19,False
0,15,15,0,30,False
13,13,0,13,22,False
13,13,0,0,26,False
14,14,0,0,36,False
13,13,0,0,38,False
12,12,0,0,31,False
12,0,0,12,40,False
12,0,0,0,32,False
11,11,0,11,33,False
16,10,10,0,26,False
10,10,0,10,24,False
17,17,0,9,28,False
10,0,0,0,45,False
8,8,8,0,20,False
21,0,0,0,31,False
9,9,0,9,29,False
8,0,0,0,19,False
13,13,0,0,30,False
12,0,0,0,26,False
7,7,0,0,35,False
10,0,0,0,19,False
10,12,6,0,14,False
6,13,6,0,31,False
8,0,5,5,38,False
17,6,6,6,27,False
5,7,11,5,37,False
11,6,0,6,34,False
11,0,6,6,37,False
8,8,0,0,26,False
10,5,5,0,26,False
6,5,9,0,24,False
4,7,0,0,17,False
9,11,5,0,32,False
4,4,0,0,30,False
6,6,8,4,39,False
8,6,0,4,34,False
8,4,0,0,20,False
8,7,3,3,17,False
6,7,0,3,25,False
11,3,7,3,28,False
6,3,3,3,27,False
8,0,3,0,35,False
7,8,4,6,24,False
4,4,3,0,23,False
9,6,3,3,31,False
8,3,3,0,24,False
4,7,4,3,26,False
4,2,4,0,31,False
4,2,2,0,29,False
5,5,5,2,34,False
9,6,5,2,29,False
7,6,0,2,20,False
6,4,2,0,33,False
5,4,0,2,37,False
8,5,2,0,36,False
7,5,4,2,35,False
3,5,2,2,38,False
5,4,2,2,37,False
6,3,4,2,37,False
10,3,2,2,26,False
6,3,0,2,29,False
6,3,2,0,29,False
5,5,2,0,36,False
6,3,3,0,25,False
6,3,2,3,28,False
6,2,2,2,38,False
8,4,3,2,36,False
6,4,2,0,37,False
10,3,2,3,31,False
7,2,1,0,43,False
6,6,2,1,29,False
7,2,2,0,25,False
2,4,1,1,28,False
4,3,3,1,27,False
4,6,1,3,31,False
2,4,1,1,29,False
5,3,4,0,29,False
3,4,1,2,37,False
7,3,1,1,31,False
6,4,1,2,46,False
5,3,0,2,36,False
5,6,2,0,30,False
3,3,1,2,37,False
3,2,1,1,48,False
4,2,1,1,30,False
3,3,1,2,41,False
3,2,2,1,38,False
4,4,0,2,28,False
4,4,1,0,51,False
5,1,0,1,33,False
2,4,2,0,30,False
5,1,1,1,30,False
4,9,1,1,25,False
4,4,2,2,30,False
6,4,3,0,30,False
3,3,2,1,58,False
4,5,1,1,32,False
3,3,1,1,42,False
2,3,1,1,31,False
4,3,2,1,24,False
14,4,1,1,28,False
10,3,1,1,34,False
6,6,1,0,26,False
4,6,1,1,23,False
6,7,1,1,29,False
5,4,2,1,27,False
3,4,2,1,26,False
4,3,1,1,24,False
3,3,2,1,25,False
3,4,2,1,23,False
5,4,1,1,23,False
3,3,2,2,27,False
5,4,1,1,26,False
4,6,1,1,26,False
5,5,1,1,26,False
4,9,1,1,26,False
4,7,1,1,23,False
4,3,1,2,26,False
7,4,2,1,27,False
7,3,2,1,30,False
5,5,1,1,20,False
5,3,2,1,22,False
3,4,1,1,22,False
4,4,1,1,26,False
4,4,1,1,35,False
5,3,1,1,36,False
5,5,1,1,27,False
2,3,2,1,29,False
5,4,2,1,22,False
5,4,1,1,26,False
4,3,1,2,27,False
3,3,1,1,41,False
5,3,1,1,45,False
4,2,2,1,100,False
4,2,1,1,45,False
4,3,1,1,52,False
3,2,1,1,37,False
4,3,1,1,31,False
4,2,2,0,23,False
4,4,1,1,27,False
5,4,1,1,25,False
6,2,1,1,28,False
3,4,2,1,21,False
4,3,1,0,25,False
3,4,2,1,22,False
4,3,1,1,34,False
3,3,1,1,29,False
1,2,2,1,30,False
3,3,1,1,19,False
3,7,1,1,25,False
2,4,1,0,26,False
3,4,1,1,30,False
3,5,2,1,23,False
4,4,1,0,17,False
4,4,2,2,21,False
3,4,1,1,21,False
3,3,2,1,21,False
4,2,2,0,26,False
2,3,2,1,19,False
2,1,2,0,20,False
3,5,4,0,18,False
2,3,3,0,16,False
4,3,3,1,19,False
3,2,3,1,16,False
3,3,3,1,15,False
3,2,3,1,19,False
3,3,3,0,17,False
4,2,5,1,18,False
2,3,3,1,16,False
3,3,3,1,17,False
2,2,2,1,16,False
2,2,4,1,16,False
2,2,2,1,20,False
3,3,3,1,22,False
3,4,1,1,22,False
3,3,2,1,19,False
3,3,3,1,20,False
3,2,2,1,15,False
3,2,2,0,20,False
2,3,3,1,16,False
1,2,2,1,20,False
2,3,3,1,21,False
2,2,1,1,17,False
1,2,1,1,20,False
1,3,1,1,19,False
2,3,1,1,18,False
2,2,3,1,17,False
3,3,8,0,17,False
2,2,5,1,18,False
3,2,2,1,28,False
2,2,4,1,56,False
2,2,5,1,25,False
2,2,2,1,18,False
1,3,1,0,15,False
2,2,6,1,18,False
1,2,4,1,36,False
1,2,3,0,27,False
2,2,3,1,22,False
2,3,2,0,19,True
