Jake Wood,Gary Greenberg,Georgette Mulheir,Jeff Hancock,Iraola,isPartial
10,10,0,10,30,False
0,10,0,20,17,False
0,12,0,12,12,False
0,0,0,10,19,False
12,16,0,0,14,False
17,0,0,8,17,False
17,9,0,9,23,False
20,12,0,0,24,False
22,7,0,0,20,False
7,8,0,8,25,False
8,10,0,0,20,False
21,9,0,11,21,False
10,8,0,6,16,False
10,16,0,7,15,False
5,5,0,0,18,False
0,6,0,6,28,False
5,8,0,11,12,False
8,7,0,0,20,False
16,5,0,5,18,False
5,5,0,16,12,False
7,7,0,5,19,False
0,7,0,9,16,False
4,7,4,4,22,False
7,7,0,0,12,False
8,8,0,4,9,False
4,4,0,0,20,False
10,3,0,7,24,False
15,6,0,0,17,False
9,7,0,3,23,False
18,5,0,9,21,False
18,6,0,3,23,False
12,4,0,7,16,False
13,9,0,8,17,False
12,3,0,3,15,False
12,5,0,4,11,False
10,6,0,3,20,False
15,2,0,0,19,False
13,4,0,5,25,False
14,3,0,3,21,False
8,4,0,3,13,False
13,4,0,5,11,False
9,3,0,3,16,False
12,6,0,3,17,False
13,4,0,7,17,False
10,8,0,2,22,False
9,3,0,3,15,False
16,3,0,3,15,False
14,6,0,3,19,False
15,6,0,3,15,False
14,4,0,5,16,False
29,2,0,3,19,False
13,3,0,4,18,False
8,3,0,4,22,False
9,5,2,5,18,False
13,2,0,4,13,False
15,2,0,5,21,False
8,2,0,4,23,False
20,3,0,4,23,False
12,2,1,3,22,False
9,3,0,4,24,False
13,4,0,4,24,False
10,4,0,4,23,False
7,2,0,3,17,False
9,2,0,5,18,False
10,3,0,3,19,False
8,4,0,3,23,False
9,3,0,4,16,False
12,3,0,5,17,False
11,3,0,2,24,False
8,3,0,2,23,False
10,3,0,2,24,False
10,4,0,2,20,False
14,2,0,3,27,False
17,4,0,3,18,False
13,6,0,3,16,False
12,3,0,4,18,False
16,3,0,3,17,False
14,4,0,5,20,False
10,3,0,4,18,False
13,2,0,3,18,False
7,3,1,3,23,False
9,3,0,2,20,False
13,1,0,3,29,False
14,2,0,2,23,False
9,2,1,1,19,False
7,3,0,4,23,False
11,3,0,1,31,False
23,3,0,3,19,False
8,2,1,3,26,False
13,2,1,2,24,False
9,6,1,3,17,False
22,2,0,3,32,False
11,3,1,2,21,False
16,2,0,3,19,False
20,2,0,1,19,False
10,3,0,3,16,False
13,4,0,3,19,False
11,3,0,2,19,False
9,3,0,3,37,False
11,2,0,1,20,False
11,2,0,2,27,False
12,2,0,2,20,False
13,2,0,2,15,False
13,2,0,2,18,False
12,3,0,2,21,False
10,2,0,1,16,False
14,3,0,2,14,False
16,3,0,1,18,False
23,2,1,3,17,False
19,3,0,3,16,False
17,2,1,2,15,False
26,2,0,3,16,False
26,4,0,2,14,False
16,3,0,2,15,False
17,2,0,1,17,False
16,2,0,1,16,False
18,2,0,1,16,False
12,4,0,1,16,False
17,1,0,2,17,False
12,3,0,2,14,False
14,5,0,1,17,False
13,3,1,2,17,False
12,2,0,2,19,False
19,2,0,2,13,False
26,2,0,2,14,False
12,2,0,2,14,False
11,3,0,2,16,False
24,2,0,2,22,False
28,2,0,2,23,False
100,2,0,2,17,False
50,2,1,2,18,False
42,1,0,2,14,False
25,1,0,2,17,False
33,1,0,3,17,False
12,2,0,3,26,False
13,1,0,2,29,False
14,2,0,2,63,False
10,2,0,2,28,False
14,2,0,2,33,False
13,1,0,1,24,False
16,1,0,2,20,False
19,2,0,2,14,False
15,2,0,2,17,False
14,2,0,1,16,False
11,2,0,2,17,False
11,2,0,2,13,False
11,1,0,2,16,False
12,2,0,2,14,False
12,2,0,2,21,False
11,2,0,1,18,False
9,2,0,1,19,False
9,1,0,1,12,False
10,1,0,1,16,False
10,1,1,1,16,False
10,2,0,1,19,False
11,2,0,1,15,False
14,2,0,1,11,False
14,1,0,2,14,False
10,2,0,2,13,False
9,2,0,2,13,False
8,2,0,1,16,False
11,2,0,1,12,False
13,2,0,1,12,False
13,1,0,1,12,False
13,1,0,2,10,False
12,1,1,2,12,False
10,1,0,1,10,False
29,1,0,1,10,False
15,1,0,2,12,False
11,1,0,1,11,False
9,1,0,1,12,False
13,1,0,2,10,False
10,1,0,1,11,False
12,1,0,2,10,False
29,2,0,1,10,False
12,1,0,2,12,False
10,1,0,2,14,False
8,1,0,2,14,False
10,2,0,1,12,False
21,1,0,1,12,False
11,1,0,2,10,False
9,1,0,2,13,False
8,2,0,1,10,False
17,2,0,2,12,False
9,1,0,1,13,False
7,1,0,1,11,False
12,2,0,1,13,False
13,1,0,1,12,False
12,1,1,1,12,False
7,1,0,1,11,False
10,1,0,1,11,False
10,1,0,1,11,False
10,1,0,2,18,False
12,1,0,2,35,False
11,1,0,1,16,False
12,1,0,1,11,False
11,2,0,1,10,False
12,1,0,1,11,False
9,1,0,1,23,False
9,1,0,1,17,False
16,1,0,1,14,False
9,2,0,1,12,True
