Fahad Al-Attiya,Kid President,Zahra' Langhi,Tyler DeWitt,Iraola,isPartial
0,3,0,7,7,False
0,6,0,0,9,False
0,8,0,0,4,False
0,11,0,0,7,False
0,3,0,0,6,False
0,4,0,0,8,False
0,4,0,0,7,False
0,4,0,0,9,False
0,6,0,0,7,False
0,15,0,2,5,False
0,8,0,0,3,False
0,0,0,2,8,False
0,3,0,2,6,False
0,5,0,0,5,False
0,2,0,0,4,False
0,2,0,0,4,False
0,2,0,0,4,False
0,2,0,0,4,False
0,2,0,0,4,False
0,3,0,0,3,False
0,5,0,2,7,False
0,3,0,0,7,False
0,4,0,0,6,False
0,4,0,0,5,False
0,4,0,0,4,False
0,6,0,1,5,False
0,3,0,1,9,False
0,4,0,1,4,False
0,1,0,1,6,False
0,2,0,1,6,False
0,5,0,0,7,False
0,1,0,0,6,False
0,1,0,1,5,False
0,5,0,1,5,False
0,2,0,1,5,False
0,3,0,1,8,False
0,2,0,0,5,False
0,4,0,0,7,False
0,2,0,0,8,False
1,2,0,1,5,False
0,1,0,0,5,False
0,1,0,0,7,False
0,3,0,1,4,False
0,2,0,0,5,False
0,3,0,1,7,False
0,2,0,0,6,False
0,2,0,1,4,False
0,1,0,1,6,False
0,3,0,0,5,False
0,3,0,1,6,False
0,2,0,0,6,False
0,4,0,0,7,False
0,3,0,0,7,False
0,2,0,1,4,False
0,1,0,0,5,False
0,2,0,0,8,False
0,4,0,0,8,False
0,7,0,0,7,False
0,5,0,1,7,False
0,3,0,0,6,False
0,5,0,0,7,False
0,4,0,0,7,False
0,5,0,0,5,False
0,3,0,1,7,False
0,4,0,0,7,False
0,2,0,1,5,False
0,2,0,1,6,False
0,3,0,1,6,False
0,3,0,0,9,False
0,2,0,0,7,False
0,3,0,0,7,False
0,4,0,0,7,False
0,2,0,0,8,False
0,4,0,0,5,False
0,3,0,0,6,False
0,2,0,0,6,False
0,4,0,1,6,False
0,3,0,0,6,False
0,1,0,0,4,False
0,3,0,0,5,False
0,3,0,0,8,False
0,3,0,0,8,False
0,3,0,0,10,False
0,2,0,0,7,False
0,4,0,0,6,False
0,4,0,0,7,False
0,2,0,0,9,False
0,2,0,0,7,False
0,3,0,1,7,False
0,2,0,0,6,False
0,1,0,0,6,False
0,2,0,0,8,False
0,2,0,0,8,False
0,3,0,0,6,False
0,3,0,0,6,False
0,2,0,0,5,False
0,3,0,0,6,False
0,4,0,0,6,False
0,2,0,0,13,False
0,3,0,0,6,False
0,3,0,0,9,False
0,2,0,0,6,False
0,2,0,0,6,False
0,3,0,0,6,False
0,4,0,0,6,False
0,7,0,0,6,False
0,7,0,0,5,False
0,4,0,0,6,False
0,49,0,0,6,False
0,100,0,4,6,False
0,60,0,1,5,False
0,65,0,1,6,False
0,54,0,1,5,False
0,20,0,1,5,False
0,15,0,1,5,False
0,29,0,0,5,False
0,34,0,2,6,False
0,34,0,1,6,False
0,43,0,1,6,False
0,34,0,1,6,False
0,37,0,1,6,False
0,51,0,1,6,False
0,39,0,1,6,False
0,30,0,1,4,False
0,31,0,1,5,False
0,23,0,1,5,False
0,17,0,1,5,False
0,47,0,1,7,False
0,39,0,2,7,False
0,30,0,1,6,False
0,23,0,1,6,False
0,22,0,2,5,False
0,28,0,1,5,False
0,36,0,1,6,False
0,27,0,1,7,False
0,22,0,1,8,False
0,27,0,1,23,False
0,15,0,1,9,False
0,13,0,1,11,False
0,33,0,1,8,False
0,32,0,2,6,False
0,25,0,2,5,False
0,23,0,2,5,False
0,19,0,2,5,False
0,28,0,2,6,False
0,28,0,3,4,False
0,21,0,2,5,False
0,20,0,2,5,False
0,19,0,2,6,False
0,14,0,1,6,False
0,12,0,1,6,False
0,31,0,1,4,False
0,32,0,3,5,False
0,28,0,2,5,False
0,43,0,3,6,False
0,14,0,2,5,False
0,42,0,3,4,False
0,25,0,3,4,False
0,18,0,3,4,False
0,14,0,3,4,False
0,18,0,2,5,False
0,10,0,2,4,False
0,10,0,1,4,False
0,20,0,2,3,False
0,24,0,2,3,False
0,18,0,3,3,False
0,17,0,3,4,False
0,12,0,2,3,False
0,23,0,3,4,False
0,20,0,2,4,False
0,15,0,2,4,False
0,14,0,2,3,False
0,14,0,2,4,False
0,8,0,1,4,False
0,7,0,1,4,False
0,18,0,1,4,False
0,17,0,2,4,False
0,16,0,3,4,False
0,16,0,2,3,False
0,14,0,2,4,False
0,22,0,2,4,False
0,17,0,2,4,False
0,13,0,3,4,False
0,14,0,2,4,False
0,13,0,1,4,False
0,7,0,1,4,False
0,8,0,1,4,False
0,17,0,1,4,False
0,17,0,2,3,False
0,24,0,2,4,False
0,15,0,2,4,False
0,11,0,2,3,False
0,22,0,2,6,False
0,19,0,2,11,False
0,15,0,2,5,False
0,16,0,2,3,False
0,12,0,2,3,False
0,11,0,1,4,False
0,8,0,1,7,False
0,18,0,1,6,False
0,30,0,2,4,False
0,17,0,1,4,True
