Cesar Kuriyama,Edi Rama,Shabana Basij-Rasikh,Erik Schlangen,Iraola,isPartial
0,19,0,0,12,False
0,12,0,0,37,False
0,15,0,0,15,False
0,0,0,0,36,False
0,10,0,0,26,False
10,10,0,0,35,False
0,11,0,0,21,False
10,0,0,0,50,False
0,9,0,0,27,False
0,9,0,0,9,False
0,0,0,0,9,False
0,17,0,0,30,False
0,8,0,0,19,False
0,8,0,0,20,False
0,27,0,0,10,False
0,15,0,0,15,False
0,7,0,0,20,False
0,7,0,0,13,False
0,17,0,0,17,False
7,13,0,0,7,False
0,6,0,0,24,False
0,14,0,0,33,False
0,11,0,0,33,False
0,16,0,0,19,False
0,10,0,0,12,False
0,10,0,0,17,False
0,8,0,0,34,False
0,14,0,0,16,False
0,10,0,0,27,False
0,0,0,4,17,False
0,4,0,0,24,False
0,12,0,0,18,False
0,4,0,0,15,False
3,5,0,0,14,False
0,7,0,0,21,False
0,5,0,0,34,False
0,9,0,0,25,False
0,78,0,0,32,False
0,3,0,0,30,False
0,6,0,0,15,False
0,5,0,0,20,False
0,5,0,0,21,False
0,0,0,0,10,False
2,4,0,0,20,False
0,6,0,0,24,False
0,2,0,0,28,False
0,2,0,0,15,False
0,4,0,2,25,False
0,4,0,0,19,False
0,7,0,0,25,False
0,4,0,0,20,False
0,7,0,0,31,False
0,2,0,0,22,False
0,3,0,0,15,False
0,7,0,0,18,False
0,2,0,2,35,False
2,7,0,0,30,False
2,9,0,0,28,False
0,6,0,0,27,False
2,8,0,0,26,False
0,5,0,0,24,False
2,9,0,0,26,False
1,13,0,0,25,False
0,14,0,0,26,False
1,15,0,0,27,False
0,63,0,0,19,False
0,27,0,1,23,False
0,3,0,0,25,False
0,9,0,2,34,False
0,10,0,0,31,False
0,18,0,0,29,False
0,18,0,0,28,False
0,7,0,0,33,False
0,16,0,0,20,False
0,4,0,0,18,False
0,9,0,1,24,False
0,17,0,0,25,False
0,7,0,1,24,False
0,5,0,1,15,False
0,7,0,0,22,False
0,6,0,0,26,False
0,51,0,0,27,False
0,8,0,0,35,False
0,7,0,0,26,False
1,31,0,0,22,False
1,12,0,2,27,False
0,11,0,0,31,False
0,20,0,0,24,False
0,49,0,0,28,False
0,12,1,0,24,False
0,9,0,0,21,False
0,3,0,1,28,False
0,4,0,0,28,False
0,8,0,0,21,False
0,16,0,0,24,False
0,14,0,0,21,False
0,10,0,0,19,False
0,11,0,1,23,False
2,10,0,0,44,False
1,7,0,0,24,False
0,8,0,1,32,False
1,7,0,0,22,False
1,5,0,0,20,False
0,5,0,0,19,False
0,6,0,0,19,False
0,6,0,0,20,False
1,7,0,1,18,False
3,6,1,0,21,False
3,11,0,0,24,False
2,13,1,2,24,False
2,12,2,0,17,False
0,17,1,0,21,False
1,22,1,0,20,False
1,84,0,1,20,False
1,38,1,0,19,False
1,22,0,0,19,False
1,37,0,1,21,False
1,34,1,0,20,False
0,33,1,0,22,False
0,25,0,0,22,False
1,22,1,0,19,False
1,20,0,0,20,False
0,16,1,0,23,False
0,20,0,0,17,False
0,19,1,0,17,False
0,27,0,1,18,False
0,22,0,0,19,False
0,17,0,0,26,False
0,25,0,0,28,False
0,50,0,0,24,False
0,100,0,0,25,False
0,38,1,0,17,False
0,36,0,0,19,False
0,35,0,0,23,False
0,24,0,0,28,False
0,23,0,0,31,False
0,31,0,0,85,False
1,30,0,0,34,False
1,25,0,0,42,False
0,18,0,0,30,False
1,21,0,0,24,False
0,26,0,0,19,False
0,26,0,0,16,False
0,17,0,0,16,False
0,28,0,0,21,False
0,27,0,0,16,False
0,23,1,0,19,False
0,27,0,0,17,False
0,19,0,0,21,False
0,26,0,1,21,False
0,20,0,0,23,False
1,14,0,0,13,False
1,22,0,0,19,False
0,32,0,0,20,False
0,36,0,1,24,False
0,22,0,0,16,False
1,17,1,0,17,False
0,25,0,0,18,False
0,23,0,0,18,False
0,31,0,0,16,False
1,27,0,0,15,False
0,56,1,0,17,False
0,32,0,0,14,False
2,18,0,0,12,False
1,17,0,0,13,False
1,22,0,0,12,False
0,24,0,0,13,False
1,20,1,0,10,False
0,20,1,0,13,False
1,22,0,0,17,False
0,18,1,1,14,False
0,21,1,0,12,False
0,19,1,0,15,False
0,19,0,0,14,False
0,20,0,0,14,False
0,16,0,0,14,False
0,16,0,0,14,False
0,26,0,0,16,False
0,30,0,0,14,False
0,41,0,0,14,False
0,41,0,0,13,False
0,39,0,0,14,False
1,33,0,0,13,False
1,22,0,0,13,False
0,26,0,0,18,False
0,37,0,0,13,False
0,25,0,0,17,False
0,17,0,0,15,False
0,20,0,0,13,False
0,25,1,0,14,False
0,43,0,0,15,False
0,53,0,0,14,False
1,25,0,1,22,False
0,30,0,0,43,False
0,87,0,0,18,False
0,50,0,0,11,False
0,39,0,0,10,False
0,30,0,0,15,False
0,22,0,0,27,False
0,24,0,0,22,False
0,20,0,0,16,False
0,26,1,0,14,True
