Paul Pholeros,Peter Attia,Bob Mankoff,Michael Archer,Iraola,isPartial
0,0,0,21,28,False
0,0,0,14,37,False
0,0,0,46,17,False
0,0,0,13,31,False
0,0,12,23,27,False
0,0,11,12,35,False
12,0,12,30,28,False
0,0,0,26,39,False
0,0,10,21,31,False
0,10,0,26,21,False
0,0,0,21,14,False
0,0,0,20,33,False
0,0,9,20,26,False
0,0,0,27,23,False
8,0,8,38,18,False
0,0,0,17,17,False
0,0,0,17,17,False
0,8,8,20,15,False
0,0,8,15,15,False
7,0,0,17,15,False
0,7,0,24,29,False
0,12,0,17,31,False
6,6,6,15,27,False
0,0,0,29,23,False
0,0,0,20,16,False
0,6,0,15,20,False
0,0,0,14,38,False
0,0,0,14,19,False
0,0,0,20,25,False
0,0,0,20,26,False
0,0,0,20,29,False
0,9,5,12,24,False
4,4,0,18,20,False
0,0,0,11,20,False
4,0,4,8,21,False
0,8,0,10,32,False
0,0,7,12,23,False
0,0,0,13,30,False
0,0,3,15,34,False
0,0,3,13,21,False
0,3,0,11,22,False
0,3,0,8,28,False
3,0,0,15,16,False
3,0,0,8,21,False
0,3,0,7,30,False
2,0,0,18,27,False
2,0,0,8,16,False
0,0,3,10,26,False
0,0,2,16,22,False
0,0,2,17,27,False
2,2,0,14,26,False
0,0,2,15,32,False
2,0,0,8,29,False
0,0,0,10,18,False
2,2,2,10,21,False
2,0,0,13,34,False
0,0,0,11,33,False
2,2,0,10,29,False
0,0,2,10,28,False
2,0,2,7,27,False
2,2,2,6,28,False
0,3,2,8,29,False
0,0,0,11,23,False
0,2,0,8,29,False
0,0,0,11,28,False
2,2,2,9,23,False
0,2,2,11,25,False
0,2,0,16,26,False
1,1,1,10,37,False
1,1,1,9,32,False
2,1,2,11,32,False
0,1,2,8,32,False
0,0,0,11,35,False
0,3,0,12,23,False
1,2,1,12,25,False
1,0,1,12,26,False
1,0,1,6,26,False
1,1,1,11,27,False
0,1,2,14,18,False
0,0,0,7,23,False
1,1,1,11,33,False
0,2,1,9,33,False
1,0,1,7,41,False
0,0,2,9,29,False
2,0,1,11,26,False
1,0,1,12,31,False
1,0,0,9,39,False
1,1,0,13,29,False
1,0,1,9,31,False
1,0,1,5,28,False
1,1,1,5,24,False
1,0,1,7,34,False
0,1,1,10,32,False
0,0,1,10,25,False
1,1,0,9,27,False
1,1,0,9,23,False
1,1,1,14,24,False
1,4,1,11,25,False
1,4,0,11,55,False
0,4,1,7,27,False
1,4,1,8,39,False
1,4,1,11,26,False
1,5,1,12,24,False
1,6,1,8,24,False
0,9,1,8,25,False
1,7,1,8,25,False
0,6,1,10,20,False
0,9,1,9,24,False
1,6,1,9,25,False
1,5,1,13,25,False
0,3,1,13,21,False
1,5,1,11,25,False
1,6,1,10,21,False
3,22,1,7,22,False
1,30,1,9,23,False
2,19,1,10,23,False
1,13,1,8,25,False
1,12,1,9,24,False
1,11,1,11,24,False
1,11,1,9,24,False
0,10,1,11,24,False
0,14,1,10,23,False
0,9,11,10,26,False
0,8,3,11,18,False
0,13,2,11,21,False
0,10,2,9,19,False
1,7,2,10,20,False
0,11,4,7,29,False
1,8,1,7,30,False
0,8,1,7,26,False
0,8,1,9,26,False
0,11,1,10,19,False
1,10,3,10,22,False
0,9,1,10,25,False
0,13,2,14,31,False
0,13,1,19,36,False
0,10,1,11,100,False
0,7,1,10,40,False
0,8,1,10,48,False
0,8,1,12,33,False
0,8,2,12,27,False
1,7,1,9,22,False
0,10,2,12,20,False
0,6,16,9,22,False
0,8,2,11,24,False
7,7,1,8,18,False
1,11,1,13,21,False
0,9,1,17,20,False
0,9,2,11,26,False
0,8,1,13,24,False
0,7,1,11,27,False
0,8,2,11,16,False
0,7,2,8,22,False
0,10,1,9,22,False
0,5,1,7,27,False
0,8,1,9,20,False
0,19,1,9,17,False
0,10,1,10,19,False
0,11,4,10,18,False
0,7,3,10,17,False
0,7,1,9,19,False
0,9,1,8,18,False
0,6,1,9,17,False
0,10,1,8,15,False
0,8,1,7,14,False
0,7,1,7,14,False
1,7,2,7,15,False
1,6,0,9,11,False
0,11,1,8,16,False
0,8,0,6,18,False
0,10,1,7,17,False
0,88,1,9,12,False
1,65,1,8,16,False
0,29,1,9,17,False
0,33,1,6,15,False
0,32,1,7,16,False
0,28,1,6,17,False
0,31,1,8,19,False
1,31,1,5,15,False
0,42,1,7,15,False
0,44,1,5,15,False
0,38,1,6,18,False
0,36,0,6,15,False
0,36,1,6,16,False
0,35,0,7,19,False
0,36,1,8,15,False
0,33,1,11,19,False
0,42,0,11,19,False
0,40,0,7,15,False
1,36,1,5,16,False
0,33,1,6,17,False
0,33,1,7,15,False
0,42,1,5,25,False
0,34,1,9,46,False
0,46,1,6,20,False
0,43,1,7,13,False
0,36,0,8,13,False
1,31,1,7,16,False
0,28,0,8,28,False
0,26,1,8,26,False
0,27,0,9,19,False
0,22,1,7,16,True
