Apollo Robbins,James Lyne,Marla Spivak,Eric Berlow and Sean Gourley,Iraola,isPartial
0,20,0,0,26,False
0,13,0,0,35,False
0,0,0,0,16,False
13,13,0,0,29,False
0,0,0,0,25,False
11,0,0,0,32,False
0,0,0,0,27,False
11,0,0,0,37,False
10,0,0,0,29,False
0,0,0,0,20,False
0,0,0,0,13,False
0,9,0,0,31,False
0,24,0,0,24,False
8,0,0,0,21,False
0,7,0,0,17,False
0,0,0,0,16,False
0,7,0,0,16,False
0,0,0,0,14,False
0,14,0,0,14,False
7,7,0,0,14,False
6,13,0,0,27,False
0,18,6,0,29,False
0,0,6,0,25,False
6,0,0,0,21,False
5,0,0,0,15,False
0,5,0,0,19,False
4,7,0,0,36,False
0,5,0,0,18,False
0,4,0,0,23,False
0,5,0,0,25,False
5,5,0,0,28,False
9,4,0,0,23,False
4,4,4,0,19,False
4,4,0,0,19,False
0,0,4,0,19,False
4,0,0,0,30,False
3,3,3,0,22,False
0,3,0,0,29,False
0,3,3,0,32,False
0,3,6,0,20,False
3,0,0,0,21,False
3,6,3,0,26,False
8,0,0,0,15,False
5,3,3,0,20,False
0,3,0,0,28,False
2,5,0,0,25,False
4,2,0,0,15,False
0,2,0,0,25,False
3,4,0,0,21,False
2,4,6,0,25,False
2,3,2,0,25,False
2,2,0,0,30,False
2,4,0,0,27,False
2,6,2,0,17,False
2,2,0,0,20,False
2,4,0,0,32,False
0,3,2,0,31,False
0,2,0,0,27,False
2,3,2,0,26,False
3,0,2,0,25,False
3,2,2,0,26,False
3,2,2,0,27,False
2,4,1,0,21,False
2,5,0,0,28,False
4,3,1,0,26,False
2,0,3,0,21,False
2,2,1,0,23,False
4,1,1,0,25,False
3,3,0,0,35,False
2,4,0,0,30,False
2,3,1,0,30,False
1,1,0,0,30,False
2,1,1,0,33,False
1,2,1,0,22,False
2,2,1,0,23,False
2,1,1,0,24,False
2,1,1,0,24,False
2,4,0,0,25,False
1,4,0,0,17,False
1,4,1,0,21,False
2,2,4,0,31,False
2,3,2,0,31,False
2,1,2,0,38,False
2,3,2,0,27,False
1,2,2,0,25,False
2,2,2,0,29,False
1,1,1,0,36,False
2,2,2,0,27,False
1,2,2,0,30,False
1,1,2,0,26,False
3,1,1,0,22,False
3,1,2,0,32,False
2,2,1,0,30,False
5,1,1,0,23,False
2,1,1,0,25,False
7,2,1,0,22,False
2,1,1,0,22,False
2,3,1,0,24,False
4,2,1,0,51,False
1,2,1,0,26,False
3,2,1,0,37,False
3,2,0,0,24,False
2,1,0,0,23,False
1,2,1,0,22,False
3,1,0,0,24,False
3,1,1,0,23,False
1,2,1,0,19,False
5,2,0,0,23,False
100,1,1,0,23,False
39,1,1,0,23,False
37,12,1,0,20,False
18,2,1,0,23,False
20,1,1,0,20,False
22,1,1,0,20,False
20,1,0,0,22,False
9,2,1,0,22,False
50,5,3,2,24,False
32,2,2,0,23,False
26,1,2,0,23,False
24,2,1,0,23,False
17,2,2,0,22,False
19,2,2,0,22,False
20,2,2,0,24,False
13,2,2,0,17,False
13,3,2,0,20,False
13,2,1,0,18,False
20,2,2,0,19,False
25,1,1,0,28,False
12,2,1,0,29,False
15,2,1,0,25,False
11,1,1,0,24,False
11,2,1,0,18,False
11,2,1,0,20,False
16,2,1,0,24,False
32,2,1,0,29,False
16,2,1,0,34,False
19,2,1,0,94,False
15,1,2,0,37,False
14,2,1,0,45,False
10,1,1,0,31,False
8,1,1,0,26,False
11,2,1,0,21,False
10,2,1,0,19,False
10,2,0,0,21,False
8,1,1,0,22,False
9,2,1,0,17,False
8,1,1,0,20,False
6,3,1,0,19,False
8,2,1,0,24,False
6,2,1,0,23,False
6,2,1,0,25,False
7,1,1,0,15,False
5,1,1,0,20,False
6,1,1,0,21,False
6,1,1,0,25,False
4,1,1,0,19,False
7,1,0,0,16,False
5,1,0,0,18,False
5,1,1,0,17,False
5,2,1,0,16,False
6,1,1,0,18,False
5,1,1,0,17,False
4,1,0,0,16,False
4,1,0,0,14,False
4,1,1,0,13,False
4,1,0,0,14,False
4,1,1,0,14,False
5,2,1,0,11,False
4,2,0,0,15,False
5,1,1,0,17,False
7,1,1,0,16,False
5,1,0,0,12,False
3,1,0,0,15,False
6,2,0,0,16,False
4,1,0,0,14,False
6,1,0,0,15,False
4,1,1,0,16,False
4,1,1,0,18,False
4,1,1,0,14,False
3,1,0,0,15,False
6,1,1,0,14,False
3,1,1,0,17,False
3,1,0,0,14,False
3,1,1,0,15,False
2,1,1,0,18,False
3,1,0,0,14,False
4,1,1,0,17,False
3,1,0,0,18,False
3,1,1,0,14,False
3,1,1,0,15,False
4,0,0,0,16,False
3,1,1,0,14,False
3,1,0,0,23,False
5,1,1,0,43,False
3,1,0,0,19,False
5,2,0,0,12,False
6,1,0,0,12,False
3,1,0,0,15,False
2,1,0,0,26,False
4,1,0,0,24,False
3,1,0,0,18,False
2,1,0,0,15,True
