Gian Giudice,Xavier Vilalta,Mariana Mazzucato,Mohamed Hijri,Iraola,isPartial
0,0,0,0,28,False
0,14,0,0,37,False
0,17,17,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,10,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,10,0,0,33,False
0,0,0,0,26,False
0,0,0,9,23,False
0,0,0,0,18,False
0,0,0,0,17,False
0,0,7,0,17,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,15,False
7,0,0,0,29,False
0,6,0,0,31,False
0,0,0,0,27,False
0,0,0,0,23,False
0,0,0,0,16,False
0,6,0,0,20,False
0,10,0,0,38,False
0,0,0,0,19,False
0,0,0,0,25,False
0,0,0,0,26,False
0,0,5,0,29,False
0,0,0,0,24,False
4,0,0,0,20,False
0,0,4,0,20,False
0,0,4,0,21,False
4,0,0,0,32,False
0,0,0,0,23,False
0,4,0,0,30,False
0,0,3,0,34,False
0,3,0,0,21,False
0,0,0,0,22,False
0,0,0,0,28,False
3,0,0,0,16,False
0,0,0,0,21,False
0,0,0,0,30,False
0,2,0,0,27,False
2,2,0,0,16,False
0,0,0,0,26,False
0,0,0,0,22,False
0,0,0,0,27,False
0,0,0,2,26,False
0,2,0,0,32,False
0,0,0,0,29,False
2,4,2,0,18,False
0,0,0,0,21,False
0,2,0,0,34,False
2,3,0,0,33,False
2,3,0,0,29,False
0,0,2,0,28,False
2,0,0,0,27,False
3,0,2,2,28,False
0,2,0,0,29,False
0,2,0,0,23,False
0,3,0,0,29,False
0,0,2,0,28,False
0,0,2,0,23,False
2,0,0,0,25,False
0,2,2,0,26,False
0,1,0,1,37,False
0,1,0,1,32,False
1,3,0,0,32,False
0,1,0,0,32,False
1,0,0,1,35,False
1,0,0,0,23,False
0,0,0,2,25,False
1,0,0,0,26,False
1,0,1,0,26,False
2,2,0,1,27,False
1,0,0,0,18,False
0,0,0,0,23,False
1,1,0,0,33,False
3,1,1,2,33,False
1,0,0,1,41,False
1,2,0,2,29,False
1,4,1,1,26,False
0,1,0,1,31,False
1,0,0,1,39,False
1,0,0,0,29,False
1,2,1,0,31,False
1,0,1,0,28,False
2,1,0,1,24,False
1,1,0,0,34,False
1,0,2,1,32,False
1,1,1,0,25,False
1,1,2,1,27,False
2,1,0,0,23,False
1,1,2,1,24,False
1,1,1,1,25,False
1,1,1,1,55,False
1,0,1,1,27,False
1,1,1,0,39,False
1,1,3,1,26,False
1,0,0,0,24,False
1,1,0,1,24,False
0,0,2,1,25,False
0,1,4,1,25,False
1,1,1,1,20,False
1,0,6,1,24,False
1,1,3,1,25,False
1,0,1,1,25,False
1,1,1,0,21,False
1,2,1,1,25,False
0,1,1,0,21,False
1,1,3,0,22,False
0,0,1,0,23,False
0,0,4,0,23,False
1,0,3,0,25,False
2,2,7,1,24,False
2,3,11,2,24,False
1,1,2,3,24,False
1,0,5,1,24,False
1,1,3,1,23,False
0,0,5,0,26,False
1,1,3,0,18,False
0,1,3,0,21,False
0,1,6,0,19,False
0,1,2,0,20,False
1,1,3,2,29,False
1,1,6,1,30,False
1,1,4,1,26,False
0,1,14,2,26,False
1,1,2,1,19,False
1,1,7,0,22,False
1,1,4,0,25,False
1,1,4,0,31,False
0,1,3,0,36,False
1,1,5,0,100,False
0,0,5,0,40,False
0,0,8,1,48,False
0,0,8,1,33,False
1,0,6,0,27,False
0,0,6,1,22,False
0,0,4,1,20,False
0,1,6,2,22,False
0,1,5,1,24,False
0,1,4,0,18,False
2,0,2,1,21,False
0,0,8,1,20,False
0,0,4,0,26,False
1,0,4,0,24,False
0,0,5,1,27,False
1,0,4,0,16,False
0,0,3,0,22,False
0,0,3,1,22,False
1,0,14,0,27,False
0,1,4,0,20,False
0,0,3,0,17,False
1,0,2,0,19,False
1,0,3,0,18,False
0,0,2,1,17,False
1,1,10,0,19,False
0,0,2,0,18,False
1,1,4,0,17,False
1,1,2,1,15,False
1,0,4,1,14,False
1,0,3,0,14,False
1,0,5,1,15,False
1,0,2,0,11,False
1,0,3,0,16,False
1,0,4,0,18,False
1,0,3,0,17,False
0,0,7,1,12,False
0,0,7,1,16,False
1,0,5,0,17,False
1,1,3,0,15,False
0,0,4,1,16,False
1,0,9,1,17,False
0,0,7,0,19,False
0,0,14,0,15,False
1,0,14,0,15,False
1,1,6,0,15,False
1,0,6,0,18,False
0,0,6,0,15,False
0,0,11,0,16,False
1,0,5,1,19,False
0,0,4,0,15,False
0,0,4,0,19,False
0,1,7,0,19,False
0,0,6,0,15,False
0,0,9,1,16,False
1,0,9,0,17,False
0,0,7,0,15,False
0,1,7,1,25,False
0,0,8,0,46,False
0,1,10,0,20,False
0,0,14,0,13,False
0,0,14,1,13,False
0,0,21,1,16,False
0,0,8,1,28,False
0,0,9,0,26,False
0,0,10,0,19,False
0,1,11,0,16,True
