Carolyn Porco,Kenichi Ebina,Richard Branson,Hod Lipson,Iraola,isPartial
0,0,33,1,3,False
0,0,38,0,2,False
2,0,24,0,3,False
0,0,29,0,3,False
1,0,31,1,2,False
1,0,41,0,2,False
2,0,20,0,2,False
1,0,26,1,5,False
1,0,44,0,3,False
0,0,62,0,2,False
1,0,69,0,1,False
0,0,49,0,1,False
0,0,53,0,3,False
1,0,46,0,3,False
0,0,54,0,1,False
1,1,38,0,2,False
0,0,39,3,2,False
1,0,38,1,2,False
0,0,38,1,3,False
0,0,25,0,1,False
0,0,46,1,2,False
1,0,32,1,3,False
0,0,30,1,3,False
1,0,46,1,2,False
0,0,34,0,2,False
0,0,37,1,2,False
1,0,36,0,4,False
1,0,29,0,2,False
0,0,29,0,4,False
1,1,28,1,4,False
0,0,28,0,3,False
0,0,24,0,2,False
0,0,63,1,1,False
0,0,35,0,1,False
1,0,44,1,3,False
1,0,33,0,2,False
0,0,36,0,2,False
1,0,62,0,3,False
1,1,43,0,3,False
0,0,31,0,2,False
1,0,37,0,2,False
0,0,31,0,2,False
1,0,35,1,3,False
1,0,57,1,2,False
0,0,63,0,3,False
0,0,52,0,2,False
0,0,40,0,2,False
0,0,38,0,3,False
0,0,41,0,2,False
1,0,40,0,2,False
0,0,34,0,3,False
0,0,35,0,3,False
0,0,28,0,2,False
0,0,25,0,1,False
0,0,36,0,2,False
0,0,28,0,4,False
0,0,37,0,3,False
0,0,37,0,3,False
0,0,30,0,3,False
0,0,27,0,3,False
0,0,33,0,3,False
0,0,42,0,3,False
0,0,41,0,3,False
0,0,45,1,3,False
0,0,39,0,3,False
0,0,33,0,3,False
0,0,31,0,3,False
0,0,27,0,3,False
0,0,33,0,4,False
0,0,30,0,3,False
0,0,25,0,4,False
0,0,44,0,3,False
0,0,31,0,3,False
0,0,38,0,2,False
0,0,37,0,2,False
0,0,41,0,3,False
0,0,30,0,2,False
0,0,29,0,3,False
0,0,31,0,2,False
0,0,33,0,2,False
0,0,39,0,2,False
0,0,36,0,3,False
0,0,37,0,4,False
0,0,32,0,3,False
0,0,33,0,3,False
0,0,31,0,5,False
0,0,27,0,4,False
0,0,47,0,3,False
0,0,33,0,4,False
0,0,33,0,3,False
0,0,33,0,2,False
0,0,73,0,4,False
0,0,48,0,3,False
0,0,54,0,3,False
0,0,49,0,2,False
0,0,46,0,2,False
0,0,56,0,3,False
0,0,44,0,3,False
0,0,62,0,4,False
0,0,37,0,3,False
0,0,42,0,4,False
0,0,41,0,2,False
0,0,42,0,2,False
0,0,39,0,2,False
0,0,41,0,2,False
0,0,47,0,2,False
0,0,36,0,2,False
0,0,53,0,2,False
0,0,39,0,2,False
0,0,38,0,2,False
0,0,34,0,2,False
0,0,38,0,2,False
0,0,74,0,2,False
0,14,37,0,2,False
0,7,38,0,2,False
0,12,36,0,2,False
0,45,40,0,3,False
0,8,41,0,3,False
0,7,36,0,2,False
0,6,36,0,2,False
0,5,35,0,2,False
0,5,30,0,3,False
0,5,47,0,3,False
0,6,38,0,2,False
0,4,36,0,3,False
0,5,33,0,2,False
1,5,33,0,3,False
0,5,33,0,3,False
0,3,50,0,3,False
0,2,43,0,3,False
0,2,61,0,3,False
0,2,33,0,2,False
0,2,55,0,2,False
0,1,35,0,3,False
0,1,36,0,3,False
0,1,36,0,4,False
0,1,32,0,10,False
0,2,43,0,4,False
0,3,39,0,4,False
0,3,33,0,4,False
0,2,40,0,3,False
0,2,39,0,2,False
0,2,33,0,2,False
0,1,33,0,2,False
0,1,30,0,2,False
0,1,38,0,2,False
0,1,35,0,2,False
0,1,39,0,2,False
0,1,30,0,3,False
0,1,41,0,3,False
0,1,38,0,3,False
0,1,51,0,2,False
0,1,29,0,2,False
0,1,32,0,3,False
0,0,36,0,3,False
0,1,35,0,2,False
0,1,39,0,2,False
0,0,75,0,2,False
0,1,36,0,2,False
0,1,32,0,2,False
0,1,29,0,2,False
0,1,31,0,2,False
0,1,30,0,2,False
0,1,28,0,2,False
1,1,100,0,2,False
0,0,70,0,2,False
0,1,44,0,2,False
0,0,29,0,1,False
0,0,33,0,2,False
0,0,33,0,2,False
0,0,30,0,1,False
0,0,28,0,1,False
0,0,28,0,2,False
0,0,24,0,2,False
0,0,30,0,2,False
0,1,25,0,2,False
0,0,28,0,2,False
0,0,38,0,2,False
0,0,29,0,2,False
0,0,37,0,2,False
0,1,29,0,1,False
0,1,77,0,2,False
0,0,28,0,1,False
0,0,27,0,2,False
0,0,28,0,2,False
0,0,27,0,2,False
0,0,35,0,2,False
0,0,30,0,2,False
0,0,25,0,2,False
0,0,28,0,1,False
0,0,28,0,2,False
0,0,26,0,2,False
0,0,26,0,3,False
0,0,30,0,5,False
0,0,41,0,2,False
0,0,71,0,1,False
0,0,36,0,2,False
0,0,22,0,1,False
0,0,22,0,3,False
0,0,21,0,3,False
0,0,18,0,2,False
0,0,16,0,2,True
