Suzanne Talhouk,Roger Stein,Sandra Aamodt,Frederic Kaplan,Iraola,isPartial
0,0,0,14,28,False
0,14,0,0,41,False
0,0,0,0,17,False
0,13,0,0,27,False
0,11,0,0,23,False
0,23,0,0,17,False
0,12,0,0,30,False
0,11,0,0,39,False
0,10,0,0,36,False
0,0,0,0,26,False
0,0,10,0,16,False
0,0,0,10,29,False
0,9,0,0,21,False
9,9,0,0,36,False
7,0,7,7,22,False
8,13,0,0,8,False
0,15,0,0,11,False
0,7,0,0,15,False
0,8,0,0,15,False
0,7,0,7,18,False
0,7,0,7,26,False
0,6,0,6,28,False
0,6,0,0,25,False
6,6,0,6,27,False
0,0,0,0,19,False
5,8,0,0,22,False
5,5,0,0,38,False
5,5,5,0,18,False
9,5,0,0,19,False
5,5,0,5,27,False
5,12,0,0,24,False
9,5,0,0,30,False
6,9,0,0,22,False
4,8,0,6,22,False
0,13,0,0,27,False
0,4,0,0,26,False
7,9,0,0,21,False
0,7,0,0,27,False
0,6,0,0,40,False
3,8,0,0,25,False
3,9,0,3,21,False
3,6,0,3,34,False
4,9,3,0,16,False
3,6,0,0,22,False
3,4,0,3,32,False
0,2,0,2,23,False
2,4,0,0,16,False
0,5,0,0,28,False
0,3,2,0,22,False
0,6,0,0,25,False
4,5,0,0,29,False
0,8,4,4,33,False
0,6,4,0,30,False
0,3,3,0,19,False
0,7,2,2,20,False
2,7,0,0,34,False
0,5,0,0,33,False
2,5,2,2,27,False
0,5,2,0,29,False
0,5,2,0,25,False
2,4,0,2,27,False
0,5,2,2,28,False
0,3,2,0,16,False
3,6,2,0,33,False
0,5,2,2,26,False
1,8,1,0,23,False
0,5,0,0,24,False
1,5,2,0,29,False
0,2,0,0,34,False
0,5,1,0,27,False
0,9,0,0,29,False
1,2,0,1,37,False
2,3,0,0,33,False
0,1,1,1,21,False
1,3,2,0,29,False
1,9,0,0,23,False
1,6,0,4,22,False
0,4,0,2,29,False
0,6,0,1,17,False
0,6,1,1,18,False
0,5,1,0,35,False
0,5,0,0,35,False
0,3,0,1,41,False
1,3,0,2,27,False
0,4,1,1,27,False
0,3,2,1,32,False
1,3,0,0,41,False
0,5,1,0,29,False
1,3,0,0,32,False
1,5,1,1,26,False
0,4,1,0,22,False
0,5,1,1,33,False
0,4,2,1,34,False
0,3,0,0,22,False
0,5,2,1,25,False
0,3,2,1,21,False
1,3,0,2,23,False
0,4,1,0,25,False
0,3,0,0,57,False
0,3,1,0,23,False
0,5,1,0,42,False
0,2,1,1,27,False
0,3,1,1,24,False
1,3,1,0,24,False
0,3,0,0,28,False
1,4,0,1,25,False
0,4,0,1,22,False
1,5,0,0,22,False
1,3,1,1,22,False
0,4,1,2,23,False
0,4,1,1,21,False
0,3,1,1,25,False
0,4,0,0,21,False
0,3,1,1,22,False
0,4,0,1,23,False
0,4,1,1,23,False
0,4,1,1,26,False
0,3,1,1,24,False
1,2,1,1,25,False
0,4,1,0,23,False
1,6,7,2,28,False
1,4,1,1,23,False
1,4,1,0,26,False
0,6,1,0,18,False
1,5,2,1,21,False
0,5,1,1,18,False
0,5,2,1,18,False
1,3,2,0,29,False
0,3,2,1,31,False
0,3,1,0,25,False
0,3,1,1,27,False
1,5,1,0,19,False
0,4,2,0,22,False
0,4,1,1,22,False
1,5,1,0,30,False
0,4,1,1,36,False
0,4,1,1,100,False
0,5,1,1,41,False
0,5,1,0,50,False
0,2,0,0,32,False
0,3,2,0,27,False
0,3,0,1,22,False
0,4,1,0,22,False
0,3,0,1,23,False
0,4,1,1,24,False
0,3,1,0,18,False
0,4,1,2,21,False
0,2,1,0,22,False
0,5,7,0,28,False
0,3,3,0,25,False
0,6,2,1,25,False
0,3,1,0,17,False
0,3,1,0,22,False
0,4,1,0,23,False
0,4,0,1,25,False
0,3,1,0,22,False
0,4,1,1,17,False
0,4,1,0,19,False
0,2,1,0,17,False
0,4,1,0,16,False
0,2,1,1,20,False
0,5,1,0,16,False
0,3,1,0,17,False
0,3,1,0,15,False
0,4,0,0,13,False
0,3,0,0,16,False
0,4,0,0,17,False
0,1,1,1,11,False
0,3,1,1,15,False
0,2,1,0,17,False
0,2,1,0,19,False
0,2,0,0,13,False
0,2,1,1,14,False
0,2,0,1,16,False
0,2,1,0,16,False
0,2,1,0,16,False
0,3,0,1,18,False
0,2,1,1,19,False
0,2,1,1,14,False
0,2,0,0,15,False
0,3,1,1,15,False
1,4,1,0,19,False
0,5,1,1,16,False
0,2,0,1,17,False
0,3,1,0,18,False
0,3,0,0,15,False
0,3,1,0,18,False
0,2,1,0,20,False
0,2,0,0,14,False
0,3,0,1,15,False
0,2,0,0,17,False
0,3,1,1,15,False
0,3,0,0,24,False
0,2,1,0,45,False
0,1,0,0,19,False
0,2,0,0,13,False
0,2,0,0,13,False
0,2,0,0,14,False
0,1,0,0,26,False
0,6,0,0,26,False
0,1,0,0,18,False
0,2,0,0,17,True
