Philip Evans,Christopher Soghoian,Gabe Barcia-Colombo,Manu Prakash,Iraola,isPartial
14,0,0,0,28,False
14,0,0,14,37,False
17,0,0,17,17,False
20,0,0,0,31,False
11,11,0,0,27,False
19,0,0,0,35,False
24,0,0,0,28,False
28,0,0,11,39,False
20,0,0,0,31,False
16,0,0,10,21,False
11,0,0,0,14,False
15,0,0,0,33,False
0,9,0,0,26,False
9,0,0,0,23,False
18,0,0,0,18,False
17,0,0,0,17,False
11,0,0,0,17,False
11,0,0,0,15,False
8,0,0,0,15,False
7,0,0,0,15,False
13,0,0,0,29,False
19,0,0,0,31,False
8,0,0,0,27,False
12,0,0,0,23,False
11,0,0,0,16,False
11,0,0,0,20,False
14,0,0,5,38,False
17,0,0,0,19,False
12,0,0,0,25,False
8,0,0,5,26,False
10,0,0,0,29,False
12,0,0,0,24,False
11,0,0,0,20,False
8,26,0,0,20,False
13,13,0,0,21,False
8,4,0,4,32,False
16,0,0,3,23,False
10,0,0,0,30,False
7,3,0,0,34,False
10,0,0,0,21,False
11,0,0,0,22,False
5,3,0,0,28,False
14,0,0,0,16,False
11,0,0,0,21,False
11,0,0,0,30,False
10,0,0,2,27,False
6,0,0,0,16,False
9,0,0,0,26,False
8,2,0,2,22,False
10,0,0,2,27,False
6,0,0,0,26,False
11,0,0,0,32,False
3,4,0,0,29,False
9,0,0,0,18,False
11,0,0,0,21,False
8,0,0,3,34,False
8,0,0,2,33,False
6,2,0,2,29,False
7,0,0,2,28,False
9,0,0,0,27,False
11,2,0,2,28,False
11,0,0,2,29,False
9,0,0,2,23,False
7,0,0,2,29,False
12,2,0,2,28,False
11,3,0,2,23,False
7,0,0,2,25,False
9,3,0,2,26,False
9,1,0,0,37,False
7,1,0,1,32,False
10,1,0,1,32,False
6,2,0,0,32,False
8,1,0,1,35,False
6,1,0,1,23,False
7,0,0,0,25,False
9,1,0,1,26,False
4,0,0,2,26,False
5,0,0,1,27,False
7,1,0,2,18,False
6,1,0,2,23,False
5,0,0,1,33,False
9,0,0,2,33,False
7,1,0,1,41,False
10,1,0,1,29,False
7,1,0,1,26,False
6,0,0,1,31,False
8,0,0,1,39,False
8,1,0,1,29,False
5,6,0,1,31,False
7,1,0,1,28,False
9,1,0,1,24,False
8,1,0,1,34,False
8,1,0,2,32,False
7,0,0,2,25,False
7,1,0,1,27,False
6,2,0,1,23,False
7,1,0,1,24,False
7,1,0,1,25,False
4,1,0,1,55,False
7,1,0,1,27,False
8,2,0,1,39,False
8,0,0,1,26,False
9,0,0,2,24,False
6,1,0,1,24,False
7,1,0,0,25,False
7,1,0,2,25,False
6,1,0,2,20,False
6,1,0,1,24,False
7,1,0,1,25,False
6,1,0,1,25,False
7,1,0,1,21,False
5,0,0,1,25,False
5,0,0,1,21,False
7,1,0,2,22,False
7,1,0,1,23,False
7,1,0,1,23,False
8,1,0,1,25,False
5,1,0,1,24,False
6,0,0,1,24,False
6,1,0,1,24,False
5,0,0,2,24,False
9,1,0,1,23,False
10,2,0,23,26,False
7,1,0,9,18,False
6,1,0,3,21,False
6,1,0,4,19,False
7,1,0,3,20,False
6,1,0,3,29,False
5,1,0,3,30,False
6,1,0,4,26,False
6,1,0,2,26,False
6,1,0,1,19,False
6,0,0,2,22,False
7,1,0,2,25,False
6,1,0,2,31,False
6,0,0,2,36,False
5,1,0,2,100,False
6,0,0,10,40,False
7,1,0,3,48,False
5,2,0,2,33,False
7,1,0,4,27,False
5,1,0,3,22,False
7,1,0,1,20,False
6,1,0,11,22,False
5,0,0,10,24,False
6,1,0,1,18,False
5,0,0,1,21,False
5,1,0,2,20,False
6,0,0,2,26,False
4,1,0,2,24,False
6,1,0,2,27,False
4,0,0,2,16,False
7,0,0,8,22,False
6,0,0,3,22,False
5,2,0,3,27,False
4,0,0,3,20,False
6,0,0,5,17,False
6,0,0,6,19,False
10,1,0,6,18,False
5,1,0,4,17,False
6,0,0,3,19,False
5,0,0,3,18,False
5,0,0,5,17,False
3,1,0,3,15,False
6,0,0,4,14,False
5,0,0,3,14,False
4,0,0,3,15,False
5,1,0,9,11,False
5,1,0,3,16,False
6,0,0,3,18,False
7,0,0,3,17,False
7,0,0,3,12,False
6,0,0,2,16,False
5,0,0,4,17,False
5,1,0,3,15,False
4,1,0,3,16,False
4,1,0,2,17,False
7,0,0,3,19,False
4,0,0,2,15,False
5,0,0,5,15,False
5,0,0,3,15,False
6,0,0,3,18,False
5,0,0,2,15,False
5,0,0,2,16,False
6,0,0,3,19,False
4,0,0,2,15,False
4,0,0,4,19,False
3,0,0,3,19,False
7,0,0,2,15,False
5,0,0,3,16,False
5,0,0,5,17,False
6,1,0,2,15,False
4,1,0,2,25,False
6,0,0,2,46,False
5,0,0,2,20,False
4,0,0,2,13,False
4,0,0,2,13,False
4,0,0,3,16,False
6,0,0,4,28,False
7,0,0,2,26,False
7,0,0,3,19,False
3,0,0,2,16,True
