Steven Pinker and Rebecca Newberger Goldstein,Daniel Reisel,Edward Snowden,Chris Hadfield,Iraola,isPartial
0,0,0,1,1,False
0,0,0,1,1,False
0,0,0,1,0,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,1,0,False
0,0,0,0,1,False
0,0,0,1,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,1,0,False
0,0,0,0,0,False
0,0,0,1,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,1,False
0,0,0,0,0,False
0,0,0,1,1,False
0,0,0,3,1,False
0,0,0,3,1,False
0,0,0,4,1,False
0,0,0,5,1,False
0,0,0,35,1,False
0,0,100,5,1,False
0,0,82,3,1,False
0,0,34,2,1,False
0,0,19,2,1,False
0,0,18,4,1,False
0,0,16,7,1,False
0,0,19,7,1,False
0,0,20,5,1,False
0,0,13,3,1,False
0,0,13,4,1,False
0,0,10,3,0,False
0,0,21,4,1,False
0,0,11,2,0,False
0,0,8,2,1,False
0,0,9,2,1,False
0,0,7,2,1,False
0,0,9,3,1,False
0,0,8,3,1,False
0,0,7,3,0,False
0,0,8,2,1,False
0,0,16,2,1,False
0,0,15,2,1,False
0,0,20,2,1,False
0,0,10,2,2,False
0,0,10,2,1,False
0,0,8,2,1,False
0,0,8,2,1,False
0,0,15,2,1,False
0,0,16,2,1,False
0,0,10,3,1,False
0,0,8,2,1,False
0,0,6,4,1,False
0,0,9,2,0,False
0,0,8,1,1,False
0,0,11,1,1,False
0,0,8,1,1,False
0,0,7,1,1,False
0,0,10,1,1,False
0,0,13,1,0,False
0,0,24,1,1,False
0,0,14,2,1,False
0,0,24,2,1,False
0,0,23,1,0,False
0,0,24,2,0,False
0,0,15,1,0,False
0,0,11,1,0,False
0,0,8,1,0,False
0,0,8,1,0,False
0,0,6,1,0,False
0,0,11,1,0,False
0,0,7,1,0,False
0,0,8,2,0,False
0,0,8,1,0,False
0,0,7,1,0,False
0,0,7,1,0,False
0,0,6,1,0,False
0,0,5,2,0,False
0,0,7,1,0,False
0,0,5,1,0,False
0,0,5,1,0,False
0,0,5,1,0,False
0,0,5,1,0,False
0,0,5,1,0,False
0,0,4,1,0,False
0,0,6,1,0,False
0,0,6,2,0,False
0,0,5,1,0,False
0,0,6,1,0,False
0,0,5,2,0,False
0,0,6,1,0,False
0,0,10,2,0,False
0,0,5,1,0,False
0,0,4,1,0,False
0,0,4,1,0,False
0,0,6,1,0,False
0,0,12,1,0,False
0,0,16,1,0,False
0,0,10,1,0,False
0,0,7,1,0,False
0,0,6,1,1,False
0,0,5,1,1,False
0,0,5,2,0,False
0,0,7,2,0,False
0,0,7,2,0,False
0,0,5,2,0,False
0,0,5,1,1,False
0,0,7,1,1,False
0,0,8,1,0,False
0,0,5,1,0,True
