Larry Brilliant,Jeff Han,Nicholas Negroponte,Sirena Huang,Iraola,isPartial
0,0,15,0,22,False
15,15,22,0,44,False
0,18,18,0,27,False
0,14,33,14,29,False
12,0,25,12,29,False
12,12,20,0,24,False
0,0,26,0,25,False
12,12,24,0,47,False
11,11,15,0,25,False
0,0,22,11,22,False
11,11,22,11,11,False
10,0,10,0,16,False
0,9,33,0,21,False
10,10,64,0,29,False
0,8,22,12,21,False
0,0,21,0,27,False
8,8,16,8,18,False
8,8,12,0,27,False
0,0,19,0,24,False
0,8,16,0,16,False
0,7,42,7,28,False
7,7,67,0,27,False
7,0,100,0,20,False
7,7,57,7,26,False
6,6,29,0,17,False
28,16,30,0,20,False
12,18,42,0,34,False
9,5,38,0,20,False
8,7,25,0,33,False
8,8,21,5,33,False
13,8,14,0,32,False
19,32,24,5,21,False
22,17,23,0,23,False
7,24,27,0,21,False
8,33,19,4,24,False
11,11,24,4,24,False
5,74,38,6,21,False
8,61,14,4,25,False
7,52,29,0,26,False
7,42,26,0,24,False
11,45,32,0,30,False
6,52,18,3,24,False
14,38,35,0,27,False
5,15,29,3,24,False
5,20,51,0,31,False
5,25,20,6,20,False
3,20,37,3,25,False
13,23,43,3,25,False
7,17,31,4,23,False
11,18,15,2,20,False
13,19,20,5,25,False
11,14,13,4,25,False
10,28,13,3,28,False
5,13,5,2,18,False
4,12,14,2,15,False
7,16,13,0,33,False
8,15,5,0,34,False
5,20,9,2,30,False
8,21,16,2,34,False
5,9,15,0,30,False
6,8,12,2,26,False
5,8,9,2,26,False
4,12,11,4,25,False
12,10,9,0,33,False
11,9,6,5,28,False
6,8,5,2,31,False
2,3,5,2,29,False
5,5,8,2,33,False
4,7,10,3,38,False
6,5,7,2,31,False
4,7,11,1,37,False
4,7,9,1,34,False
3,7,11,2,34,False
3,6,4,1,22,False
2,4,8,3,29,False
3,6,9,2,26,False
2,8,9,3,24,False
3,8,8,4,30,False
3,5,9,1,20,False
2,4,11,2,24,False
3,4,6,2,27,False
2,8,13,3,32,False
3,6,8,6,44,False
3,5,3,3,35,False
3,5,5,3,31,False
3,7,8,3,43,False
2,4,6,1,40,False
2,5,6,3,34,False
3,3,7,2,37,False
2,4,5,1,32,False
3,4,3,2,25,False
2,4,3,3,36,False
2,6,3,2,35,False
4,4,6,5,30,False
7,5,6,2,25,False
3,4,5,2,23,False
2,4,5,2,28,False
3,2,8,3,33,False
2,3,3,1,49,False
3,3,4,2,31,False
1,2,5,4,49,False
2,5,2,2,22,False
3,4,3,1,23,False
2,6,1,1,25,False
3,3,4,1,27,False
1,2,5,1,22,False
1,4,4,1,25,False
1,4,3,1,25,False
2,2,5,2,24,False
2,2,4,1,24,False
2,3,4,1,19,False
2,2,7,1,22,False
4,3,3,2,23,False
1,2,2,1,22,False
2,1,3,1,23,False
3,2,2,1,27,False
2,2,4,2,27,False
2,2,4,1,23,False
2,1,3,2,25,False
1,2,4,1,25,False
1,2,4,1,24,False
2,3,3,1,28,False
2,2,5,1,27,False
1,2,3,1,23,False
2,2,2,1,26,False
1,3,1,1,23,False
1,3,10,1,25,False
2,2,4,1,32,False
2,2,5,1,36,False
3,2,3,1,27,False
2,2,4,2,27,False
1,2,3,1,22,False
2,2,5,3,25,False
1,3,4,1,25,False
1,1,3,2,34,False
1,1,4,1,44,False
1,2,4,0,94,False
1,3,3,0,44,False
1,2,2,1,48,False
1,1,1,1,37,False
2,2,4,1,25,False
2,3,4,1,24,False
1,2,2,1,23,False
1,3,2,0,22,False
0,2,4,0,24,False
1,1,2,1,18,False
1,2,3,0,22,False
1,2,3,0,19,False
2,2,2,1,28,False
1,2,4,0,27,False
1,2,2,1,27,False
2,3,2,1,19,False
1,1,4,1,20,False
3,2,2,1,28,False
3,1,2,1,30,False
4,2,2,1,25,False
2,2,2,1,16,False
2,2,2,1,19,False
3,2,3,1,18,False
3,2,3,0,18,False
1,3,3,1,21,False
1,2,2,1,18,False
2,2,3,1,17,False
1,1,2,0,18,False
0,2,2,0,16,False
2,2,3,0,18,False
2,2,4,0,16,False
1,1,2,0,12,False
1,2,2,1,17,False
1,4,3,0,18,False
2,3,2,0,16,False
2,2,4,1,14,False
2,3,2,1,18,False
1,2,3,0,17,False
1,2,4,0,16,False
1,2,3,0,19,False
0,2,2,0,19,False
1,2,2,0,20,False
1,1,4,1,19,False
0,1,1,0,18,False
2,2,1,0,16,False
1,2,2,0,17,False
1,2,2,0,15,False
1,2,1,1,17,False
1,2,2,0,16,False
1,2,6,0,17,False
2,2,1,0,22,False
1,1,2,0,18,False
0,2,10,0,19,False
1,1,4,0,16,False
0,1,2,1,17,False
1,1,2,0,16,False
2,2,2,0,27,False
2,3,2,0,50,False
59,2,2,0,20,False
20,3,2,0,15,False
13,2,2,0,16,False
8,2,2,0,14,False
9,2,1,0,32,False
6,1,2,0,28,False
4,1,1,1,21,False
3,2,2,0,18,True
