Zeynep Tufekci,Ben Ambridge,Brian Dettmer,Jaap de Roode,Iraola,isPartial
0,0,0,0,15,False
0,0,0,0,44,False
0,0,0,0,18,False
0,0,0,0,42,False
0,12,0,0,30,False
0,0,0,0,42,False
13,0,0,0,25,False
0,0,0,0,58,False
0,0,0,0,32,False
0,0,0,0,11,False
0,0,0,0,11,False
0,0,0,0,36,False
0,0,0,0,22,False
0,0,0,0,23,False
0,0,0,0,12,False
0,0,0,0,18,False
0,0,0,0,23,False
0,0,0,0,16,False
0,0,0,0,20,False
0,0,0,0,8,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,39,False
0,0,0,6,22,False
0,0,0,0,14,False
0,0,0,0,20,False
0,0,0,0,40,False
0,0,0,0,19,False
0,0,0,0,32,False
0,0,0,0,21,False
0,0,0,0,28,False
0,0,0,0,21,False
0,0,0,0,18,False
0,0,4,0,16,False
0,0,4,0,24,False
0,0,4,0,39,False
0,0,0,0,29,False
0,4,4,0,38,False
0,3,0,0,35,False
3,0,0,0,17,False
0,0,0,0,24,False
0,0,0,0,25,False
0,0,0,0,12,False
0,0,3,0,23,False
0,0,14,0,28,False
3,0,4,0,33,False
0,0,7,0,17,False
0,0,5,0,29,False
0,0,7,2,22,False
0,2,10,0,30,False
0,0,7,0,23,False
0,0,9,0,36,False
0,0,8,0,26,False
0,0,10,0,18,False
2,0,3,0,22,False
0,0,3,0,41,False
0,0,4,0,35,False
0,0,6,0,33,False
0,0,8,0,31,False
0,0,4,0,31,False
2,0,5,0,29,False
0,2,4,0,30,False
2,0,6,0,29,False
0,0,8,0,31,False
0,0,6,0,32,False
0,2,3,0,23,False
0,5,6,0,27,False
0,0,0,2,29,False
0,1,7,1,39,False
0,0,6,1,36,False
0,1,5,1,33,False
0,0,6,0,33,False
0,0,4,0,39,False
1,1,5,0,24,False
0,0,1,0,21,False
1,1,6,0,28,False
1,1,3,0,30,False
1,1,4,0,28,False
0,0,2,0,18,False
1,1,2,0,26,False
0,1,3,1,31,False
0,0,2,1,32,False
1,0,4,1,41,False
0,0,4,0,31,False
0,0,3,1,26,False
3,0,7,1,31,False
0,1,19,0,36,False
3,1,5,0,28,False
2,0,10,0,33,False
2,0,7,0,28,False
1,1,3,0,25,False
1,0,4,0,33,False
2,0,3,1,32,False
1,0,3,0,25,False
1,0,7,1,28,False
2,0,7,0,25,False
1,1,6,1,22,False
1,1,18,0,27,False
2,1,9,1,52,False
2,1,4,0,28,False
1,0,2,1,37,False
1,1,4,0,26,False
0,0,3,0,24,False
1,0,4,0,23,False
0,1,5,0,23,False
1,0,6,0,23,False
0,1,4,0,21,False
1,1,1,0,24,False
1,0,2,0,28,False
1,0,2,1,29,False
1,0,3,0,20,False
1,0,2,0,24,False
0,1,3,0,23,False
2,0,2,0,24,False
0,0,1,0,22,False
1,0,3,0,23,False
1,1,4,0,24,False
1,1,3,0,24,False
1,1,2,1,25,False
2,0,2,0,26,False
1,1,2,1,22,False
1,1,1,1,24,False
3,0,2,0,27,False
1,0,1,1,20,False
1,1,2,1,20,False
1,1,1,0,21,False
1,1,1,0,22,False
2,1,4,1,30,False
2,1,2,0,33,False
1,1,1,0,28,False
2,1,1,1,29,False
2,1,1,0,19,False
2,0,2,1,22,False
3,6,8,1,27,False
2,1,2,1,33,False
5,1,1,0,36,False
2,1,2,0,100,False
4,0,1,0,40,False
1,0,1,0,49,False
5,1,1,0,35,False
2,1,1,1,28,False
1,1,1,0,23,False
1,1,2,0,19,False
1,2,1,0,19,False
4,1,2,0,24,False
1,1,2,0,19,False
2,1,1,0,22,False
1,1,2,0,20,False
3,0,1,0,24,False
1,0,1,0,25,False
2,0,1,0,27,False
1,1,1,0,16,False
2,2,1,1,22,False
4,1,2,0,24,False
6,1,1,0,29,False
1,0,1,0,19,False
2,1,1,0,19,False
2,1,1,0,21,False
4,1,1,0,21,False
2,0,1,0,19,False
7,0,1,0,17,False
6,0,1,0,19,False
3,0,0,1,17,False
2,0,1,0,14,False
4,0,1,0,15,False
7,0,1,0,14,False
13,0,1,0,15,False
6,1,1,0,12,False
5,0,1,0,16,False
8,0,1,0,20,False
13,0,1,0,17,False
11,0,1,0,14,False
3,1,1,0,18,False
2,0,1,0,16,False
5,1,1,0,17,False
6,1,1,0,17,False
4,0,1,0,17,False
7,1,0,0,19,False
4,0,1,0,16,False
2,0,0,0,17,False
2,0,1,0,15,False
3,0,1,0,17,False
5,1,1,0,15,False
3,0,0,0,15,False
6,1,0,0,21,False
4,0,1,0,15,False
3,1,0,0,19,False
2,1,1,0,18,False
3,1,1,0,16,False
4,1,1,0,16,False
4,0,0,0,17,False
2,0,1,0,17,False
1,0,1,0,25,False
2,1,1,0,50,False
9,0,1,0,21,False
6,0,0,0,13,False
4,1,0,0,12,False
2,0,0,0,18,False
4,0,0,0,31,False
12,0,1,0,26,False
3,1,0,0,19,False
5,0,0,0,16,True
