Yassmin Abdel-Magied,Sara Seager,Jimmy Nelson,Laura Schulz,Iraola,isPartial
0,0,19,0,28,False
0,0,21,14,37,False
0,0,17,17,17,False
0,0,18,0,31,False
0,12,23,23,27,False
0,0,31,0,35,False
0,12,24,12,28,False
0,0,19,0,39,False
0,0,27,10,31,False
0,0,11,10,21,False
0,0,21,0,14,False
0,0,16,10,33,False
0,0,17,0,26,False
0,0,21,9,23,False
0,0,10,8,18,False
0,0,20,0,17,False
0,0,17,7,17,False
0,0,28,7,15,False
0,0,10,0,15,False
0,0,15,7,15,False
0,7,16,0,29,False
0,0,6,6,31,False
0,6,10,0,27,False
0,6,12,0,23,False
0,5,22,0,16,False
0,0,17,6,20,False
0,5,8,5,38,False
0,0,10,0,19,False
0,0,8,12,25,False
0,5,16,5,26,False
0,5,20,5,29,False
0,0,9,5,24,False
0,9,15,4,20,False
0,0,12,4,20,False
0,0,6,4,21,False
0,0,12,8,32,False
0,0,13,3,23,False
0,0,11,4,30,False
0,0,12,0,34,False
0,3,11,5,21,False
0,3,13,4,22,False
0,3,14,4,28,False
0,3,15,4,16,False
0,3,14,3,21,False
0,5,8,4,30,False
0,0,13,4,27,False
0,2,9,2,16,False
0,0,13,3,26,False
0,0,8,4,22,False
0,2,8,0,27,False
0,0,9,2,26,False
0,2,13,2,32,False
0,0,17,4,29,False
0,4,7,4,18,False
0,0,12,2,21,False
0,2,15,2,34,False
0,0,6,0,33,False
0,0,9,4,29,False
0,4,12,2,28,False
0,4,10,2,27,False
0,0,12,2,28,False
0,2,6,3,29,False
0,4,10,4,23,False
0,2,8,2,29,False
0,2,8,3,28,False
0,2,8,2,23,False
0,2,9,3,25,False
0,3,12,2,26,False
0,4,16,3,37,False
0,2,15,2,32,False
0,3,13,4,32,False
0,2,13,4,32,False
0,2,8,4,35,False
0,1,11,1,23,False
0,1,9,2,25,False
0,1,18,3,26,False
0,4,26,3,26,False
0,0,14,2,27,False
0,1,8,2,18,False
0,3,9,2,23,False
0,3,9,2,33,False
0,2,12,3,33,False
0,3,13,2,41,False
0,2,9,2,29,False
1,1,12,2,26,False
0,2,8,2,31,False
0,2,9,1,39,False
0,2,10,2,29,False
0,4,7,5,31,False
2,2,13,1,28,False
0,2,6,2,24,False
1,1,11,1,34,False
0,3,13,3,32,False
1,2,8,2,25,False
1,2,14,3,27,False
1,4,9,2,23,False
1,2,11,2,24,False
0,2,9,2,25,False
1,1,8,2,55,False
0,2,8,2,27,False
0,3,17,2,39,False
0,1,10,1,26,False
1,2,9,2,24,False
1,2,11,2,24,False
0,2,13,2,25,False
0,2,12,1,25,False
1,2,10,2,20,False
0,2,12,1,24,False
0,2,10,1,25,False
1,2,12,2,25,False
0,3,10,1,21,False
1,2,10,2,25,False
1,2,12,1,21,False
1,3,16,2,22,False
1,2,14,1,23,False
1,3,16,2,23,False
1,5,18,2,25,False
1,5,44,2,24,False
1,3,55,2,24,False
1,5,61,3,24,False
0,3,43,2,24,False
2,2,30,2,23,False
1,4,30,2,26,False
1,4,26,1,18,False
0,2,35,3,21,False
1,3,42,2,19,False
0,4,50,1,20,False
1,2,23,1,29,False
0,3,21,3,30,False
1,2,19,2,26,False
1,1,45,3,26,False
0,2,32,2,19,False
0,2,24,2,22,False
1,2,20,2,25,False
3,2,37,2,31,False
1,1,42,3,36,False
2,3,35,1,100,False
1,4,41,5,40,False
2,3,29,2,48,False
2,4,26,3,33,False
2,2,50,1,27,False
1,2,19,3,22,False
1,4,22,3,20,False
1,2,22,2,22,False
1,2,29,3,24,False
1,2,18,2,18,False
3,1,22,2,21,False
1,4,28,2,20,False
1,2,45,1,26,False
2,2,23,2,24,False
1,1,20,1,27,False
1,1,18,2,16,False
9,2,20,2,22,False
2,2,37,1,22,False
1,2,24,1,27,False
1,7,18,1,20,False
1,2,33,3,17,False
31,7,21,2,19,False
9,3,17,4,18,False
62,2,26,1,17,False
19,2,21,2,19,False
7,2,29,2,18,False
25,2,22,2,17,False
9,1,20,2,15,False
5,1,32,2,14,False
5,2,17,2,14,False
7,1,22,2,15,False
5,3,16,2,11,False
4,3,34,2,16,False
4,3,24,3,18,False
4,3,70,2,17,False
14,2,23,2,12,False
6,2,28,1,16,False
4,1,32,2,17,False
4,2,30,2,15,False
6,2,25,1,16,False
4,1,33,2,17,False
2,2,89,3,19,False
2,2,41,2,15,False
2,1,35,2,15,False
2,2,30,3,15,False
3,4,23,2,18,False
4,3,33,2,15,False
4,2,35,2,16,False
2,1,47,2,19,False
3,1,39,1,15,False
3,2,22,1,19,False
2,1,19,1,19,False
2,2,35,1,15,False
2,2,22,1,16,False
2,2,23,2,17,False
1,2,25,2,15,False
3,1,30,3,25,False
2,2,27,1,46,False
1,3,19,1,20,False
1,5,22,2,13,False
2,2,23,1,13,False
2,2,18,2,16,False
1,1,14,1,28,False
2,7,18,2,26,False
1,11,19,3,19,False
1,4,22,2,16,True
