Alison Jackson,Robin Chase,Jaime Lerner,David Macaulay,Iraola,isPartial
24,24,32,0,24,False
89,0,16,16,47,False
19,32,0,19,29,False
23,0,30,25,30,False
22,13,13,30,30,False
32,13,13,13,26,False
14,27,13,27,27,False
50,13,31,19,50,False
17,12,0,19,27,False
47,12,30,24,24,False
32,18,12,16,12,False
22,11,11,47,17,False
29,10,10,22,23,False
15,21,10,31,31,False
34,13,8,31,23,False
29,10,0,16,29,False
28,8,14,25,20,False
17,8,14,13,28,False
14,9,17,0,26,False
12,0,11,8,17,False
22,10,12,7,30,False
21,7,11,18,28,False
23,7,7,28,21,False
14,7,0,12,28,False
12,6,8,16,18,False
15,19,6,31,21,False
14,0,16,12,36,False
19,8,13,17,21,False
21,12,18,14,35,False
24,6,17,26,35,False
17,8,11,9,34,False
24,12,10,15,22,False
18,7,10,31,25,False
16,10,12,18,22,False
23,13,9,14,26,False
8,9,8,16,26,False
14,5,10,4,22,False
14,4,7,18,26,False
7,7,7,11,28,False
13,9,9,14,25,False
12,11,11,11,31,False
19,11,9,9,26,False
12,9,7,12,29,False
30,14,10,5,25,False
45,5,6,10,33,False
62,11,5,13,21,False
57,5,5,13,27,False
45,5,10,11,27,False
64,10,8,9,24,False
22,9,15,12,21,False
20,9,6,8,27,False
28,8,7,12,27,False
17,8,9,10,30,False
19,7,13,6,19,False
23,8,11,13,16,False
20,8,12,5,35,False
15,4,5,7,36,False
18,7,10,30,32,False
9,12,11,18,36,False
12,8,6,11,32,False
13,6,6,13,28,False
12,12,6,11,28,False
16,8,8,12,27,False
12,12,8,15,35,False
22,10,7,8,30,False
26,7,9,12,33,False
19,8,6,10,30,False
9,6,10,12,35,False
12,10,8,15,40,False
22,10,10,12,33,False
12,9,11,13,39,False
14,10,7,16,36,False
11,8,9,12,36,False
17,8,9,11,24,False
12,11,7,12,31,False
15,9,11,12,27,False
20,9,14,13,26,False
15,10,8,7,32,False
14,11,9,10,21,False
13,8,9,10,25,False
13,8,8,9,28,False
10,9,9,9,34,False
12,8,10,12,46,False
25,8,9,12,37,False
23,8,9,13,33,False
14,8,7,8,45,False
20,10,12,11,43,False
43,8,9,10,36,False
16,9,9,11,40,False
20,10,5,8,34,False
21,8,4,9,26,False
12,7,12,9,38,False
10,9,9,10,38,False
17,8,5,6,31,False
35,8,6,12,27,False
16,13,5,12,24,False
12,7,7,7,29,False
12,13,14,14,35,False
18,12,11,8,52,False
14,11,8,12,33,False
17,12,5,7,52,False
15,13,7,6,24,False
12,10,5,8,25,False
16,10,8,16,27,False
12,8,9,13,28,False
13,6,11,10,23,False
9,6,6,11,26,False
15,10,6,14,27,False
14,13,3,9,26,False
13,9,6,12,25,False
10,7,6,7,21,False
11,11,7,10,23,False
17,11,6,8,24,False
14,10,5,6,24,False
29,14,5,8,24,False
22,18,9,9,29,False
13,11,4,9,29,False
25,12,7,9,25,False
15,9,5,10,27,False
18,11,5,13,26,False
13,10,4,13,26,False
13,10,5,10,29,False
17,9,6,8,28,False
14,10,7,7,24,False
14,11,2,10,27,False
15,9,6,5,25,False
11,8,4,6,26,False
14,54,7,7,34,False
15,12,7,7,38,False
7,8,8,9,29,False
10,10,7,13,29,False
8,8,5,12,23,False
13,6,4,7,26,False
10,13,7,8,27,False
9,8,5,7,36,False
8,8,8,7,46,False
12,9,8,8,100,False
9,12,5,7,47,False
11,8,3,6,50,False
11,9,8,7,39,False
12,6,5,7,27,False
8,8,6,6,25,False
9,11,5,9,25,False
14,10,5,14,23,False
11,9,5,12,25,False
9,9,4,9,19,False
11,7,6,7,24,False
9,7,4,8,20,False
8,8,6,7,29,False
10,7,4,3,29,False
9,10,4,5,29,False
8,6,4,6,20,False
11,6,9,5,21,False
17,6,10,11,30,False
21,7,8,7,32,False
29,9,2,7,27,False
13,8,2,5,17,False
12,10,6,6,20,False
13,9,6,8,19,False
9,9,7,5,19,False
6,8,6,5,22,False
10,7,6,4,19,False
7,8,4,5,18,False
12,5,3,6,19,False
11,8,4,5,17,False
10,9,4,5,19,False
10,7,4,9,17,False
9,7,3,9,12,False
10,6,2,6,18,False
9,7,4,5,19,False
10,6,3,7,17,False
9,8,5,7,15,False
11,6,4,4,20,False
10,6,4,4,18,False
7,7,3,5,17,False
9,11,5,7,20,False
7,7,8,4,21,False
7,5,4,6,21,False
7,7,4,5,20,False
7,7,2,10,20,False
8,7,3,5,17,False
13,5,3,4,19,False
24,8,4,6,16,False
9,8,5,7,18,False
9,6,5,5,17,False
8,7,3,4,18,False
7,6,3,4,23,False
9,7,5,4,20,False
10,6,3,5,20,False
8,6,3,5,17,False
8,7,5,5,18,False
8,5,3,9,17,False
8,7,4,3,29,False
9,6,4,5,53,False
7,6,4,4,21,False
8,7,3,7,16,False
6,7,3,7,17,False
27,7,2,4,15,False
9,8,2,4,34,False
9,6,3,5,29,False
9,7,3,6,22,False
7,5,4,4,19,True
