Mandy Len Catron,Scott Dinsmore,Sakena Yacoobi,Frances Larson,Iraola,isPartial
0,0,0,0,23,False
0,0,0,0,30,False
0,0,0,14,14,False
0,0,0,0,25,False
0,14,9,0,22,False
0,0,0,0,28,False
0,0,0,0,23,False
0,0,0,0,31,False
0,8,0,8,25,False
0,0,0,0,17,False
0,0,0,0,11,False
0,0,0,0,26,False
0,7,0,0,21,False
0,0,0,0,18,False
0,0,0,0,14,False
0,7,0,7,14,False
0,0,0,0,14,False
0,0,0,6,12,False
0,0,0,0,12,False
0,0,0,0,12,False
0,0,0,0,23,False
0,5,0,0,25,False
0,0,0,0,22,False
0,5,0,0,18,False
0,4,0,0,13,False
0,0,4,0,16,False
0,0,0,0,31,False
0,0,0,0,15,False
0,4,0,0,20,False
0,0,0,0,21,False
0,0,0,0,24,False
0,0,0,4,20,False
0,0,0,0,16,False
0,3,0,0,16,False
0,0,3,0,17,False
0,0,0,0,26,False
0,3,0,0,19,False
0,0,0,3,24,False
0,0,0,0,27,False
0,3,0,0,17,False
0,0,0,0,18,False
0,2,0,0,22,False
0,0,0,2,13,False
0,0,0,2,17,False
0,0,0,0,24,False
0,0,0,0,22,False
0,0,2,0,13,False
0,2,2,2,21,False
0,0,0,2,18,False
0,0,0,2,22,False
0,0,0,2,21,False
0,0,0,0,25,False
0,2,0,0,23,False
0,0,0,0,14,False
0,0,0,2,17,False
0,2,0,0,27,False
0,2,0,0,27,False
0,0,0,0,23,False
0,0,0,1,23,False
0,0,0,0,22,False
0,0,0,0,22,False
1,2,0,1,23,False
0,0,0,0,18,False
0,0,0,1,24,False
0,0,0,1,23,False
0,0,1,0,18,False
0,1,0,0,20,False
0,1,0,0,21,False
0,1,1,0,30,False
0,0,1,1,26,False
0,2,2,1,26,False
0,1,1,0,26,False
0,0,0,1,28,False
0,0,1,0,19,False
0,1,2,0,20,False
0,0,0,1,21,False
0,1,1,0,21,False
0,1,1,1,21,False
0,1,1,0,14,False
0,0,0,1,18,False
0,1,0,0,26,False
0,2,1,1,27,False
0,1,0,1,33,False
0,2,0,1,23,False
0,1,1,0,21,False
0,1,1,1,25,False
0,0,1,0,31,False
0,1,0,2,23,False
0,1,0,0,25,False
0,2,1,1,22,False
0,1,0,1,19,False
0,1,0,0,27,False
0,1,1,0,26,False
0,1,1,1,20,False
0,1,1,1,22,False
0,0,0,1,19,False
0,1,1,1,19,False
0,1,1,0,20,False
0,0,1,1,44,False
0,3,1,0,22,False
0,1,2,1,32,False
0,1,1,1,21,False
0,1,1,0,19,False
0,1,1,0,19,False
0,1,1,1,20,False
0,1,1,1,20,False
0,2,1,1,16,False
1,6,1,0,20,False
0,4,0,0,20,False
0,4,0,1,20,False
0,1,1,0,17,False
0,2,1,0,20,False
0,2,0,0,17,False
0,4,1,1,17,False
0,5,0,0,19,False
0,3,0,0,19,False
0,5,0,0,20,False
0,3,1,1,19,False
0,3,0,1,20,False
0,3,0,0,20,False
0,4,1,0,19,False
0,2,0,0,19,False
0,3,1,0,21,False
0,2,0,0,15,False
0,3,0,1,17,False
0,2,0,0,16,False
0,2,0,0,16,False
0,2,0,1,24,False
0,2,0,0,24,False
0,4,1,1,21,False
0,3,1,1,21,False
0,1,0,1,16,False
30,2,0,1,17,False
7,1,0,1,20,False
2,1,0,0,25,False
1,1,0,1,29,False
1,1,0,1,80,False
1,1,0,0,32,False
1,2,0,0,39,False
0,2,0,1,26,False
12,100,2,1,22,False
7,24,3,1,18,False
3,11,1,2,16,False
5,9,1,1,18,False
2,9,1,1,19,False
1,6,1,0,14,False
2,5,2,1,17,False
1,5,1,1,16,False
2,6,1,1,21,False
1,4,1,1,20,False
1,4,0,1,22,False
2,3,1,1,13,False
1,5,0,0,17,False
1,4,0,0,18,False
2,3,0,1,22,False
1,2,0,0,16,False
2,4,0,0,14,False
2,4,1,1,15,False
1,4,0,0,14,False
1,4,1,0,14,False
1,7,1,2,15,False
5,3,0,1,14,False
3,3,0,1,13,False
2,2,0,0,12,False
2,1,1,0,11,False
1,3,0,1,12,False
2,2,0,0,12,False
1,2,0,0,9,False
1,3,1,1,13,False
1,1,0,1,14,False
2,1,0,1,14,False
1,2,0,0,10,False
1,1,0,1,13,False
1,2,0,0,13,False
1,1,0,0,12,False
2,2,0,0,13,False
1,2,1,0,14,False
2,2,0,0,15,False
1,2,0,1,12,False
1,1,0,1,12,False
1,2,1,0,12,False
2,1,0,0,15,False
1,1,0,1,12,False
1,1,0,0,13,False
1,2,0,0,15,False
1,2,0,1,12,False
3,1,0,0,15,False
1,1,0,1,15,False
1,1,0,0,12,False
1,1,0,1,13,False
1,1,0,0,14,False
0,1,0,0,12,False
1,1,0,1,20,False
1,1,0,0,37,False
1,1,0,0,16,False
1,1,0,1,10,False
0,1,0,0,10,False
1,1,1,1,13,False
1,1,0,1,22,False
1,1,0,1,21,False
1,1,0,0,15,False
1,1,0,1,13,True
