Regina Hartley,Marina Abramović,Kristen Marhaver,Jessica Shortall,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,35,False
12,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,0,0,33,False
0,0,0,0,26,False
0,0,0,0,23,False
0,0,0,0,18,False
0,0,0,0,17,False
0,0,0,0,17,False
0,0,0,0,15,False
8,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,29,False
0,0,0,0,31,False
0,6,0,0,27,False
6,0,0,0,23,False
5,0,0,0,16,False
0,6,0,0,20,False
0,0,0,0,38,False
0,0,0,0,19,False
0,5,0,0,25,False
0,5,0,0,26,False
0,0,0,0,29,False
0,0,0,0,24,False
4,0,0,0,20,False
4,0,0,0,20,False
4,4,0,4,21,False
0,4,0,0,32,False
0,0,0,3,23,False
0,4,0,0,30,False
3,0,0,0,34,False
3,3,0,0,21,False
0,3,0,0,22,False
0,0,0,0,28,False
0,0,0,0,16,False
0,3,0,0,21,False
0,3,0,0,30,False
0,4,0,0,27,False
2,2,0,0,16,False
0,0,0,0,26,False
2,2,0,2,22,False
0,0,0,0,27,False
2,0,0,0,26,False
0,2,0,0,32,False
2,2,0,0,29,False
0,0,0,2,18,False
0,0,0,0,21,False
2,2,0,0,34,False
2,2,0,0,33,False
3,2,0,0,29,False
0,2,0,0,28,False
4,0,0,0,27,False
0,2,0,0,28,False
0,2,0,0,29,False
0,2,0,0,23,False
0,3,0,0,29,False
2,3,0,0,28,False
2,2,2,0,23,False
0,2,0,0,25,False
0,2,2,0,26,False
0,3,0,0,37,False
0,2,0,0,32,False
0,1,0,0,32,False
0,7,0,0,32,False
1,2,0,0,35,False
1,5,1,0,23,False
1,16,0,1,25,False
0,39,0,0,26,False
0,41,0,0,26,False
1,27,0,0,27,False
0,5,0,0,18,False
1,4,0,0,23,False
0,4,0,0,33,False
1,5,0,1,33,False
0,6,0,0,41,False
0,5,0,0,29,False
2,5,0,0,26,False
0,6,0,0,31,False
1,8,0,0,39,False
0,4,0,1,29,False
0,8,0,1,31,False
1,5,0,0,28,False
1,8,0,1,24,False
1,5,0,0,34,False
0,5,1,0,32,False
1,7,0,0,25,False
1,7,0,0,27,False
1,7,1,0,23,False
1,8,1,0,24,False
0,7,1,0,25,False
1,7,0,0,55,False
1,10,0,1,27,False
0,7,0,0,39,False
0,10,1,1,26,False
0,16,1,0,24,False
1,12,0,0,24,False
1,23,0,0,25,False
1,25,0,0,25,False
0,17,0,0,20,False
1,16,0,0,24,False
1,13,1,0,25,False
0,89,0,1,25,False
1,55,0,1,21,False
0,22,0,1,25,False
1,13,0,0,21,False
1,11,0,0,22,False
1,28,0,1,23,False
0,40,0,0,23,False
1,19,0,0,25,False
1,17,0,1,24,False
0,24,1,0,24,False
1,16,0,0,24,False
0,15,0,0,24,False
1,11,0,0,23,False
0,13,0,0,26,False
0,13,0,0,18,False
0,17,0,0,21,False
1,15,0,1,19,False
1,10,0,1,20,False
0,10,0,0,29,False
0,8,0,0,30,False
0,7,0,1,26,False
0,8,0,0,26,False
0,9,0,0,19,False
0,8,0,0,22,False
1,7,0,0,25,False
0,10,0,0,31,False
0,10,0,1,36,False
0,21,0,0,100,False
0,37,0,0,40,False
0,16,0,0,48,False
0,7,0,0,33,False
0,8,0,0,27,False
0,6,1,0,22,False
2,9,0,1,20,False
5,9,2,1,22,False
1,9,0,1,24,False
1,9,0,0,18,False
1,8,0,1,21,False
1,8,0,1,20,False
0,7,0,1,26,False
1,9,0,1,24,False
1,9,0,0,27,False
0,11,0,1,16,False
1,8,0,0,22,False
1,10,0,0,22,False
1,32,0,1,27,False
1,13,0,0,20,False
1,9,0,0,17,False
1,13,0,1,19,False
1,11,0,2,18,False
1,15,0,1,17,False
1,13,0,0,19,False
1,12,0,0,18,False
2,10,1,0,17,False
1,10,1,0,15,False
1,9,1,1,14,False
1,9,1,0,14,False
1,9,0,1,15,False
1,8,0,0,11,False
1,10,0,1,16,False
0,6,0,1,18,False
1,5,1,1,17,False
0,10,0,0,12,False
1,7,0,0,16,False
1,10,0,0,17,False
1,5,0,0,15,False
1,7,0,0,16,False
1,19,0,1,17,False
1,10,0,0,19,False
2,7,0,0,15,False
1,7,0,1,15,False
0,9,1,1,15,False
0,8,0,1,18,False
0,17,0,0,15,False
1,5,0,0,16,False
1,5,0,0,19,False
0,6,0,0,15,False
1,7,0,1,19,False
1,6,0,0,19,False
1,21,0,0,15,False
1,9,0,0,16,False
1,7,0,0,17,False
1,9,0,0,15,False
1,8,0,0,25,False
1,6,0,0,46,False
1,17,0,1,20,False
1,29,0,0,13,False
1,17,0,0,13,False
1,13,0,0,16,False
1,14,0,0,28,False
0,11,0,0,26,False
1,11,0,0,19,False
1,9,0,0,16,True
