Casey Gerald,Joe Gebbia,Tim Urban,Jessica Ladd,Iraola,isPartial
0,0,2,0,3,False
0,0,4,0,5,False
2,0,4,0,2,False
0,0,4,2,4,False
1,0,3,0,3,False
0,0,4,0,4,False
1,0,4,1,3,False
0,0,5,1,5,False
1,0,3,1,4,False
1,0,8,0,3,False
1,0,5,0,2,False
1,0,6,0,4,False
0,0,3,0,3,False
1,0,8,0,3,False
1,0,6,0,2,False
1,0,4,0,2,False
0,0,5,0,2,False
1,0,4,1,2,False
1,0,5,1,2,False
1,0,5,1,2,False
1,1,6,1,4,False
0,0,6,1,4,False
1,0,6,1,3,False
1,0,4,2,3,False
0,0,6,0,2,False
1,0,5,0,2,False
1,0,3,0,5,False
1,0,5,1,2,False
0,0,6,1,3,False
1,0,6,1,3,False
1,0,3,1,4,False
0,0,4,0,3,False
1,0,4,1,2,False
0,0,4,0,2,False
0,0,5,0,3,False
1,0,5,0,4,False
0,0,6,0,3,False
0,0,4,0,4,False
0,0,4,0,4,False
0,0,7,0,3,False
1,0,3,0,3,False
1,0,4,0,3,False
1,0,6,1,2,False
0,0,4,0,3,False
0,0,3,0,4,False
0,0,3,0,3,False
1,0,3,0,2,False
0,0,3,0,3,False
0,0,3,0,3,False
1,0,3,0,3,False
0,0,2,0,3,False
0,0,3,0,4,False
0,0,3,1,4,False
0,0,3,0,2,False
0,0,2,1,3,False
0,1,3,0,4,False
0,0,3,0,4,False
0,0,2,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
1,0,4,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,4,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,1,3,False
0,0,5,0,5,False
0,0,4,1,4,False
0,0,5,0,4,False
0,0,7,0,4,False
0,0,5,0,4,False
0,0,80,0,3,False
0,0,76,0,3,False
0,0,100,0,3,False
0,0,22,0,3,False
1,0,11,0,3,False
0,0,9,0,2,False
0,0,8,0,3,False
0,0,6,0,4,False
0,0,4,0,4,False
0,0,6,0,5,False
0,0,6,0,4,False
0,0,7,0,3,False
0,0,6,0,4,False
0,0,6,0,5,False
0,0,6,0,4,False
0,0,5,0,4,False
0,0,6,0,3,False
1,0,5,0,3,False
0,0,4,0,4,False
0,0,3,0,4,False
0,0,4,0,3,False
0,0,5,0,3,False
0,0,5,0,3,False
0,0,5,0,3,False
0,0,5,0,3,False
0,0,4,0,7,False
0,0,5,0,3,False
0,0,4,0,5,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,2,False
0,0,4,0,3,False
0,0,3,0,3,False
0,0,5,0,3,False
0,0,4,0,3,False
0,0,6,0,3,False
0,0,6,0,3,False
0,0,4,0,3,False
0,0,4,0,3,False
0,0,5,0,3,False
0,0,4,0,3,False
0,0,3,0,3,False
0,0,4,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,4,0,2,False
0,0,3,0,3,False
1,0,4,0,2,False
1,0,3,0,2,False
0,0,4,0,4,False
0,0,4,0,4,False
0,0,2,0,3,False
0,0,4,0,3,False
0,0,3,0,2,False
0,0,4,0,3,False
0,0,3,0,3,False
0,0,3,0,4,False
0,0,3,0,4,False
0,0,3,0,12,False
0,0,3,0,5,False
0,1,3,0,6,False
0,0,3,0,4,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,3,False
0,0,3,0,2,False
2,1,6,0,3,False
1,0,10,0,2,False
0,0,5,0,3,False
0,1,5,0,3,False
0,0,4,0,3,False
1,0,4,0,2,False
0,0,4,0,3,False
0,1,4,0,3,False
0,1,6,0,3,False
0,1,4,0,2,False
0,1,4,0,2,False
0,1,5,0,2,False
0,1,4,0,2,False
1,0,6,0,2,False
0,0,4,0,2,False
0,1,4,0,2,False
0,0,3,0,2,False
0,0,3,0,2,False
1,1,4,0,2,False
0,1,4,0,2,False
0,1,5,0,2,False
0,1,5,0,1,False
0,1,4,0,2,False
0,0,4,0,2,False
0,2,4,0,2,False
0,1,4,0,2,False
0,1,3,0,2,False
0,1,3,0,2,False
0,0,3,0,2,False
0,1,4,0,2,False
0,1,4,0,2,False
1,0,4,0,2,False
2,0,3,0,2,False
1,0,3,0,2,False
1,0,3,0,2,False
1,0,3,0,2,False
1,0,3,0,2,False
1,0,3,0,2,False
0,0,3,0,2,False
0,0,3,0,2,False
0,1,3,0,2,False
3,1,3,0,2,False
0,1,3,0,2,False
0,0,3,0,2,False
0,0,4,0,2,False
0,0,3,0,2,False
0,0,4,0,3,False
0,0,3,0,6,False
0,0,3,0,2,False
0,1,3,0,2,False
0,0,3,0,2,False
0,0,3,0,2,False
0,0,2,0,3,False
0,0,3,0,3,False
0,0,3,0,2,False
0,0,4,0,2,True
