J.D. Vance,Camille A. Brown,Oded Shoseyov,Sayu Bhojwani,Iraola,isPartial
0,0,0,0,15,False
0,0,0,15,44,False
0,0,0,0,18,False
0,0,0,0,42,False
0,0,0,0,30,False
0,0,0,0,42,False
0,0,0,0,25,False
0,0,0,0,58,False
0,0,0,0,32,False
0,0,0,0,11,False
0,0,0,0,11,False
0,0,0,0,36,False
0,0,0,0,22,False
0,0,0,0,23,False
0,0,0,16,12,False
0,9,0,0,18,False
0,0,0,0,23,False
0,0,0,0,16,False
0,0,0,0,20,False
0,0,0,0,8,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,39,False
0,0,0,0,22,False
0,0,0,6,14,False
0,0,0,0,20,False
0,0,0,0,40,False
0,0,0,0,19,False
0,0,0,0,32,False
0,0,0,0,21,False
0,0,0,0,28,False
0,0,0,0,21,False
0,0,0,0,18,False
0,0,0,4,16,False
0,0,4,0,24,False
0,0,0,0,39,False
4,0,0,0,29,False
0,0,4,0,38,False
0,0,0,0,35,False
0,0,0,0,17,False
0,0,0,0,24,False
0,0,0,0,25,False
0,0,0,0,12,False
0,0,0,0,23,False
0,0,0,0,28,False
0,0,0,0,33,False
0,0,0,0,17,False
0,3,0,0,29,False
0,0,0,0,22,False
0,2,0,0,30,False
0,2,0,0,23,False
0,0,0,0,36,False
0,0,0,0,26,False
0,0,0,0,18,False
0,0,0,0,22,False
0,0,0,2,41,False
0,0,0,0,35,False
0,0,0,0,33,False
0,0,0,0,31,False
0,2,0,0,31,False
0,0,2,0,29,False
0,0,0,0,30,False
0,0,0,0,29,False
0,0,0,0,31,False
0,0,0,0,32,False
0,0,0,0,23,False
0,0,0,0,27,False
2,0,0,0,29,False
0,0,0,0,39,False
0,0,0,0,36,False
1,0,0,0,33,False
0,0,0,0,33,False
0,0,1,0,39,False
0,0,0,0,24,False
0,0,0,1,21,False
0,0,0,0,28,False
0,0,0,0,30,False
0,0,0,0,28,False
0,4,0,1,18,False
0,1,0,0,26,False
1,0,1,0,31,False
0,1,0,0,32,False
0,0,1,0,41,False
0,0,0,0,31,False
0,1,2,0,26,False
0,0,0,0,31,False
0,0,0,0,36,False
0,0,0,0,28,False
0,1,1,0,33,False
0,0,0,1,28,False
0,0,1,1,25,False
0,1,0,0,33,False
0,1,0,0,32,False
0,0,1,0,25,False
0,0,1,0,28,False
0,0,0,0,25,False
0,1,0,2,22,False
0,0,0,1,27,False
0,0,1,0,52,False
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,1,26,False
0,1,0,1,24,False
0,0,0,0,23,False
0,0,0,0,23,False
1,0,0,0,23,False
0,0,1,0,21,False
0,0,1,0,24,False
0,0,0,0,28,False
0,0,0,1,29,False
0,1,0,0,20,False
0,0,0,0,24,False
0,1,0,1,23,False
0,0,1,0,24,False
0,1,0,1,22,False
0,0,0,0,23,False
0,1,0,0,24,False
0,1,0,1,24,False
0,0,0,0,25,False
0,1,0,0,26,False
0,0,0,1,22,False
0,0,0,0,24,False
0,0,0,0,27,False
0,1,0,0,20,False
0,1,0,1,20,False
0,0,0,0,21,False
1,0,0,0,22,False
0,1,0,0,30,False
0,1,1,0,33,False
0,0,0,0,28,False
0,0,0,0,29,False
0,0,0,0,19,False
0,0,0,0,22,False
0,1,1,1,27,False
0,1,0,0,33,False
0,0,0,0,36,False
0,0,0,0,100,False
0,0,0,0,40,False
0,0,0,0,49,False
0,0,0,0,35,False
0,0,1,0,28,False
0,0,0,0,23,False
0,0,0,0,19,False
0,0,1,0,19,False
0,0,0,0,24,False
0,0,0,0,19,False
0,0,0,0,22,False
0,0,0,0,20,False
0,0,0,0,24,False
3,0,0,0,25,False
5,0,0,0,27,False
14,0,0,0,16,False
6,0,0,0,22,False
6,0,1,2,24,False
8,0,0,0,29,False
5,0,0,0,19,False
11,0,0,0,19,False
8,0,0,1,21,False
7,0,0,0,21,False
7,0,0,0,19,False
7,0,0,0,17,False
10,0,0,0,19,False
7,0,0,0,17,False
7,0,0,0,14,False
5,0,0,0,15,False
5,0,0,0,14,False
4,0,1,0,15,False
4,1,1,0,12,False
6,0,1,0,16,False
2,0,0,0,20,False
3,0,0,0,17,False
3,0,1,1,14,False
2,0,0,1,18,False
2,0,1,0,16,False
3,0,0,0,17,False
2,0,0,1,17,False
2,1,0,0,17,False
2,0,1,1,19,False
2,0,0,0,16,False
2,0,0,0,17,False
3,0,1,0,15,False
2,0,0,1,17,False
2,0,0,1,15,False
3,0,0,1,15,False
2,0,0,0,21,False
1,0,0,0,15,False
2,0,0,0,19,False
3,0,0,0,18,False
1,0,0,1,16,False
1,0,0,0,16,False
1,0,1,0,17,False
2,0,0,0,17,False
1,0,1,0,25,False
2,1,0,1,50,False
1,0,0,0,21,False
2,0,0,0,13,False
1,0,0,0,12,False
1,0,0,0,18,False
1,0,0,0,31,False
1,0,0,0,26,False
0,0,0,0,19,False
2,0,0,1,16,True
