Jennifer Lin,Amy Smith,Ross Lovegrove,Jimmy Wales,Iraola,isPartial
0,15,3,0,2,False
2,9,4,0,5,False
6,8,11,0,3,False
2,13,5,0,3,False
1,10,4,0,3,False
1,7,4,3,3,False
3,9,5,1,3,False
2,14,2,0,5,False
2,9,3,1,3,False
1,13,4,1,2,False
2,10,4,2,1,False
1,10,2,1,2,False
0,13,3,1,2,False
2,5,2,3,3,False
2,8,2,1,2,False
1,9,3,2,3,False
2,12,2,1,2,False
2,9,1,1,3,False
1,9,2,2,3,False
1,12,4,2,2,False
2,12,3,2,3,False
2,12,2,2,3,False
1,10,3,2,2,False
1,11,2,11,3,False
1,10,3,9,2,False
1,11,1,2,2,False
1,9,3,1,4,False
4,8,2,1,2,False
2,11,2,2,3,False
2,6,2,3,3,False
1,12,1,2,3,False
3,8,3,3,2,False
1,11,4,2,2,False
1,11,3,2,2,False
1,10,2,2,3,False
1,7,3,4,3,False
1,7,3,3,2,False
1,10,2,3,3,False
1,6,3,5,3,False
1,8,4,5,2,False
1,9,3,5,3,False
1,8,3,3,3,False
0,9,2,3,3,False
1,10,2,4,2,False
1,8,2,3,3,False
1,7,3,4,2,False
1,8,3,4,3,False
1,8,2,5,3,False
1,9,2,4,2,False
1,8,2,2,2,False
1,9,2,14,3,False
1,8,2,2,3,False
1,8,2,3,3,False
1,8,2,2,2,False
2,8,2,2,2,False
1,7,2,3,3,False
1,7,3,2,4,False
1,9,3,3,3,False
1,8,2,8,4,False
1,7,2,20,3,False
1,9,2,27,3,False
1,7,2,3,3,False
1,8,3,2,3,False
1,7,2,2,3,False
1,9,2,4,3,False
1,6,2,2,3,False
1,8,1,2,3,False
1,8,2,2,3,False
1,6,2,3,4,False
1,8,1,3,3,False
1,7,2,9,4,False
1,7,2,43,4,False
1,7,2,17,4,False
1,8,2,2,2,False
1,6,2,2,3,False
1,8,2,3,3,False
1,8,2,3,3,False
1,8,1,2,3,False
1,8,1,2,2,False
1,8,1,2,3,False
1,7,1,8,3,False
1,7,1,6,3,False
1,7,2,100,5,False
1,8,1,65,4,False
1,9,1,22,3,False
1,9,1,6,4,False
1,8,1,6,4,False
1,6,2,3,4,False
1,6,2,3,4,False
1,7,1,2,3,False
1,13,1,2,3,False
1,9,1,2,4,False
1,9,2,3,4,False
1,7,2,5,3,False
0,7,1,71,3,False
1,7,1,16,2,False
1,7,1,11,3,False
3,6,1,5,3,False
3,5,1,3,5,False
2,6,1,3,3,False
1,6,1,4,5,False
1,6,1,4,2,False
1,6,1,3,2,False
1,7,1,4,3,False
1,7,2,4,3,False
1,6,1,6,2,False
1,5,1,11,3,False
1,6,1,6,3,False
1,6,1,3,3,False
1,6,1,4,2,False
1,6,1,6,2,False
1,7,2,3,2,False
1,6,1,2,2,False
1,6,1,3,2,False
1,7,1,4,2,False
1,6,1,4,3,False
1,6,1,3,3,False
1,5,1,3,2,False
1,7,1,3,3,False
1,7,1,4,3,False
1,7,1,3,3,False
1,6,1,2,3,False
1,7,1,5,3,False
1,6,1,3,2,False
1,6,1,2,3,False
1,6,1,2,2,False
1,6,0,2,3,False
1,7,0,3,3,False
1,6,1,3,4,False
1,7,1,3,3,False
1,6,1,3,3,False
1,8,1,4,2,False
1,6,1,4,3,False
1,6,1,2,3,False
1,6,1,3,4,False
1,6,1,3,5,False
1,6,1,3,10,False
1,7,1,3,5,False
1,7,0,3,5,False
1,7,0,2,4,False
1,6,1,2,3,False
0,6,1,2,2,False
1,9,1,2,2,False
1,10,1,3,2,False
1,6,0,2,3,False
1,6,1,2,2,False
1,5,1,2,2,False
1,6,1,2,2,False
1,6,1,2,3,False
1,5,0,1,3,False
3,5,0,2,3,False
1,5,0,2,2,False
1,5,0,2,2,False
1,5,0,2,3,False
1,9,1,3,3,False
0,7,0,11,3,False
1,5,0,2,2,False
1,5,0,2,2,False
1,5,1,3,2,False
0,4,1,4,2,False
1,4,1,3,2,False
1,4,1,5,2,False
1,4,0,2,2,False
0,5,0,5,2,False
1,5,1,3,2,False
1,5,1,5,2,False
1,7,1,13,2,False
0,6,0,10,1,False
0,5,0,2,2,False
0,4,0,2,2,False
1,5,0,2,2,False
1,5,0,2,1,False
1,5,0,2,2,False
0,5,0,1,2,False
1,4,0,1,2,False
1,5,0,1,2,False
0,4,0,1,2,False
0,5,0,2,2,False
0,5,0,2,2,False
0,7,0,2,2,False
1,5,0,1,2,False
0,4,0,3,2,False
0,5,0,2,2,False
0,4,0,2,2,False
1,4,0,1,2,False
1,4,0,1,2,False
1,4,0,2,2,False
0,4,0,1,2,False
0,4,0,2,2,False
1,4,0,2,2,False
0,4,0,3,2,False
0,4,0,3,2,False
0,4,0,1,3,False
0,4,0,2,5,False
0,4,0,2,2,False
0,4,0,2,2,False
0,5,0,2,2,False
0,4,0,2,1,False
0,5,0,2,3,False
0,4,0,1,3,False
0,4,0,1,2,False
1,5,0,1,2,True
