David Casarett,"Curtis ""Wall Street"" Carroll",Stephanie Busari,Siddhartha Roy,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,17,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,0,12,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,0,10,33,False
0,0,0,0,26,False
0,0,0,0,23,False
0,0,0,0,18,False
8,0,0,0,17,False
0,0,0,0,17,False
0,0,0,8,15,False
0,0,0,8,15,False
0,0,0,0,15,False
0,0,0,0,29,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,23,False
5,0,0,0,16,False
0,0,0,6,20,False
5,0,0,0,38,False
0,0,0,5,19,False
0,0,0,0,25,False
0,0,0,0,26,False
5,0,0,0,29,False
0,0,0,5,24,False
0,0,0,4,20,False
0,0,0,0,20,False
0,0,0,4,21,False
0,0,0,0,32,False
0,0,0,0,23,False
0,0,0,0,30,False
0,0,0,5,34,False
0,0,0,0,21,False
0,0,0,3,22,False
0,0,0,0,28,False
0,0,0,0,16,False
0,0,0,0,21,False
0,0,0,3,30,False
0,0,0,0,27,False
0,0,0,2,16,False
0,0,0,0,26,False
0,0,0,0,22,False
0,0,0,0,27,False
0,0,0,0,26,False
2,0,2,2,32,False
0,0,0,2,29,False
2,0,0,4,18,False
0,0,0,2,21,False
0,0,2,2,34,False
0,0,0,2,33,False
0,0,0,0,29,False
0,0,0,2,28,False
0,0,0,0,27,False
0,0,0,0,28,False
0,0,2,2,29,False
0,0,0,5,23,False
0,0,0,2,29,False
0,0,0,2,28,False
0,0,0,1,23,False
0,0,0,2,25,False
0,0,0,2,26,False
0,0,0,1,37,False
0,0,0,2,32,False
0,0,0,1,32,False
1,0,0,0,32,False
2,0,0,2,35,False
0,0,0,1,23,False
1,0,0,0,25,False
0,0,0,1,26,False
1,0,0,2,26,False
0,0,0,2,27,False
0,0,0,0,18,False
0,0,0,1,23,False
0,0,0,1,33,False
1,0,0,0,33,False
1,0,0,3,41,False
0,0,0,1,29,False
0,0,0,1,26,False
1,0,0,1,31,False
1,0,0,2,39,False
0,0,0,2,29,False
1,0,0,1,31,False
1,0,0,1,28,False
0,0,0,2,24,False
1,0,0,1,34,False
1,0,0,2,32,False
0,0,0,3,25,False
1,0,0,4,27,False
0,0,0,3,23,False
0,0,0,1,24,False
0,0,0,2,25,False
0,0,0,2,55,False
1,0,0,1,27,False
0,0,0,3,39,False
1,0,0,2,26,False
0,0,0,2,24,False
0,1,0,1,24,False
1,0,0,1,25,False
0,0,0,1,25,False
1,0,0,3,20,False
0,0,0,9,24,False
0,0,0,5,25,False
0,0,1,2,25,False
1,0,1,2,21,False
0,0,0,3,25,False
0,0,0,5,21,False
0,0,1,4,22,False
0,0,0,3,23,False
0,0,1,3,23,False
1,0,0,2,25,False
0,0,0,2,24,False
0,0,0,2,24,False
0,0,1,3,24,False
0,0,0,3,24,False
0,0,0,2,23,False
1,0,0,2,26,False
0,0,1,1,18,False
0,0,0,3,21,False
1,0,0,1,19,False
1,0,1,2,20,False
1,0,1,2,29,False
1,0,0,2,30,False
1,0,0,2,26,False
0,0,0,2,26,False
0,1,0,2,19,False
0,0,0,2,22,False
1,0,0,1,25,False
0,0,0,2,31,False
0,0,0,1,36,False
0,0,0,1,100,False
0,0,0,1,40,False
1,0,0,1,48,False
1,1,0,1,33,False
1,0,0,1,27,False
1,0,0,1,22,False
1,0,0,2,20,False
0,0,0,2,22,False
0,0,0,2,24,False
1,0,0,2,18,False
0,0,0,2,21,False
1,0,0,2,20,False
0,0,0,1,26,False
1,0,0,2,24,False
0,0,1,2,27,False
0,0,1,1,16,False
0,0,0,2,22,False
0,0,0,1,22,False
0,0,0,1,27,False
1,0,0,2,20,False
1,0,0,2,17,False
0,0,1,2,19,False
0,0,0,2,18,False
1,3,1,2,17,False
1,13,1,2,19,False
0,5,0,1,18,False
0,4,0,1,17,False
0,2,1,1,15,False
1,2,1,1,14,False
0,0,0,1,14,False
1,0,0,2,15,False
0,1,0,2,11,False
0,1,0,1,16,False
0,1,0,1,18,False
0,2,1,1,17,False
0,2,1,1,12,False
1,1,0,2,16,False
0,2,0,1,17,False
1,5,0,1,15,False
1,3,0,2,16,False
1,3,0,2,17,False
1,2,0,1,19,False
0,3,0,1,15,False
1,2,0,1,15,False
0,2,0,1,15,False
0,2,0,1,18,False
0,1,0,1,15,False
0,1,0,1,16,False
0,1,1,2,19,False
0,6,0,2,15,False
1,4,1,1,19,False
1,2,0,1,19,False
0,2,0,1,15,False
1,1,1,2,16,False
1,2,1,1,17,False
0,1,0,1,15,False
1,1,0,1,25,False
0,1,1,1,46,False
0,1,1,1,20,False
0,0,1,1,13,False
0,0,0,1,13,False
0,2,1,1,16,False
0,11,0,1,28,False
0,2,0,2,26,False
0,1,0,1,19,False
0,1,1,1,16,True
