Sitawa Wafula,Anthony D. Romero,Nina Fedoroff, OK Go,Iraola,isPartial
0,0,0,7,1,False
0,0,0,4,1,False
0,0,0,4,1,False
0,0,0,5,1,False
0,0,0,4,1,False
0,0,0,3,1,False
0,0,0,2,1,False
0,0,0,3,1,False
0,0,0,4,1,False
0,0,0,2,1,False
0,0,0,4,0,False
0,0,0,3,1,False
0,0,0,4,1,False
0,0,0,6,1,False
0,0,0,6,1,False
0,0,0,5,0,False
0,0,0,4,1,False
0,0,0,5,0,False
0,0,0,6,0,False
0,0,0,16,0,False
0,0,0,18,1,False
0,0,0,19,1,False
0,0,0,15,1,False
0,0,0,13,1,False
0,0,0,15,0,False
0,0,0,20,1,False
0,0,0,17,1,False
0,0,0,17,1,False
0,0,0,12,1,False
0,0,0,11,1,False
0,0,0,11,1,False
0,0,0,69,1,False
0,0,0,100,1,False
0,0,0,56,1,False
0,0,0,41,1,False
0,0,0,41,1,False
0,0,0,33,1,False
0,0,0,29,1,False
0,0,0,24,1,False
0,0,0,20,1,False
0,0,0,15,1,False
0,0,0,13,1,False
0,0,0,13,0,False
0,0,0,12,1,False
0,0,0,12,1,False
0,0,0,10,1,False
0,0,0,10,0,False
0,0,0,11,1,False
0,0,0,11,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,6,1,False
0,0,0,7,1,False
0,0,0,6,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,8,1,False
0,0,0,7,1,False
0,0,0,6,1,False
0,0,0,6,1,False
0,0,0,6,1,False
0,0,0,6,1,False
0,0,0,6,1,False
0,0,0,7,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,17,1,False
0,0,0,11,1,False
0,0,0,39,1,False
0,0,0,20,1,False
0,0,0,17,1,False
0,0,0,17,1,False
0,0,0,13,1,False
0,0,0,12,1,False
0,0,0,24,1,False
0,0,0,19,1,False
0,0,0,16,1,False
0,0,0,13,1,False
0,0,0,11,1,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,12,1,False
0,0,0,16,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,28,1,False
0,0,0,12,2,False
0,0,0,12,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,8,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,8,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,17,1,False
0,0,0,14,1,False
0,0,0,13,1,False
0,0,0,12,1,False
0,0,0,20,1,False
0,0,0,19,1,False
0,0,0,13,1,False
0,0,0,13,1,False
0,0,0,13,1,False
0,0,0,13,1,False
0,0,0,14,1,False
0,0,0,13,3,False
0,0,0,13,1,False
0,0,0,13,1,False
0,0,0,12,1,False
0,0,0,11,1,False
0,0,0,11,1,False
0,0,0,10,1,False
0,0,0,11,1,False
0,0,0,11,1,False
0,0,0,24,1,False
0,0,0,11,1,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,10,1,False
0,0,0,8,0,False
0,0,0,9,1,False
0,0,0,7,1,False
0,0,0,15,1,False
0,0,0,11,1,False
0,0,0,10,1,False
0,0,0,10,1,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,9,1,False
0,0,0,10,0,False
0,0,0,10,0,False
0,0,0,10,0,False
0,0,0,10,0,False
0,0,0,11,0,False
0,0,0,10,0,False
0,0,0,10,0,False
0,0,0,9,1,False
0,0,0,10,1,False
0,0,0,9,0,False
0,0,0,10,0,False
0,0,0,10,0,False
0,0,0,9,0,False
0,0,0,10,0,False
0,0,0,9,1,False
0,0,0,9,1,False
0,0,0,9,0,False
0,0,0,10,0,False
0,0,0,10,0,False
0,0,0,9,1,False
0,0,0,10,0,False
0,0,0,9,0,False
0,0,0,8,1,False
0,0,0,8,0,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,8,0,False
0,0,0,8,0,False
0,0,0,8,1,False
0,0,0,8,0,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,13,1,False
0,0,0,10,0,False
0,0,0,9,0,False
0,0,0,9,0,False
0,0,0,9,1,False
0,0,0,8,1,False
0,0,0,8,1,False
0,0,0,8,0,True
