Luma Mufleh,Rabbi Lord Jonathan Sacks,Jorge Ramos,Liz Hajek,Iraola,isPartial
0,0,3,0,2,False
0,0,2,0,3,False
0,0,7,0,1,False
0,0,4,0,2,False
0,0,5,0,2,False
0,0,6,0,3,False
0,0,6,0,2,False
0,0,5,0,3,False
0,0,6,0,2,False
0,0,6,0,2,False
0,0,4,0,1,False
1,0,3,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,3,0,1,False
1,0,5,1,1,False
0,0,4,0,1,False
0,0,4,0,1,False
0,0,3,0,1,False
0,0,5,0,1,False
0,0,7,0,2,False
0,0,4,0,2,False
0,0,6,0,2,False
0,0,4,0,2,False
0,0,5,0,1,False
0,0,4,0,1,False
0,0,4,0,3,False
0,0,5,0,1,False
0,0,3,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,3,0,1,False
0,0,4,0,1,False
0,0,4,0,2,False
0,0,3,0,2,False
1,0,2,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,1,False
0,0,4,0,2,False
0,0,6,0,2,False
0,0,5,0,2,False
0,0,4,0,1,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,1,False
0,0,4,0,2,False
0,0,5,0,2,False
0,0,5,0,2,False
0,0,6,0,2,False
0,0,5,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,4,0,2,False
0,0,7,0,2,False
0,0,4,0,2,False
0,0,6,0,2,False
0,0,4,0,2,False
0,0,5,0,2,False
0,0,6,0,2,False
0,0,6,0,3,False
0,0,5,0,2,False
0,0,6,0,2,False
0,0,5,0,2,False
0,0,5,0,3,False
0,0,5,0,2,False
0,0,6,0,2,False
0,0,5,0,2,False
0,0,5,0,2,False
0,0,5,0,2,False
0,0,6,0,1,False
0,0,6,0,2,False
0,0,6,0,2,False
0,0,5,0,2,False
0,0,5,0,3,False
0,0,6,0,2,False
0,0,9,0,2,False
0,0,7,0,2,False
0,0,6,0,3,False
0,0,6,0,2,False
0,0,8,0,2,False
0,0,8,0,2,False
0,0,8,0,2,False
0,0,13,0,2,False
0,0,13,0,2,False
0,0,9,0,2,False
0,0,7,0,2,False
0,0,8,0,2,False
0,0,7,0,2,False
0,0,7,0,2,False
0,0,6,0,4,False
0,0,6,0,2,False
0,0,7,0,3,False
0,0,8,0,2,False
0,0,10,0,2,False
0,0,8,0,2,False
0,0,9,0,2,False
0,0,9,0,2,False
0,0,8,0,1,False
0,0,6,0,2,False
0,0,6,0,2,False
0,0,7,0,2,False
0,0,7,0,2,False
0,0,6,0,2,False
0,0,5,0,2,False
0,0,6,0,2,False
0,0,6,0,2,False
0,0,6,0,2,False
0,0,6,0,2,False
0,0,7,0,2,False
0,0,9,0,2,False
0,0,8,0,2,False
0,0,6,0,2,False
0,0,6,0,2,False
0,0,7,0,2,False
0,0,7,0,1,False
0,0,6,0,2,False
0,0,10,0,1,False
0,0,7,0,1,False
0,0,5,0,2,False
0,0,6,0,2,False
0,0,5,0,2,False
0,0,9,0,2,False
0,0,9,0,1,False
0,0,6,0,2,False
0,0,7,0,2,False
0,0,9,0,2,False
0,0,19,0,3,False
0,0,12,0,7,False
0,0,12,0,3,False
0,0,9,0,3,False
0,0,100,0,2,False
0,0,19,0,2,False
0,0,9,0,2,False
0,0,8,0,1,False
0,0,7,0,2,False
0,0,7,0,2,False
0,0,7,0,1,False
0,0,14,0,2,False
0,0,8,0,1,False
0,0,7,0,2,False
0,0,7,0,2,False
0,0,7,0,2,False
0,0,6,0,1,False
0,0,7,0,2,False
0,0,11,0,2,False
0,0,21,0,2,False
0,0,6,0,1,False
0,0,8,0,1,False
0,0,16,0,1,False
0,0,10,0,1,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,5,0,1,False
0,0,4,0,1,False
0,0,6,0,1,False
0,0,9,0,1,False
0,0,6,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,8,0,1,False
0,0,6,0,1,False
0,0,5,0,1,False
0,0,8,0,1,False
0,0,7,0,1,False
0,0,5,0,1,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,4,0,1,False
0,0,6,0,1,False
0,0,36,0,1,False
0,0,8,0,1,False
0,0,14,0,1,False
0,0,6,0,1,False
0,0,14,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,8,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,4,0,1,False
0,0,7,0,2,False
0,0,5,0,3,False
0,0,7,0,1,False
0,0,8,0,1,False
0,0,9,0,1,False
0,0,4,0,1,False
0,0,5,0,2,False
0,0,5,0,2,False
0,0,5,0,1,False
0,0,5,0,1,True
