Malcolm Gladwell,Dan Gilbert,Barry Schwartz,Eva Vertes,Iraola,isPartial
7,1,2,0,2,False
4,2,1,0,4,False
2,1,4,0,2,False
2,3,1,0,2,False
3,1,2,0,2,False
4,1,3,0,2,False
4,3,1,0,2,False
2,2,2,0,4,False
5,1,2,0,2,False
8,2,3,1,2,False
6,2,2,0,1,False
8,4,2,0,1,False
18,4,1,0,2,False
18,1,3,1,2,False
14,3,2,1,2,False
18,4,2,0,2,False
10,3,1,0,1,False
9,1,1,0,2,False
8,3,1,0,2,False
12,2,1,1,1,False
9,2,1,0,2,False
9,1,2,0,2,False
10,3,1,0,2,False
7,1,1,1,2,False
10,1,1,0,1,False
12,1,1,1,2,False
15,2,1,0,3,False
10,2,1,0,2,False
10,2,1,0,3,False
7,1,1,0,3,False
7,2,1,0,3,False
8,2,1,0,2,False
10,2,2,0,2,False
11,1,1,0,2,False
7,1,1,1,2,False
7,2,1,0,2,False
13,2,1,0,2,False
8,1,1,0,2,False
7,1,1,0,2,False
8,2,1,0,2,False
7,1,1,1,2,False
7,5,1,0,2,False
7,1,1,0,2,False
6,2,1,0,2,False
6,2,1,0,2,False
6,2,1,0,2,False
6,2,1,0,2,False
6,2,1,0,2,False
8,1,1,0,2,False
7,1,1,0,2,False
6,1,1,0,2,False
5,1,1,0,2,False
8,1,1,0,2,False
5,1,1,0,1,False
5,2,1,0,1,False
5,1,1,0,3,False
6,2,1,0,3,False
7,1,1,0,2,False
28,1,1,0,3,False
29,2,1,0,2,False
22,2,1,0,2,False
15,1,3,0,2,False
16,2,1,0,2,False
17,1,1,0,3,False
23,2,1,0,2,False
17,2,1,0,2,False
18,2,1,0,2,False
18,2,1,0,3,False
16,2,1,0,3,False
22,2,1,0,2,False
27,3,1,0,3,False
25,2,1,0,3,False
22,2,2,0,3,False
19,2,1,0,2,False
19,2,2,0,2,False
16,2,1,0,2,False
15,4,2,0,2,False
14,4,1,0,2,False
16,100,1,0,2,False
16,4,1,0,2,False
16,5,1,0,2,False
19,6,1,0,3,False
15,3,1,0,4,False
14,5,1,0,3,False
18,4,2,0,3,False
28,3,2,0,3,False
17,3,1,0,3,False
14,2,2,0,3,False
14,6,1,0,3,False
15,10,1,0,3,False
14,2,1,0,2,False
16,2,1,0,3,False
14,2,1,0,3,False
16,2,1,0,2,False
15,2,1,0,2,False
14,11,1,0,2,False
14,3,1,0,2,False
12,2,1,0,3,False
13,2,1,0,4,False
13,2,1,0,3,False
13,3,1,0,4,False
15,10,1,0,2,False
13,3,1,0,2,False
12,2,1,0,2,False
13,2,1,0,2,False
13,2,1,0,2,False
12,2,1,0,2,False
12,2,1,0,2,False
12,3,1,0,2,False
12,3,1,0,2,False
11,4,1,0,2,False
11,4,1,0,2,False
11,7,1,0,2,False
10,4,1,0,2,False
15,3,1,0,2,False
14,2,1,0,2,False
18,3,1,0,2,False
38,4,1,0,2,False
34,3,1,0,2,False
26,2,1,0,2,False
24,3,1,0,2,False
17,3,1,0,2,False
16,4,1,0,2,False
16,3,1,0,2,False
16,4,1,0,2,False
15,6,1,0,2,False
21,41,1,0,2,False
20,4,1,0,3,False
16,3,1,0,3,False
14,5,1,0,2,False
14,5,1,0,2,False
13,6,1,0,2,False
12,6,1,0,2,False
11,5,1,0,2,False
12,4,1,0,3,False
13,4,1,0,4,False
10,6,1,0,8,False
12,6,1,0,4,False
11,4,1,0,4,False
13,3,1,0,3,False
13,3,2,0,2,False
12,4,1,0,2,False
12,3,1,0,2,False
11,3,1,0,2,False
11,3,1,0,2,False
10,3,1,0,1,False
9,3,1,0,2,False
9,4,1,0,2,False
9,6,1,0,2,False
14,20,1,0,2,False
17,5,1,0,2,False
23,3,0,0,2,False
17,2,1,0,2,False
13,5,1,0,2,False
17,3,1,0,2,False
12,3,1,0,2,False
12,4,1,0,1,False
13,5,1,0,2,False
11,3,1,0,1,False
10,3,1,0,1,False
9,3,1,0,2,False
13,10,1,0,1,False
17,8,1,0,1,False
15,4,1,0,1,False
13,4,1,0,1,False
12,4,1,0,1,False
11,3,1,0,1,False
11,2,1,0,1,False
10,5,1,0,1,False
12,7,1,0,1,False
12,2,1,0,1,False
11,4,1,0,1,False
14,6,0,0,1,False
13,11,1,0,1,False
13,8,1,0,1,False
13,2,1,0,1,False
12,3,1,0,2,False
11,3,1,0,2,False
12,4,1,0,2,False
10,2,1,0,1,False
12,2,1,0,1,False
10,2,1,0,1,False
10,2,1,0,1,False
9,3,1,0,1,False
10,11,1,0,1,False
11,7,1,0,1,False
12,3,1,0,2,False
15,3,1,0,1,False
32,2,1,0,2,False
21,3,1,0,1,False
25,2,1,0,1,False
20,2,1,0,1,False
19,2,1,0,2,False
15,4,1,0,4,False
12,2,1,0,2,False
13,2,1,0,1,False
13,2,1,0,1,False
18,3,1,0,1,False
14,3,0,0,3,False
13,5,1,0,2,False
12,3,1,0,2,False
10,2,1,0,1,True
