date,Edward Burtynsky,Robert Fischell,Peter Donnelly,Michael Shermer,Iraola,isPartial
2004-01-01,44,0,37,15,15,False
2004-02-01,29,0,15,15,37,False
2004-03-01,18,0,18,36,18,False
2004-04-01,35,14,28,35,35,False
2004-05-01,12,0,24,24,12,False
2004-06-01,0,0,0,24,36,False
2004-07-01,38,0,13,25,19,False
2004-08-01,24,0,18,23,29,False
2004-09-01,32,0,0,22,49,False
2004-10-01,28,0,17,33,33,False
2004-11-01,22,0,0,39,33,False
2004-12-01,31,0,0,31,36,False
2005-01-01,9,0,18,31,27,False
2005-02-01,0,0,28,33,9,False
2005-03-01,16,0,16,12,12,False
2005-04-01,27,0,9,27,13,False
2005-05-01,19,0,8,16,35,False
2005-06-01,8,0,12,20,28,False
2005-07-01,0,0,16,16,20,False
2005-08-01,0,0,12,23,12,False
2005-09-01,21,0,21,28,46,False
2005-10-01,29,0,16,13,36,False
2005-11-01,36,0,7,13,30,False
2005-12-01,22,7,10,26,26,False
2006-01-01,11,6,17,20,17,False
2006-02-01,20,9,0,15,26,False
2006-03-01,20,0,12,17,30,False
2006-04-01,16,5,8,8,30,False
2006-05-01,15,0,12,20,34,False
2006-06-01,5,0,10,10,29,False
2006-07-01,15,0,13,18,28,False
2006-08-01,12,5,5,7,14,False
2006-09-01,11,0,16,27,21,False
2006-10-01,17,0,14,10,19,False
2006-11-01,24,0,8,20,34,False
2006-12-01,17,0,8,13,30,False
2007-01-01,15,0,13,26,22,False
2007-02-01,31,0,12,23,38,False
2007-03-01,17,3,12,18,27,False
2007-04-01,17,0,14,12,23,False
2007-05-01,17,3,9,14,21,False
2007-06-01,16,3,8,13,22,False
2007-07-01,12,3,8,18,28,False
2007-08-01,13,0,7,21,26,False
2007-09-01,31,3,11,26,24,False
2007-10-01,27,3,8,18,26,False
2007-11-01,43,2,10,20,20,False
2007-12-01,28,0,9,20,20,False
2008-01-01,28,0,5,21,26,False
2008-02-01,19,0,11,21,22,False
2008-03-01,21,0,12,17,29,False
2008-04-01,22,2,10,29,32,False
2008-05-01,19,2,10,15,28,False
2008-06-01,9,0,9,15,20,False
2008-07-01,12,2,9,20,13,False
2008-08-01,11,2,4,16,36,False
2008-09-01,15,0,7,12,40,False
2008-10-01,24,0,5,11,25,False
2008-11-01,28,3,8,13,25,False
2008-12-01,10,2,5,18,28,False
2009-01-01,16,0,8,16,30,False
2009-02-01,20,0,6,17,34,False
2009-03-01,17,2,9,16,27,False
2009-04-01,14,2,9,24,32,False
2009-05-01,11,0,6,21,33,False
2009-06-01,7,0,6,17,33,False
2009-07-01,6,0,11,12,31,False
2009-08-01,10,0,4,8,26,False
2009-09-01,13,0,9,29,42,False
2009-10-01,17,0,4,20,37,False
2009-11-01,21,1,8,21,33,False
2009-12-01,19,0,8,20,29,False
2010-01-01,21,1,8,20,38,False
2010-02-01,26,0,8,21,27,False
2010-03-01,20,1,4,22,22,False
2010-04-01,14,0,6,19,33,False
2010-05-01,10,1,7,13,29,False
2010-06-01,6,0,6,22,20,False
2010-07-01,7,0,7,20,18,False
2010-08-01,8,0,4,16,24,False
2010-09-01,15,0,5,16,34,False
2010-10-01,10,2,5,18,31,False
2010-11-01,18,0,5,16,36,False
2010-12-01,7,0,5,22,41,False
2011-01-01,9,1,8,17,21,False
2011-02-01,17,1,5,16,30,False
2011-03-01,19,1,3,14,45,False
2011-04-01,27,2,5,19,34,False
2011-05-01,14,0,6,22,42,False
2011-06-01,11,0,5,24,37,False
2011-07-01,7,2,5,28,20,False
2011-08-01,12,0,4,16,36,False
2011-09-01,13,0,3,25,40,False
2011-10-01,17,1,6,10,32,False
2011-11-01,16,1,4,15,23,False
2011-12-01,15,0,3,11,26,False
2012-01-01,16,0,4,15,25,False
2012-02-01,11,0,2,15,32,False
2012-03-01,13,0,5,10,42,False
2012-04-01,13,1,3,12,34,False
2012-05-01,11,1,5,13,39,False
2012-06-01,10,1,6,12,28,False
2012-07-01,12,1,6,9,23,False
2012-08-01,9,0,3,14,20,False
2012-09-01,10,1,7,18,23,False
2012-10-01,11,1,6,15,21,False
2012-11-01,9,1,7,17,29,False
2012-12-01,8,0,5,16,25,False
2013-01-01,9,1,4,21,27,False
2013-02-01,8,1,5,19,23,False
2013-03-01,10,1,4,16,21,False
2013-04-01,6,0,4,14,21,False
2013-05-01,10,0,6,13,20,False
2013-06-01,5,0,2,15,22,False
2013-07-01,4,0,2,13,24,False
2013-08-01,4,0,5,58,20,False
2013-09-01,19,1,6,22,30,False
2013-10-01,18,0,4,18,24,False
2013-11-01,19,1,5,18,22,False
2013-12-01,10,1,5,13,24,False
2014-01-01,11,1,6,17,24,False
2014-02-01,11,1,4,17,20,False
2014-03-01,12,0,4,11,29,False
2014-04-01,15,1,4,13,20,False
2014-05-01,13,1,3,13,24,False
2014-06-01,7,0,4,11,18,False
2014-07-01,6,0,4,12,24,False
2014-08-01,7,1,4,8,32,False
2014-09-01,11,1,3,20,37,False
2014-10-01,10,1,6,15,25,False
2014-11-01,7,1,4,9,25,False
2014-12-01,7,1,3,9,26,False
2015-01-01,8,1,3,21,22,False
2015-02-01,7,0,4,14,23,False
2015-03-01,6,0,6,11,38,False
2015-04-01,6,1,4,14,42,False
2015-05-01,7,0,4,14,100,False
2015-06-01,4,0,2,11,39,False
2015-07-01,3,0,5,8,48,False
2015-08-01,3,1,6,9,36,False
2015-09-01,9,0,4,9,29,False
2015-10-01,10,1,2,8,24,False
2015-11-01,11,0,4,11,21,False
2015-12-01,8,0,3,11,23,False
2016-01-01,8,0,2,13,22,False
2016-02-01,8,0,9,14,23,False
2016-03-01,7,0,10,21,25,False
2016-04-01,6,0,5,8,18,False
2016-05-01,7,1,3,8,26,False
2016-06-01,5,0,3,9,24,False
2016-07-01,2,0,2,8,26,False
2016-08-01,4,0,3,8,20,False
2016-09-01,10,1,2,25,22,False
2016-10-01,8,1,3,14,27,False
2016-11-01,10,1,4,16,28,False
