date,Carolyn Steel,David Logan,Chimamanda Ngozi Adichie,Beau Lotto,Iraola,isPartial
2004-01-01,0,21,0,0,11,False
2004-02-01,0,48,11,0,32,False
2004-03-01,0,26,13,13,13,False
2004-04-01,0,10,0,0,15,False
2004-05-01,9,13,0,0,9,False
2004-06-01,0,35,0,0,13,False
2004-07-01,0,28,0,0,9,False
2004-08-01,0,30,0,0,13,False
2004-09-01,0,35,16,0,20,False
2004-10-01,0,24,0,0,12,False
2004-11-01,0,12,0,0,20,False
2004-12-01,0,30,0,0,15,False
2005-01-01,0,16,13,0,20,False
2005-02-01,0,38,14,0,17,False
2005-03-01,0,17,0,0,12,False
2005-04-01,0,26,10,0,19,False
2005-05-01,6,34,6,0,23,False
2005-06-01,6,31,0,0,23,False
2005-07-01,0,41,6,0,15,False
2005-08-01,0,56,0,0,11,False
2005-09-01,0,13,0,5,18,False
2005-10-01,0,26,7,0,24,False
2005-11-01,5,22,0,0,24,False
2005-12-01,5,21,5,0,19,False
2006-01-01,4,21,0,0,12,False
2006-02-01,9,26,6,4,15,False
2006-03-01,0,22,0,0,25,False
2006-04-01,0,24,0,0,16,False
2006-05-01,0,12,4,0,23,False
2006-06-01,0,19,4,0,21,False
2006-07-01,0,11,8,4,21,False
2006-08-01,0,16,10,0,14,False
2006-09-01,0,22,7,3,8,False
2006-10-01,3,24,6,3,14,False
2006-11-01,0,18,3,3,22,False
2006-12-01,3,22,5,3,17,False
2007-01-01,3,20,3,0,16,False
2007-02-01,3,20,6,0,15,False
2007-03-01,2,16,7,0,26,False
2007-04-01,0,19,8,3,19,False
2007-05-01,4,20,3,2,15,False
2007-06-01,0,23,23,0,16,False
2007-07-01,0,15,8,0,19,False
2007-08-01,0,16,3,0,13,False
2007-09-01,2,12,8,0,21,False
2007-10-01,0,21,4,2,15,False
2007-11-01,0,24,5,0,15,False
2007-12-01,2,17,9,4,19,False
2008-01-01,2,22,4,2,15,False
2008-02-01,2,9,4,5,24,False
2008-03-01,2,20,5,2,13,False
2008-04-01,0,27,4,2,20,False
2008-05-01,2,21,2,3,22,False
2008-06-01,3,19,7,2,15,False
2008-07-01,2,22,3,2,10,False
2008-08-01,2,11,4,2,23,False
2008-09-01,1,15,8,0,25,False
2008-10-01,2,14,3,3,22,False
2008-11-01,2,17,3,1,24,False
2008-12-01,1,21,5,0,18,False
2009-01-01,0,15,6,1,18,False
2009-02-01,1,25,9,1,28,False
2009-03-01,1,21,3,1,21,False
2009-04-01,0,16,9,0,25,False
2009-05-01,0,19,6,1,30,False
2009-06-01,2,17,6,1,18,False
2009-07-01,1,18,8,1,17,False
2009-08-01,1,25,9,1,23,False
2009-09-01,1,50,5,2,31,False
2009-10-01,4,26,13,5,17,False
2009-11-01,5,35,9,4,26,False
2009-12-01,3,23,10,1,18,False
2010-01-01,1,24,7,1,25,False
2010-02-01,2,27,6,1,13,False
2010-03-01,1,26,6,1,17,False
2010-04-01,0,31,5,2,22,False
2010-05-01,3,24,4,1,15,False
2010-06-01,2,29,6,2,20,False
2010-07-01,1,26,3,2,15,False
2010-08-01,1,26,8,2,18,False
2010-09-01,1,16,5,2,21,False
2010-10-01,2,19,6,1,21,False
2010-11-01,1,19,6,1,27,False
2010-12-01,2,19,7,2,27,False
2011-01-01,1,19,8,2,17,False
2011-02-01,2,35,8,1,28,False
2011-03-01,1,22,8,2,32,False
2011-04-01,2,21,4,1,22,False
2011-05-01,1,25,6,1,23,False
2011-06-01,3,20,4,1,25,False
2011-07-01,1,24,4,1,19,False
2011-08-01,1,24,5,4,26,False
2011-09-01,2,21,4,1,27,False
2011-10-01,4,17,6,2,24,False
2011-11-01,4,25,3,3,19,False
2011-12-01,1,19,3,2,18,False
2012-01-01,1,25,5,1,18,False
2012-02-01,1,22,5,2,21,False
