date,Rachel Pike,Cynthia Schneider,Pranav Mistry,Mathieu Lehanneur,Iraola,isPartial
2004-01-01,0,0,0,5,8,False
2004-02-01,5,0,0,0,21,False
2004-03-01,6,0,0,6,6,False
2004-04-01,0,0,0,0,7,False
2004-05-01,4,0,0,0,6,False
2004-06-01,0,0,0,0,6,False
2004-07-01,4,4,0,0,6,False
2004-08-01,0,4,0,0,7,False
2004-09-01,4,4,0,0,9,False
2004-10-01,0,4,0,0,9,False
2004-11-01,4,4,0,0,12,False
2004-12-01,7,0,0,0,7,False
2005-01-01,0,0,0,0,11,False
2005-02-01,3,0,0,0,8,False
2005-03-01,3,3,3,0,7,False
2005-04-01,0,3,0,0,8,False
2005-05-01,3,0,0,0,9,False
2005-06-01,6,3,0,0,10,False
2005-07-01,3,0,0,0,8,False
2005-08-01,3,3,0,3,7,False
2005-09-01,0,0,0,0,10,False
2005-10-01,3,2,0,0,9,False
2005-11-01,2,2,0,2,9,False
2005-12-01,5,2,0,0,8,False
2006-01-01,2,0,0,2,6,False
2006-02-01,3,2,0,0,8,False
2006-03-01,2,2,0,2,13,False
2006-04-01,0,2,2,2,8,False
2006-05-01,3,2,0,2,8,False
2006-06-01,2,2,0,4,9,False
2006-07-01,0,2,0,0,11,False
2006-08-01,3,2,0,0,7,False
2006-09-01,3,3,0,2,6,False
2006-10-01,3,0,0,1,9,False
2006-11-01,1,1,0,3,8,False
2006-12-01,3,1,0,0,7,False
2007-01-01,1,1,0,1,9,False
2007-02-01,1,2,0,2,8,False
2007-03-01,1,1,0,2,13,False
2007-04-01,1,0,1,1,9,False
2007-05-01,1,1,0,2,8,False
2007-06-01,1,1,0,1,9,False
2007-07-01,1,1,0,1,8,False
2007-08-01,2,1,0,0,6,False
2007-09-01,1,1,1,1,11,False
2007-10-01,1,0,1,1,8,False
2007-11-01,1,1,0,1,7,False
2007-12-01,1,1,0,1,10,False
2008-01-01,1,1,0,1,6,False
2008-02-01,2,1,0,2,10,False
2008-03-01,1,2,1,2,9,False
2008-04-01,1,1,0,2,9,False
2008-05-01,2,1,0,1,9,False
2008-06-01,1,1,1,2,8,False
2008-07-01,1,0,0,1,5,False
2008-08-01,2,1,0,1,11,False
2008-09-01,1,1,0,1,12,False
2008-10-01,1,1,1,2,10,False
2008-11-01,1,1,0,1,11,False
2008-12-01,1,1,0,1,9,False
2009-01-01,1,1,1,2,10,False
2009-02-01,1,1,1,1,12,False
2009-03-01,1,1,32,2,8,False
2009-04-01,1,2,15,2,11,False
2009-05-01,2,1,4,2,13,False
2009-06-01,1,1,5,2,9,False
