date,Fields Wicker-Miurin,Devdutt Pattanaik,Rob Hopkins,Magnus Larsson,Iraola,isPartial
2004-01-01,0,0,15,15,23,False
2004-02-01,0,0,0,15,60,False
2004-03-01,0,0,19,0,18,False
2004-04-01,0,0,0,15,19,False
2004-05-01,0,0,0,13,17,False
2004-06-01,0,0,12,12,19,False
2004-07-01,0,0,13,13,17,False
2004-08-01,0,0,12,0,20,False
2004-09-01,0,0,11,22,28,False
2004-10-01,0,11,11,11,26,False
2004-11-01,0,0,23,0,34,False
2004-12-01,0,11,11,11,21,False
2005-01-01,0,9,0,25,31,False
2005-02-01,0,0,10,20,24,False
2005-03-01,0,0,8,11,19,False
2005-04-01,0,0,9,9,24,False
2005-05-01,0,8,8,11,27,False
2005-06-01,0,0,16,16,29,False
2005-07-01,0,0,16,0,25,False
2005-08-01,0,0,8,8,21,False
2005-09-01,0,0,7,7,29,False
2005-10-01,0,0,7,7,27,False
2005-11-01,0,0,7,0,27,False
2005-12-01,0,0,7,7,22,False
2006-01-01,0,0,8,8,17,False
2006-02-01,0,0,6,9,22,False
2006-03-01,5,0,5,8,38,False
2006-04-01,0,0,6,6,24,False
2006-05-01,0,0,5,10,24,False
2006-06-01,0,0,5,16,27,False
2006-07-01,0,0,8,5,32,False
2006-08-01,0,0,5,10,20,False
2006-09-01,0,0,7,6,17,False
2006-10-01,0,4,9,6,27,False
2006-11-01,0,4,6,12,25,False
2006-12-01,0,0,13,4,22,False
2007-01-01,4,0,4,6,27,False
2007-02-01,0,0,4,8,24,False
2007-03-01,0,0,3,7,39,False
2007-04-01,0,0,5,7,25,False
2007-05-01,0,3,5,8,25,False
2007-06-01,0,0,8,6,27,False
2007-07-01,0,0,6,16,22,False
2007-08-01,0,0,0,3,17,False
2007-09-01,0,0,5,10,32,False
2007-10-01,0,0,4,4,24,False
2007-11-01,0,0,4,7,21,False
2007-12-01,0,0,5,5,28,False
2008-01-01,0,0,4,5,18,False
2008-02-01,0,2,3,7,29,False
2008-03-01,0,2,8,7,25,False
2008-04-01,0,0,5,2,27,False
2008-05-01,0,2,5,7,27,False
2008-06-01,2,0,7,6,24,False
2008-07-01,0,2,7,4,15,False
2008-08-01,2,2,6,4,32,False
2008-09-01,0,0,6,2,35,False
2008-10-01,2,0,6,6,30,False
2008-11-01,0,0,7,7,31,False
2008-12-01,0,0,5,5,25,False
2009-01-01,0,2,7,4,30,False
2009-02-01,0,0,5,7,35,False
2009-03-01,0,0,6,6,24,False
2009-04-01,0,2,11,6,32,False
2009-05-01,0,2,8,4,39,False
2009-06-01,2,0,3,6,27,False
2009-07-01,0,0,7,5,26,False
2009-08-01,0,0,8,7,32,False
2009-09-01,0,2,5,6,38,False
2009-10-01,0,0,7,5,28,False
2009-11-01,2,21,5,5,36,False
2009-12-01,1,11,8,11,27,False
2010-01-01,1,3,7,9,35,False
2010-02-01,0,3,8,4,18,False
2010-03-01,0,4,7,7,26,False
2010-04-01,0,2,4,4,27,False
2010-05-01,0,3,4,5,24,False
2010-06-01,0,8,4,5,29,False
2010-07-01,0,8,3,5,20,False
2010-08-01,0,8,4,4,27,False
2010-09-01,1,7,5,9,32,False
2010-10-01,0,7,8,4,34,False
2010-11-01,0,6,6,6,42,False
2010-12-01,1,4,5,3,34,False
2011-01-01,0,5,5,6,28,False
2011-02-01,0,9,3,6,38,False
2011-03-01,0,7,8,6,46,False
2011-04-01,0,5,7,3,34,False
2011-05-01,1,7,9,4,31,False
2011-06-01,0,5,5,3,33,False
2011-07-01,0,9,6,3,28,False
2011-08-01,0,7,6,3,42,False
2011-09-01,0,10,4,6,34,False
2011-10-01,2,6,7,6,32,False
2011-11-01,0,7,7,4,28,False
2011-12-01,1,23,6,4,27,False
2012-01-01,0,13,5,5,25,False
2012-02-01,0,11,5,4,30,False
2012-03-01,0,12,5,6,54,False
2012-04-01,0,9,7,7,34,False
2012-05-01,0,9,4,8,41,False
2012-06-01,0,8,4,5,32,False
2012-07-01,0,10,4,4,23,False
2012-08-01,0,9,2,4,24,False
2012-09-01,0,10,4,5,26,False
2012-10-01,0,9,5,4,25,False
2012-11-01,1,7,3,5,27,False
2012-12-01,0,11,5,4,23,False
2013-01-01,1,9,5,5,24,False
2013-02-01,0,10,4,4,25,False
2013-03-01,0,12,4,5,23,False
2013-04-01,0,9,4,5,25,False
2013-05-01,0,11,4,4,21,False
2013-06-01,0,13,5,4,23,False
2013-07-01,1,11,4,3,23,False
2013-08-01,1,11,7,4,24,False
2013-09-01,0,13,4,7,30,False
2013-10-01,0,14,6,4,26,False
2013-11-01,0,14,19,6,24,False
2013-12-01,1,16,5,4,25,False
2014-01-01,1,13,4,4,22,False
2014-02-01,1,11,5,3,25,False
2014-03-01,0,10,5,4,28,False
2014-04-01,1,14,6,4,22,False
2014-05-01,1,11,6,3,25,False
2014-06-01,1,12,7,3,21,False
2014-07-01,0,10,3,4,26,False
2014-08-01,0,18,5,5,34,False
2014-09-01,1,15,6,7,35,False
2014-10-01,0,13,3,3,27,False
2014-11-01,1,13,5,4,26,False
2014-12-01,0,10,4,3,22,False
2015-01-01,0,14,8,4,21,False
2015-02-01,0,11,6,3,26,False
2015-03-01,0,10,5,3,37,False
2015-04-01,0,11,5,3,38,False
2015-05-01,0,11,3,4,100,False
2015-06-01,1,12,5,5,44,False
2015-07-01,1,13,5,4,50,False
2015-08-01,0,12,3,4,34,False
2015-09-01,0,11,6,6,30,False
2015-10-01,0,20,5,5,24,False
2015-11-01,0,27,5,3,23,False
2015-12-01,0,27,5,4,20,False
2016-01-01,0,25,6,5,24,False
2016-02-01,0,25,4,5,23,False
2016-03-01,1,17,5,8,26,False
2016-04-01,0,13,4,11,18,False
2016-05-01,0,16,3,10,32,False
2016-06-01,0,20,2,7,26,False
2016-07-01,1,48,2,5,28,False
2016-08-01,1,35,3,3,18,False
2016-09-01,1,32,5,7,25,False
2016-10-01,1,28,5,6,24,False
2016-11-01,0,19,7,7,33,False
2016-12-01,0,20,6,8,19,False
2017-01-01,0,24,6,5,18,False
2017-02-01,0,21,5,5,21,False
2017-03-01,0,15,5,5,18,False
2017-04-01,0,17,4,6,19,False
2017-05-01,0,17,3,5,24,False
2017-06-01,0,14,3,4,19,False
2017-07-01,0,22,3,3,20,False
2017-08-01,0,21,5,4,18,False
2017-09-01,1,15,4,4,18,False
2017-10-01,0,24,4,3,16,False
2017-11-01,0,24,4,2,14,False
2017-12-01,1,26,4,3,14,False
2018-01-01,0,20,4,5,19,False
2018-02-01,0,21,5,3,17,False
2018-03-01,0,20,4,3,14,False
2018-04-01,0,22,3,3,16,False
2018-05-01,0,17,4,2,17,False
2018-06-01,0,19,4,2,17,False
2018-07-01,0,21,3,3,16,False
2018-08-01,0,19,3,3,17,False
2018-09-01,0,29,4,5,18,False
2018-10-01,0,33,3,3,20,False
2018-11-01,0,20,6,4,17,False
2018-12-01,0,25,5,5,16,False
2019-01-01,1,24,3,5,16,False
2019-02-01,0,17,3,5,19,False
2019-03-01,0,21,6,4,15,False
2019-04-01,0,18,4,3,19,False
2019-05-01,0,17,3,5,16,False
2019-06-01,0,19,3,5,17,False
2019-07-01,0,24,2,4,24,False
2019-08-01,0,28,5,4,20,False
2019-09-01,0,29,5,4,17,False
2019-10-01,0,26,4,4,16,False
2019-11-01,0,21,5,4,16,False
2019-12-01,0,23,4,2,19,False
2020-01-01,0,19,7,4,28,False
