date,Scott Kim,Sunitha Krishnan,Rory  Bremner,Marc Pachter,Iraola,isPartial
2004-01-01,29,0,3,0,5,False
2004-02-01,35,0,7,0,14,False
2004-03-01,20,0,4,0,4,False
2004-04-01,31,0,5,0,4,False
2004-05-01,24,0,5,0,4,False
2004-06-01,23,0,4,0,4,False
2004-07-01,23,0,3,0,4,False
2004-08-01,32,0,3,0,5,False
2004-09-01,21,0,4,0,6,False
2004-10-01,24,0,7,0,6,False
2004-11-01,22,0,4,3,8,False
2004-12-01,25,0,7,0,5,False
2005-01-01,24,0,3,0,7,False
2005-02-01,25,2,2,0,6,False
2005-03-01,23,0,4,0,4,False
2005-04-01,18,0,3,0,6,False
2005-05-01,18,0,4,0,6,False
2005-06-01,19,0,3,0,7,False
2005-07-01,20,0,6,0,6,False
2005-08-01,24,0,5,0,5,False
2005-09-01,22,0,2,0,7,False
2005-10-01,15,0,8,0,6,False
2005-11-01,19,0,12,2,6,False
2005-12-01,15,0,3,0,5,False
2006-01-01,22,0,4,0,4,False
2006-02-01,19,0,3,0,5,False
2006-03-01,15,0,2,0,9,False
2006-04-01,14,1,3,0,6,False
2006-05-01,17,0,3,0,5,False
2006-06-01,16,0,3,0,6,False
2006-07-01,16,0,3,1,7,False
2006-08-01,13,0,3,0,5,False
2006-09-01,18,0,3,1,4,False
2006-10-01,18,1,3,0,6,False
2006-11-01,16,0,4,0,6,False
2006-12-01,13,0,3,0,5,False
2007-01-01,21,0,1,0,6,False
2007-02-01,21,0,5,0,5,False
2007-03-01,16,0,5,1,9,False
2007-04-01,15,0,2,0,6,False
2007-05-01,16,0,5,1,6,False
2007-06-01,17,0,3,1,6,False
2007-07-01,17,0,3,0,5,False
2007-08-01,16,0,2,0,4,False
2007-09-01,15,0,2,1,7,False
2007-10-01,17,0,2,0,5,False
2007-11-01,15,0,2,0,5,False
2007-12-01,20,0,3,1,7,False
2008-01-01,15,0,2,1,4,False
2008-02-01,16,0,3,1,7,False
2008-03-01,17,0,1,1,6,False
2008-04-01,15,0,2,1,6,False
2008-05-01,15,0,3,0,6,False
2008-06-01,18,0,2,0,6,False
2008-07-01,16,0,1,0,3,False
2008-08-01,17,0,1,0,7,False
2008-09-01,16,0,3,0,8,False
2008-10-01,13,0,3,0,7,False
2008-11-01,14,0,4,0,7,False
2008-12-01,13,0,3,0,6,False
2009-01-01,14,0,3,0,7,False
2009-02-01,12,0,7,0,8,False
2009-03-01,12,0,1,0,6,False
2009-04-01,18,0,1,0,7,False
2009-05-01,20,0,1,0,9,False
2009-06-01,16,0,3,0,6,False
2009-07-01,14,0,3,0,6,False
2009-08-01,21,0,2,0,7,False
2009-09-01,20,0,2,0,9,False
2009-10-01,16,0,3,0,6,False
2009-11-01,18,1,2,0,8,False
2009-12-01,22,4,3,1,6,False
2010-01-01,20,2,3,1,8,False
2010-02-01,30,1,2,0,4,False
2010-03-01,23,1,6,0,6,False
2010-04-01,20,1,6,0,6,False
2010-05-01,17,1,6,0,5,False
2010-06-01,23,0,2,0,7,False
2010-07-01,25,0,2,1,5,False
2010-08-01,39,0,2,0,6,False
2010-09-01,26,1,1,0,7,False
2010-10-01,30,1,2,0,8,False
2010-11-01,26,12,2,0,10,False
2010-12-01,26,2,2,1,8,False
2011-01-01,31,1,1,0,7,False
2011-02-01,59,2,1,0,9,False
2011-03-01,28,1,1,0,11,False
2011-04-01,28,1,2,0,8,False
2011-05-01,23,1,4,0,7,False
2011-06-01,26,1,4,0,8,False
2011-07-01,22,0,2,0,6,False
2011-08-01,33,3,2,0,10,False
2011-09-01,25,2,5,0,8,False
2011-10-01,27,2,15,0,7,False
2011-11-01,32,1,2,0,7,False
2011-12-01,32,1,2,0,6,False
2012-01-01,37,1,2,0,6,False
2012-02-01,25,1,2,0,7,False
2012-03-01,18,1,2,0,13,False
2012-04-01,25,1,3,0,8,False
2012-05-01,30,1,3,0,9,False
2012-06-01,30,0,2,0,7,False
2012-07-01,43,1,1,0,5,False
2012-08-01,33,1,2,0,6,False
2012-09-01,37,1,2,0,6,False
2012-10-01,27,1,1,0,6,False
2012-11-01,26,1,1,0,6,False
2012-12-01,26,3,1,0,5,False
2013-01-01,40,7,4,0,5,False
2013-02-01,29,2,2,0,6,False
2013-03-01,35,3,2,0,5,False
2013-04-01,49,2,5,0,6,False
2013-05-01,30,1,3,0,5,False
2013-06-01,43,1,3,0,5,False
2013-07-01,33,1,2,0,5,False
2013-08-01,32,3,2,0,6,False
2013-09-01,29,1,1,0,7,False
2013-10-01,38,1,2,0,6,False
2013-11-01,43,1,2,0,6,False
2013-12-01,33,0,3,0,6,False
2014-01-01,37,1,1,0,5,False
2014-02-01,43,1,1,0,6,False
2014-03-01,31,1,3,0,7,False
2014-04-01,28,1,2,0,5,False
2014-05-01,35,1,2,0,6,False
2014-06-01,40,0,2,0,5,False
2014-07-01,42,1,1,0,6,False
2014-08-01,36,1,2,0,8,False
2014-09-01,41,3,3,0,8,False
2014-10-01,27,1,2,0,6,False
2014-11-01,44,1,2,0,6,False
2014-12-01,43,1,2,0,5,False
2015-01-01,42,1,3,0,5,False
2015-02-01,34,15,4,0,6,False
2015-03-01,43,3,1,0,8,False
2015-04-01,42,2,2,0,9,False
2015-05-01,37,1,3,0,23,False
2015-06-01,38,3,2,0,10,False
2015-07-01,100,1,1,0,12,False
2015-08-01,62,2,1,0,8,False
2015-09-01,50,1,1,0,7,False
2015-10-01,59,1,2,0,6,False
2015-11-01,50,1,2,0,5,False
2015-12-01,60,1,1,0,5,False
2016-01-01,60,2,2,0,6,False
2016-02-01,47,1,2,0,5,False
2016-03-01,40,1,1,0,6,False
2016-04-01,39,1,1,0,4,False
2016-05-01,42,2,1,0,7,False
2016-06-01,37,2,1,0,6,False
2016-07-01,38,1,2,0,6,False
2016-08-01,33,1,2,0,4,False
2016-09-01,29,1,1,0,6,False
2016-10-01,34,1,1,0,6,False
2016-11-01,32,1,2,0,8,False
2016-12-01,28,1,2,0,4,False
2017-01-01,30,1,4,0,4,False
2017-02-01,28,1,5,0,5,False
2017-03-01,30,2,2,0,4,False
2017-04-01,28,1,5,0,4,False
2017-05-01,40,1,3,0,6,False
2017-06-01,29,0,2,0,4,False
2017-07-01,31,1,1,0,5,False
2017-08-01,27,0,1,0,4,False
2017-09-01,47,0,1,0,4,False
2017-10-01,35,0,1,0,4,False
2017-11-01,33,0,1,0,3,False
2017-12-01,38,0,1,0,3,False
2018-01-01,36,1,1,0,4,False
2018-02-01,65,0,1,0,4,False
2018-03-01,34,1,1,0,3,False
2018-04-01,30,1,2,0,4,False
2018-05-01,29,1,1,0,4,False
2018-06-01,29,1,1,0,4,False
2018-07-01,28,1,2,0,4,False
2018-08-01,40,0,1,0,4,False
2018-09-01,37,0,4,0,4,False
2018-10-01,30,1,2,0,5,False
2018-11-01,35,1,2,0,4,False
2018-12-01,31,1,2,0,4,False
2019-01-01,27,0,1,0,4,False
2019-02-01,31,0,2,0,4,False
2019-03-01,28,0,1,0,4,False
2019-04-01,29,0,1,0,4,False
2019-05-01,26,0,1,0,4,False
2019-06-01,23,1,1,0,4,False
2019-07-01,22,0,2,0,6,False
2019-08-01,24,0,1,0,5,False
2019-09-01,23,0,1,0,4,False
2019-10-01,24,7,2,0,4,False
2019-11-01,20,1,1,0,4,False
2019-12-01,21,1,2,0,4,False
2020-01-01,18,0,1,0,7,False
2020-02-01,20,0,1,0,12,False
2020-03-01,21,1,1,0,5,False
2020-04-01,39,0,2,0,4,False
2020-05-01,29,0,1,0,3,False
2020-06-01,29,0,1,0,4,False
2020-07-01,26,0,1,0,8,False
2020-08-01,27,0,1,0,6,False
2020-09-01,26,1,1,0,4,False
2020-10-01,23,1,1,0,5,False
