date,Ray Kurzweil,Kevin Kelly,Peter Gabriel,Richard St. John,Iraola,isPartial
2004-01-01,1,7,93,1,1,False
2004-02-01,2,6,78,1,2,False
2004-03-01,2,5,71,0,1,False
2004-04-01,1,9,71,0,2,False
2004-05-01,2,5,100,1,1,False
2004-06-01,1,8,84,0,2,False
2004-07-01,1,7,70,0,1,False
2004-08-01,2,8,54,1,1,False
2004-09-01,1,6,52,1,2,False
2004-10-01,3,7,59,0,2,False
2004-11-01,2,4,54,1,2,False
2004-12-01,4,6,51,0,2,False
2005-01-01,1,5,55,1,1,False
2005-02-01,9,6,62,1,0,False
2005-03-01,3,6,50,1,1,False
2005-04-01,2,5,44,1,1,False
2005-05-01,2,7,49,1,2,False
2005-06-01,2,5,43,0,1,False
2005-07-01,3,4,43,1,1,False
2005-08-01,3,6,43,0,1,False
2005-09-01,3,6,50,0,2,False
2005-10-01,5,6,49,1,2,False
2005-11-01,4,7,49,1,1,False
2005-12-01,4,5,48,0,1,False
2006-01-01,4,6,41,0,1,False
2006-02-01,3,4,51,1,1,False
2006-03-01,3,5,41,0,1,False
2006-04-01,2,5,42,1,1,False
2006-05-01,2,5,40,0,2,False
2006-06-01,2,6,35,0,1,False
2006-07-01,2,5,37,0,1,False
2006-08-01,2,5,41,1,1,False
2006-09-01,2,5,37,0,1,False
2006-10-01,2,5,41,0,1,False
2006-11-01,3,4,39,0,2,False
2006-12-01,2,6,37,0,1,False
2007-01-01,3,4,30,0,1,False
2007-02-01,2,5,31,0,2,False
2007-03-01,2,4,34,0,1,False
2007-04-01,2,4,43,0,1,False
2007-05-01,3,5,45,0,1,False
2007-06-01,2,4,58,0,1,False
2007-07-01,2,5,49,0,1,False
2007-08-01,2,4,32,0,1,False
2007-09-01,2,4,32,0,1,False
2007-10-01,1,4,31,0,1,False
2007-11-01,2,4,28,0,1,False
2007-12-01,2,4,28,0,1,False
2008-01-01,3,5,32,0,1,False
2008-02-01,4,5,27,0,1,False
2008-03-01,3,4,26,0,1,False
2008-04-01,3,4,26,0,2,False
2008-05-01,3,4,28,0,1,False
2008-06-01,4,4,32,0,1,False
2008-07-01,2,4,32,0,1,False
2008-08-01,2,4,30,0,2,False
2008-09-01,2,5,27,0,2,False
2008-10-01,2,4,27,0,1,False
2008-11-01,2,4,29,0,1,False
2008-12-01,1,4,33,0,1,False
2009-01-01,2,6,35,0,1,False
2009-02-01,3,4,44,0,2,False
2009-03-01,2,5,49,0,1,False
2009-04-01,3,5,29,0,2,False
2009-05-01,3,4,36,0,2,False
2009-06-01,2,4,26,1,2,False
2009-07-01,2,4,28,1,1,False
2009-08-01,3,4,30,0,1,False
2009-09-01,4,5,26,0,2,False
2009-10-01,3,4,25,0,2,False
2009-11-01,2,4,27,0,2,False
2009-12-01,2,4,32,0,1,False
2010-01-01,4,4,39,0,2,False
2010-02-01,2,4,67,0,1,False
2010-03-01,2,3,52,0,1,False
2010-04-01,2,4,39,0,2,False
2010-05-01,2,4,35,0,1,False
2010-06-01,2,4,31,0,1,False
2010-07-01,2,4,29,0,1,False
2010-08-01,2,3,31,0,1,False
2010-09-01,2,3,37,0,2,False
2010-10-01,1,4,30,0,1,False
2010-11-01,2,4,26,0,2,False
2010-12-01,2,4,25,0,2,False
2011-01-01,3,4,27,0,1,False
2011-02-01,4,4,23,0,1,False
2011-03-01,5,4,29,0,2,False
2011-04-01,4,4,29,0,2,False
2011-05-01,3,4,25,0,2,False
2011-06-01,7,4,36,0,2,False
2011-07-01,4,4,26,0,1,False
2011-08-01,4,4,27,0,2,False
2011-09-01,3,4,29,0,2,False
2011-10-01,3,3,47,0,2,False
2011-11-01,3,4,43,0,1,False
2011-12-01,3,3,32,0,1,False
2012-01-01,2,5,28,0,1,False
2012-02-01,3,4,26,0,2,False
2012-03-01,2,4,28,0,2,False
2012-04-01,2,3,28,0,2,False
2012-05-01,4,3,33,0,2,False
2012-06-01,2,3,27,0,1,False
2012-07-01,2,3,24,0,1,False
2012-08-01,2,4,25,0,1,False
2012-09-01,2,4,38,0,1,False
2012-10-01,3,3,31,0,1,False
2012-11-01,3,4,26,0,1,False
