date,Anthony Atala,Sivamani,Taylor Mali,Bill Davenhall,Iraola,isPartial
2004-01-01,0,15,30,0,23,False
2004-02-01,15,0,15,0,60,False
2004-03-01,0,25,55,0,18,False
2004-04-01,15,14,29,0,19,False
2004-05-01,25,37,19,0,17,False
2004-06-01,0,19,0,0,19,False
2004-07-01,26,13,22,0,17,False
2004-08-01,0,36,20,0,20,False
2004-09-01,11,11,26,0,28,False
2004-10-01,0,11,17,0,26,False
2004-11-01,11,23,23,0,34,False
2004-12-01,0,11,28,0,21,False
2005-01-01,0,9,25,0,31,False
2005-02-01,10,10,16,0,24,False
2005-03-01,8,8,29,0,19,False
2005-04-01,9,9,27,0,24,False
2005-05-01,8,20,19,0,27,False
2005-06-01,8,16,24,0,29,False
2005-07-01,0,11,16,0,25,False
2005-08-01,0,20,26,0,21,False
2005-09-01,7,0,17,0,29,False
2005-10-01,7,13,16,0,27,False
2005-11-01,7,7,18,0,27,False
2005-12-01,0,10,18,0,22,False
2006-01-01,0,13,15,0,17,False
2006-02-01,6,8,14,0,22,False
2006-03-01,10,8,20,0,38,False
2006-04-01,33,15,24,0,24,False
2006-05-01,13,8,27,0,24,False
2006-06-01,5,5,21,0,27,False
2006-07-01,5,13,7,0,32,False
2006-08-01,7,11,10,0,20,False
2006-09-01,0,5,20,0,17,False
2006-10-01,4,14,13,0,27,False
2006-11-01,8,11,18,0,25,False
2006-12-01,15,13,13,0,22,False
2007-01-01,15,5,17,0,27,False
2007-02-01,8,9,24,0,24,False
2007-03-01,3,7,24,0,39,False
2007-04-01,4,8,20,0,25,False
2007-05-01,5,12,21,0,25,False
2007-06-01,0,6,63,0,27,False
2007-07-01,0,9,28,0,22,False
2007-08-01,4,8,23,0,17,False
2007-09-01,3,10,36,0,32,False
2007-10-01,4,14,32,0,24,False
2007-11-01,13,11,26,0,21,False
2007-12-01,5,13,22,0,28,False
2008-01-01,4,7,28,0,18,False
2008-02-01,5,7,27,0,29,False
2008-03-01,9,5,34,0,25,False
2008-04-01,3,11,30,0,27,False
2008-05-01,3,11,31,0,27,False
2008-06-01,6,11,15,0,24,False
2008-07-01,4,13,12,0,15,False
2008-08-01,2,11,17,0,32,False
2008-09-01,10,12,15,0,35,False
2008-10-01,3,11,25,0,30,False
2008-11-01,8,9,11,0,31,False
2008-12-01,4,31,22,0,25,False
2009-01-01,2,23,23,0,30,False
2009-02-01,2,23,21,0,35,False
2009-03-01,6,13,24,0,24,False
2009-04-01,3,17,25,0,32,False
2009-05-01,5,20,24,0,39,False
2009-06-01,4,15,17,0,27,False
2009-07-01,5,18,15,0,26,False
2009-08-01,2,19,20,0,32,False
2009-09-01,4,17,22,0,38,False
2009-10-01,1,16,19,0,28,False
2009-11-01,6,20,28,1,36,False
2009-12-01,3,16,23,0,27,False
2010-01-01,8,22,26,1,35,False
2010-02-01,5,20,32,1,18,False
2010-03-01,6,22,32,0,26,False
2010-04-01,3,28,34,2,27,False
2010-05-01,4,11,27,0,24,False
2010-06-01,4,15,21,1,29,False
2010-07-01,4,18,24,1,20,False
2010-08-01,5,17,28,0,27,False
2010-09-01,4,14,45,0,32,False
2010-10-01,2,17,33,0,34,False
2010-11-01,3,15,31,2,42,False
2010-12-01,3,18,25,1,34,False
2011-01-01,4,16,30,0,28,False
2011-02-01,4,16,38,0,38,False
2011-03-01,18,17,78,0,46,False
2011-04-01,12,15,43,0,34,False
2011-05-01,7,15,32,1,31,False
2011-06-01,4,14,19,0,33,False
2011-07-01,7,17,27,0,28,False
2011-08-01,3,16,30,1,42,False
2011-09-01,5,19,30,0,34,False
2011-10-01,6,15,27,1,32,False
2011-11-01,7,19,20,1,28,False
2011-12-01,5,30,20,0,27,False
2012-01-01,6,22,26,1,25,False
2012-02-01,3,19,27,1,30,False
2012-03-01,5,16,29,1,54,False
2012-04-01,4,19,28,0,34,False
2012-05-01,5,15,25,0,41,False
2012-06-01,5,14,19,0,32,False
2012-07-01,3,20,15,0,23,False
2012-08-01,3,18,22,0,24,False
2012-09-01,4,24,24,1,26,False
2012-10-01,5,15,23,1,25,False
2012-11-01,6,22,24,0,27,False
2012-12-01,3,22,13,1,23,False
2013-01-01,3,17,18,1,24,False
2013-02-01,5,16,24,1,25,False
2013-03-01,5,19,22,1,23,False
2013-04-01,4,16,20,0,25,False
2013-05-01,5,14,15,0,21,False
2013-06-01,5,13,14,1,23,False
2013-07-01,3,16,25,0,23,False
2013-08-01,4,19,20,1,24,False
2013-09-01,4,17,20,0,30,False
2013-10-01,3,17,16,1,26,False
2013-11-01,5,14,19,1,24,False
2013-12-01,3,16,17,0,25,False
2014-01-01,2,22,14,1,22,False
2014-02-01,3,19,19,0,25,False
2014-03-01,3,16,16,0,28,False
2014-04-01,4,18,15,1,22,False
2014-05-01,4,18,16,0,25,False
2014-06-01,5,18,13,0,21,False
2014-07-01,5,22,12,0,26,False
2014-08-01,3,23,15,1,34,False
2014-09-01,4,20,17,0,35,False
2014-10-01,5,23,15,1,27,False
2014-11-01,4,30,14,1,26,False
2014-12-01,4,24,8,0,22,False
2015-01-01,4,19,13,1,21,False
2015-02-01,4,15,34,0,26,False
2015-03-01,4,17,20,0,37,False
2015-04-01,4,18,14,0,38,False
2015-05-01,2,16,12,0,100,False
2015-06-01,4,15,12,0,44,False
2015-07-01,2,18,6,0,50,False
2015-08-01,2,16,9,0,34,False
2015-09-01,3,18,12,0,30,False
2015-10-01,2,18,8,0,24,False
2015-11-01,3,13,14,0,23,False
2015-12-01,2,17,11,0,20,False
2016-01-01,2,16,8,0,24,False
2016-02-01,3,17,10,1,23,False
2016-03-01,3,18,8,0,26,False
2016-04-01,3,18,11,0,18,False
2016-05-01,3,18,8,0,32,False
2016-06-01,3,18,7,0,26,False
2016-07-01,2,22,8,0,28,False
2016-08-01,2,19,8,1,18,False
2016-09-01,3,20,7,0,25,False
2016-10-01,3,21,6,0,24,False
2016-11-01,2,21,6,0,33,False
2016-12-01,3,23,5,0,19,False
2017-01-01,2,19,6,0,18,False
2017-02-01,2,19,8,0,21,False
2017-03-01,2,19,8,0,18,False
2017-04-01,3,20,6,0,19,False
2017-05-01,1,16,7,0,24,False
2017-06-01,3,18,4,0,19,False
2017-07-01,2,19,4,0,20,False
2017-08-01,2,20,4,0,18,False
2017-09-01,2,14,7,0,18,False
2017-10-01,3,14,6,0,16,False
2017-11-01,2,17,6,0,14,False
2017-12-01,2,17,3,0,14,False
2018-01-01,2,16,7,0,19,False
2018-02-01,1,20,4,0,17,False
2018-03-01,1,19,4,0,14,False
2018-04-01,2,20,5,0,16,False
2018-05-01,2,17,6,0,17,False
2018-06-01,2,19,3,0,17,False
2018-07-01,2,19,3,0,16,False
2018-08-01,1,22,5,0,17,False
2018-09-01,1,19,3,0,18,False
2018-10-01,2,38,3,0,20,False
2018-11-01,2,23,3,0,17,False
2018-12-01,2,22,3,0,16,False
2019-01-01,2,23,4,0,16,False
2019-02-01,2,19,5,0,19,False
2019-03-01,1,17,5,0,15,False
2019-04-01,1,15,5,1,19,False
2019-05-01,2,12,4,0,16,False
2019-06-01,1,13,3,0,17,False
2019-07-01,1,13,2,0,24,False
2019-08-01,1,12,5,0,20,False
2019-09-01,1,11,5,0,17,False
2019-10-01,1,13,4,0,16,False
2019-11-01,1,12,4,0,16,False
2019-12-01,1,14,3,0,19,False
2020-01-01,2,13,3,0,28,False
2020-02-01,1,11,3,0,54,False
2020-03-01,1,15,1,0,21,False
2020-04-01,1,13,3,0,17,False
2020-05-01,1,8,2,0,14,False
2020-06-01,1,11,2,0,16,False
2020-07-01,0,11,2,0,34,False
2020-08-01,1,9,2,0,27,False
2020-09-01,1,13,3,0,19,False
2020-10-01,1,8,2,0,21,False
