date,Peter Eigen,Jamie Oliver,David Cameron,Philip K. Howard,Iraola,isPartial
2004-01-01,0,31,1,0,0,False
2004-02-01,0,27,1,0,1,False
2004-03-01,1,29,1,0,0,False
2004-04-01,0,27,2,0,0,False
2004-05-01,0,26,2,0,0,False
2004-06-01,1,22,2,0,0,False
2004-07-01,0,24,1,0,0,False
2004-08-01,0,26,1,0,0,False
2004-09-01,0,24,1,0,0,False
2004-10-01,0,29,1,0,0,False
2004-11-01,0,28,1,0,1,False
2004-12-01,0,33,1,0,0,False
2005-01-01,0,24,1,0,1,False
2005-02-01,0,28,2,0,0,False
2005-03-01,0,47,1,0,0,False
2005-04-01,0,34,2,0,0,False
2005-05-01,0,27,2,0,0,False
2005-06-01,0,23,1,0,0,False
2005-07-01,0,26,1,0,0,False
2005-08-01,0,25,1,0,0,False
2005-09-01,0,26,2,0,0,False
2005-10-01,0,33,10,0,0,False
2005-11-01,0,36,4,0,0,False
2005-12-01,0,45,9,0,0,False
2006-01-01,0,33,5,0,0,False
2006-02-01,0,30,4,0,0,False
2006-03-01,0,28,3,0,1,False
2006-04-01,0,24,3,0,0,False
2006-05-01,0,24,4,0,0,False
2006-06-01,0,21,4,0,0,False
2006-07-01,0,23,3,0,1,False
2006-08-01,0,27,2,0,0,False
2006-09-01,0,33,3,0,0,False
2006-10-01,0,34,6,0,0,False
2006-11-01,0,34,3,0,0,False
2006-12-01,0,40,3,0,0,False
2007-01-01,0,29,3,0,0,False
2007-02-01,0,30,5,0,0,False
2007-03-01,0,23,4,0,1,False
2007-04-01,0,23,3,0,0,False
2007-05-01,0,23,4,0,0,False
2007-06-01,0,23,2,0,0,False
2007-07-01,0,23,3,0,0,False
2007-08-01,0,28,2,0,0,False
2007-09-01,0,30,3,0,1,False
2007-10-01,0,29,4,0,0,False
2007-11-01,0,28,3,0,0,False
2007-12-01,0,45,2,0,0,False
2008-01-01,0,43,2,0,0,False
2008-02-01,0,36,2,0,0,False
2008-03-01,0,35,2,0,0,False
2008-04-01,0,28,2,0,0,False
2008-05-01,0,24,3,0,0,False
2008-06-01,0,25,3,0,0,False
2008-07-01,0,27,3,0,0,False
2008-08-01,0,26,2,0,1,False
2008-09-01,0,27,3,0,1,False
2008-10-01,0,40,3,0,0,False
2008-11-01,0,37,3,0,1,False
2008-12-01,0,54,2,0,0,False
2009-01-01,0,39,3,0,0,False
2009-02-01,0,39,7,0,1,False
2009-03-01,0,32,3,0,0,False
2009-04-01,0,36,3,0,1,False
2009-05-01,0,31,4,0,1,False
2009-06-01,0,29,4,0,0,False
2009-07-01,0,31,3,0,0,False
2009-08-01,0,34,3,0,1,False
2009-09-01,0,38,3,0,1,False
2009-10-01,0,42,9,0,0,False
2009-11-01,0,45,4,0,1,False
2009-12-01,0,75,3,0,0,False
2010-01-01,0,52,5,0,1,False
2010-02-01,0,49,5,0,0,False
2010-03-01,0,64,7,0,0,False
2010-04-01,0,72,22,0,0,False
2010-05-01,0,53,59,0,0,False
2010-06-01,0,45,9,0,0,False
2010-07-01,0,47,9,0,0,False
2010-08-01,0,46,10,0,0,False
2010-09-01,0,53,8,0,1,False
2010-10-01,0,68,8,0,1,False
