date,Richard Feynman,James Cameron,The LXD,Srikumar Rao,Iraola,isPartial
2004-01-01,5,8,0,0,1,False
2004-02-01,4,7,0,0,2,False
2004-03-01,4,6,0,0,0,False
2004-04-01,4,7,0,0,0,False
2004-05-01,3,7,0,0,0,False
2004-06-01,2,6,0,0,0,False
2004-07-01,4,6,0,0,0,False
2004-08-01,3,6,0,0,1,False
2004-09-01,4,5,0,0,1,False
2004-10-01,2,5,0,0,1,False
2004-11-01,3,6,0,0,1,False
2004-12-01,4,5,0,0,1,False
2005-01-01,3,6,0,0,1,False
2005-02-01,3,7,0,0,1,False
2005-03-01,4,6,0,0,0,False
2005-04-01,3,4,0,0,1,False
2005-05-01,5,6,0,0,1,False
2005-06-01,2,7,0,0,1,False
2005-07-01,3,6,0,0,1,False
2005-08-01,3,5,0,0,1,False
2005-09-01,4,6,0,0,1,False
2005-10-01,3,5,0,0,1,False
2005-11-01,3,6,0,0,1,False
2005-12-01,2,5,0,0,1,False
2006-01-01,3,6,0,0,0,False
2006-02-01,3,6,0,0,1,False
2006-03-01,2,5,0,0,1,False
2006-04-01,3,5,0,0,1,False
2006-05-01,3,4,0,0,1,False
2006-06-01,2,5,0,0,1,False
2006-07-01,2,5,0,0,1,False
2006-08-01,2,5,0,0,0,False
2006-09-01,3,4,0,0,0,False
2006-10-01,2,4,0,0,1,False
2006-11-01,2,4,0,0,1,False
2006-12-01,2,5,0,0,1,False
2007-01-01,2,7,0,0,1,False
2007-02-01,2,26,0,0,1,False
2007-03-01,2,14,0,0,1,False
2007-04-01,2,6,0,0,1,False
2007-05-01,2,6,0,0,1,False
2007-06-01,2,5,0,0,1,False
2007-07-01,2,5,0,0,1,False
2007-08-01,3,4,0,0,0,False
2007-09-01,2,4,0,0,1,False
2007-10-01,2,5,0,0,1,False
2007-11-01,2,4,0,0,1,False
2007-12-01,3,5,0,0,1,False
2008-01-01,2,5,0,0,0,False
2008-02-01,3,5,0,0,1,False
2008-03-01,3,4,0,0,1,False
2008-04-01,2,5,0,0,1,False
2008-05-01,2,5,0,0,1,False
2008-06-01,2,4,0,0,1,False
2008-07-01,2,5,0,0,0,False
2008-08-01,2,5,0,0,1,False
2008-09-01,2,5,0,0,1,False
2008-10-01,2,5,0,0,1,False
2008-11-01,2,5,0,0,1,False
2008-12-01,1,5,0,0,1,False
2009-01-01,2,6,0,0,1,False
2009-02-01,2,6,0,0,1,False
2009-03-01,2,6,0,0,1,False
2009-04-01,2,6,0,0,1,False
2009-05-01,2,8,0,0,1,False
2009-06-01,2,12,0,0,1,False
2009-07-01,2,14,0,0,1,False
2009-08-01,2,29,0,0,1,False
2009-09-01,2,10,0,0,1,False
2009-10-01,2,10,0,0,1,False
2009-11-01,2,20,0,0,1,False
2009-12-01,2,100,0,0,1,False
2010-01-01,2,97,0,0,1,False
2010-02-01,2,45,0,0,0,False
2010-03-01,2,48,1,0,1,False
2010-04-01,2,24,0,0,1,False
2010-05-01,3,22,0,0,1,False
2010-06-01,3,18,0,0,1,False
2010-07-01,2,14,2,0,1,False
2010-08-01,2,15,1,0,1,False
2010-09-01,3,15,1,0,1,False
2010-10-01,2,12,2,0,1,False
2010-11-01,2,13,1,0,1,False
2010-12-01,2,13,2,0,1,False
2011-01-01,2,21,1,0,1,False
2011-02-01,2,27,1,0,1,False
2011-03-01,2,13,1,0,1,False
2011-04-01,3,13,1,0,1,False
2011-05-01,3,10,1,0,1,False
2011-06-01,3,11,1,0,1,False
2011-07-01,2,10,1,0,1,False
2011-08-01,3,11,1,0,1,False
2011-09-01,3,10,1,0,1,False
2011-10-01,3,10,1,0,1,False
2011-11-01,2,9,0,0,1,False
2011-12-01,2,11,1,0,1,False
2012-01-01,2,11,0,0,1,False
2012-02-01,3,11,0,0,1,False
2012-03-01,3,35,0,0,1,False
2012-04-01,3,37,0,0,1,False
2012-05-01,3,15,0,0,1,False
2012-06-01,2,12,0,0,1,False
2012-07-01,2,12,0,0,1,False
2012-08-01,2,11,0,0,1,False
2012-09-01,3,12,0,0,1,False
2012-10-01,2,15,0,0,1,False
2012-11-01,2,10,0,0,1,False
2012-12-01,3,11,0,0,1,False
2013-01-01,2,17,0,0,1,False
