date,Gary Lauder's new traffic sign,Eric Mead,Gary Vaynerchuk,Mark Roth,Iraola,isPartial
2004-01-01,0,0,0,7,10,False
2004-02-01,0,0,0,11,28,False
2004-03-01,0,9,0,8,8,False
2004-04-01,0,7,0,9,9,False
2004-05-01,0,6,0,6,8,False
2004-06-01,0,6,0,13,8,False
2004-07-01,0,0,0,6,8,False
2004-08-01,0,0,6,6,9,False
2004-09-01,0,0,0,10,13,False
2004-10-01,0,8,0,8,12,False
2004-11-01,0,5,0,12,16,False
2004-12-01,0,5,0,6,10,False
2005-01-01,0,4,0,10,14,False
2005-02-01,0,4,0,7,11,False
2005-03-01,0,4,0,14,9,False
2005-04-01,0,4,4,20,11,False
2005-05-01,0,7,0,7,12,False
2005-06-01,0,0,4,5,14,False
2005-07-01,0,6,0,6,11,False
2005-08-01,0,5,0,12,10,False
2005-09-01,0,5,0,15,13,False
2005-10-01,0,0,0,9,12,False
2005-11-01,0,5,0,11,12,False
2005-12-01,0,0,0,4,10,False
2006-01-01,0,5,0,10,8,False
2006-02-01,0,5,0,5,10,False
2006-03-01,0,0,0,8,17,False
2006-04-01,0,3,0,14,11,False
2006-05-01,0,2,0,8,11,False
2006-06-01,0,0,0,11,12,False
2006-07-01,0,2,0,5,15,False
2006-08-01,0,2,2,9,9,False
2006-09-01,0,3,4,5,8,False
2006-10-01,0,3,2,7,12,False
2006-11-01,0,3,0,6,11,False
2006-12-01,0,3,0,9,10,False
2007-01-01,0,4,2,7,13,False
2007-02-01,0,2,2,5,11,False
2007-03-01,0,5,3,7,18,False
2007-04-01,0,3,4,8,12,False
2007-05-01,0,2,4,7,11,False
2007-06-01,0,1,1,6,12,False
2007-07-01,0,0,7,10,10,False
2007-08-01,0,3,5,6,8,False
2007-09-01,0,3,5,7,15,False
2007-10-01,0,2,4,6,11,False
2007-11-01,0,2,4,5,9,False
2007-12-01,0,0,5,7,13,False
2008-01-01,0,1,2,4,8,False
2008-02-01,0,2,3,3,13,False
2008-03-01,0,1,6,6,12,False
2008-04-01,0,1,5,6,12,False
2008-05-01,0,4,7,6,12,False
2008-06-01,0,2,8,5,11,False
2008-07-01,0,3,6,4,7,False
2008-08-01,0,2,6,5,15,False
2008-09-01,0,2,9,6,16,False
2008-10-01,0,1,7,5,14,False
2008-11-01,0,2,9,5,14,False
2008-12-01,0,2,11,11,11,False
2009-01-01,0,2,8,6,14,False
2009-02-01,0,3,10,6,16,False
2009-03-01,0,2,11,7,11,False
2009-04-01,0,2,13,10,14,False
2009-05-01,0,2,10,7,18,False
2009-06-01,0,1,11,7,12,False
2009-07-01,0,1,11,7,12,False
2009-08-01,0,3,11,7,15,False
2009-09-01,0,2,15,7,18,False
2009-10-01,0,1,22,9,13,False
2009-11-01,0,2,22,6,17,False
2009-12-01,0,2,21,6,12,False
2010-01-01,0,1,19,6,16,False
2010-02-01,0,1,22,8,8,False
2010-03-01,0,4,29,13,12,False
2010-04-01,0,1,18,9,13,False
2010-05-01,0,1,16,5,11,False
2010-06-01,0,1,16,8,13,False
2010-07-01,0,1,14,5,9,False
2010-08-01,0,1,13,7,12,False
2010-09-01,0,1,15,6,15,False
2010-10-01,0,3,11,4,16,False
2010-11-01,0,0,13,6,19,False
2010-12-01,0,1,12,5,16,False
2011-01-01,0,2,12,5,13,False
2011-02-01,0,1,15,4,17,False
2011-03-01,0,1,23,11,21,False
2011-04-01,0,1,17,4,16,False
2011-05-01,0,2,12,5,14,False
2011-06-01,0,1,10,5,15,False
2011-07-01,0,1,13,6,13,False
2011-08-01,0,1,13,6,19,False
2011-09-01,0,1,11,6,16,False
2011-10-01,0,1,11,6,15,False
2011-11-01,0,1,13,4,13,False
2011-12-01,0,1,11,4,12,False
2012-01-01,0,2,12,6,12,False
2012-02-01,0,1,11,4,14,False
2012-03-01,0,1,12,4,25,False
2012-04-01,0,1,11,6,16,False
2012-05-01,0,0,11,5,19,False
2012-06-01,0,0,11,5,15,False
2012-07-01,0,1,9,7,10,False
2012-08-01,0,1,8,5,11,False
2012-09-01,0,1,8,5,12,False
2012-10-01,0,1,10,6,12,False
2012-11-01,0,2,10,4,12,False
2012-12-01,0,1,6,5,11,False
2013-01-01,0,1,9,4,11,False
2013-02-01,0,1,13,6,11,False
2013-03-01,0,1,9,5,11,False
2013-04-01,0,1,11,5,12,False
2013-05-01,0,0,8,3,10,False
2013-06-01,0,1,11,4,11,False
2013-07-01,0,1,8,4,11,False
2013-08-01,0,0,10,4,11,False
2013-09-01,0,1,9,3,14,False
2013-10-01,0,1,11,3,12,False
2013-11-01,0,1,14,4,11,False
2013-12-01,0,1,17,4,11,False
2014-01-01,0,1,13,5,10,False
2014-02-01,0,0,12,6,11,False
2014-03-01,0,1,13,4,13,False
2014-04-01,0,1,10,6,10,False
2014-05-01,0,1,9,4,11,False
2014-06-01,0,1,10,4,9,False
2014-07-01,0,1,12,4,12,False
2014-08-01,0,1,8,3,15,False
2014-09-01,0,1,11,4,16,False
2014-10-01,0,0,10,5,13,False
2014-11-01,0,1,10,5,12,False
2014-12-01,0,1,10,4,10,False
2015-01-01,0,1,10,5,10,False
2015-02-01,0,0,14,4,12,False
2015-03-01,0,1,15,6,17,False
2015-04-01,0,1,15,5,17,False
2015-05-01,0,1,12,4,46,False
2015-06-01,0,1,13,5,20,False
2015-07-01,0,0,18,3,23,False
2015-08-01,0,1,23,3,16,False
2015-09-01,0,1,17,4,14,False
2015-10-01,0,1,24,3,11,False
2015-11-01,0,1,18,3,10,False
2015-12-01,0,0,19,4,9,False
2016-01-01,0,1,21,5,11,False
2016-02-01,0,1,26,4,11,False
2016-03-01,0,0,42,4,12,False
2016-04-01,0,1,37,5,8,False
2016-05-01,0,1,72,5,15,False
2016-06-01,0,0,48,3,12,False
2016-07-01,0,1,36,3,13,False
2016-08-01,0,1,45,4,8,False
2016-09-01,0,1,48,4,12,False
2016-10-01,0,1,41,4,11,False
2016-11-01,0,0,41,4,15,False
2016-12-01,0,1,54,7,9,False
2017-01-01,0,1,62,9,8,False
2017-02-01,0,0,100,7,10,False
2017-03-01,0,1,93,6,8,False
2017-04-01,0,1,70,7,9,False
2017-05-01,0,0,66,5,11,False
2017-06-01,0,1,68,4,9,False
2017-07-01,0,0,61,5,9,False
2017-08-01,0,1,55,5,8,False
2017-09-01,0,2,66,4,8,False
2017-10-01,0,2,83,5,7,False
2017-11-01,0,1,79,5,7,False
2017-12-01,0,1,64,4,6,False
2018-01-01,0,1,74,6,9,False
2018-02-01,0,1,75,6,8,False
2018-03-01,0,1,66,6,6,False
2018-04-01,0,1,66,5,7,False
2018-05-01,0,1,58,5,8,False
2018-06-01,0,1,46,5,8,False
2018-07-01,0,2,56,4,7,False
2018-08-01,0,2,66,4,8,False
2018-09-01,0,1,54,3,8,False
2018-10-01,0,1,53,4,9,False
2018-11-01,0,1,49,3,8,False
2018-12-01,0,0,50,4,7,False
2019-01-01,0,1,60,7,7,False
2019-02-01,0,0,50,5,9,False
2019-03-01,0,1,60,4,7,False
2019-04-01,0,1,60,4,9,False
2019-05-01,0,1,59,3,7,False
2019-06-01,0,0,60,4,8,False
2019-07-01,0,1,63,5,11,False
2019-08-01,0,0,58,4,9,False
2019-09-01,0,1,52,3,8,False
2019-10-01,0,1,47,3,8,False
2019-11-01,0,1,54,4,7,False
2019-12-01,0,1,60,3,9,False
2020-01-01,0,1,54,4,13,False
2020-02-01,0,1,51,4,25,False
2020-03-01,0,1,37,5,10,False
2020-04-01,0,1,36,3,8,False
2020-05-01,0,1,38,4,6,False
2020-06-01,0,0,33,3,7,False
2020-07-01,0,1,33,3,15,False
2020-08-01,0,0,27,3,12,False
2020-09-01,0,0,31,3,9,False
2020-10-01,0,1,28,6,10,False
