date,Nicholas Christakis,Enric Sala,Dan Meyer,Viktor Frankl,Iraola,isPartial
2004-01-01,0,7,7,35,10,False
2004-02-01,0,6,13,50,26,False
2004-03-01,0,0,8,48,8,False
2004-04-01,6,6,13,44,8,False
2004-05-01,0,5,7,49,7,False
2004-06-01,0,5,9,39,8,False
2004-07-01,0,6,9,23,8,False
2004-08-01,5,0,16,30,9,False
2004-09-01,0,5,13,42,12,False
2004-10-01,0,5,11,36,11,False
2004-11-01,5,0,15,39,15,False
2004-12-01,0,9,23,38,9,False
2005-01-01,0,0,16,41,13,False
2005-02-01,4,4,15,42,11,False
2005-03-01,0,7,5,61,8,False
2005-04-01,0,4,7,63,11,False
2005-05-01,0,3,5,37,12,False
2005-06-01,0,3,14,50,13,False
2005-07-01,0,0,11,20,11,False
2005-08-01,0,3,9,34,9,False
2005-09-01,0,0,8,39,12,False
2005-10-01,0,0,7,38,12,False
2005-11-01,0,3,7,39,12,False
2005-12-01,0,3,7,37,10,False
2006-01-01,0,0,8,31,7,False
2006-02-01,0,3,3,28,10,False
2006-03-01,0,2,4,36,16,False
2006-04-01,0,2,6,35,10,False
2006-05-01,2,2,7,39,10,False
2006-06-01,0,2,4,29,12,False
2006-07-01,2,2,3,27,14,False
2006-08-01,0,2,6,22,8,False
2006-09-01,0,2,5,30,7,False
2006-10-01,0,4,6,30,12,False
2006-11-01,2,2,6,46,11,False
2006-12-01,2,0,6,34,9,False
2007-01-01,2,0,4,35,12,False
2007-02-01,0,0,5,24,10,False
2007-03-01,1,2,6,26,17,False
2007-04-01,2,0,8,34,11,False
2007-05-01,0,1,8,24,11,False
2007-06-01,0,0,3,33,12,False
2007-07-01,4,0,5,23,10,False
2007-08-01,3,0,5,24,7,False
2007-09-01,1,1,4,35,14,False
2007-10-01,0,2,9,27,10,False
2007-11-01,1,1,6,31,9,False
2007-12-01,2,1,5,25,12,False
2008-01-01,3,2,4,21,8,False
2008-02-01,2,2,6,25,13,False
2008-03-01,2,3,4,23,11,False
2008-04-01,1,1,4,32,12,False
2008-05-01,1,1,6,30,12,False
2008-06-01,1,1,5,25,10,False
2008-07-01,1,1,6,19,6,False
2008-08-01,2,2,6,28,14,False
2008-09-01,1,1,5,30,15,False
2008-10-01,1,1,5,30,13,False
2008-11-01,2,2,3,31,13,False
2008-12-01,3,2,3,22,11,False
2009-01-01,3,2,6,25,13,False
2009-02-01,2,1,8,26,15,False
2009-03-01,3,1,6,30,10,False
2009-04-01,1,1,7,36,14,False
2009-05-01,3,1,11,36,17,False
2009-06-01,1,1,6,22,12,False
2009-07-01,1,1,8,24,11,False
2009-08-01,1,1,7,27,14,False
2009-09-01,2,1,7,33,17,False
2009-10-01,2,1,10,35,12,False
2009-11-01,2,1,9,39,16,False
2009-12-01,2,1,11,29,12,False
2010-01-01,1,1,8,27,15,False
2010-02-01,2,0,6,29,8,False
2010-03-01,4,1,7,35,11,False
2010-04-01,3,1,10,37,12,False
2010-05-01,4,1,15,42,10,False
2010-06-01,2,2,11,44,13,False
2010-07-01,1,0,9,27,9,False
2010-08-01,1,1,11,35,12,False
2010-09-01,3,1,8,42,14,False
2010-10-01,2,1,9,49,15,False
2010-11-01,2,1,10,47,18,False
2010-12-01,2,0,10,37,15,False
2011-01-01,2,1,8,39,12,False
2011-02-01,2,1,8,47,16,False
2011-03-01,2,1,8,44,20,False
2011-04-01,1,0,7,46,15,False
2011-05-01,2,1,6,48,14,False
2011-06-01,2,0,6,45,14,False
2011-07-01,1,1,6,38,12,False
2011-08-01,1,1,7,45,18,False
2011-09-01,1,1,8,47,15,False
2011-10-01,1,1,8,54,14,False
2011-11-01,1,1,10,56,12,False
2011-12-01,1,1,6,45,12,False
2012-01-01,1,1,8,46,11,False
2012-02-01,3,0,10,44,13,False
2012-03-01,1,1,9,46,23,False
2012-04-01,1,1,8,49,15,False
2012-05-01,2,0,10,49,18,False
2012-06-01,1,0,9,43,14,False
2012-07-01,1,1,6,37,10,False
2012-08-01,1,0,9,44,10,False
2012-09-01,1,1,11,51,11,False
2012-10-01,2,1,10,47,11,False
2012-11-01,2,1,6,49,11,False
2012-12-01,1,1,6,37,10,False
2013-01-01,2,1,9,43,10,False
2013-02-01,1,1,9,47,11,False
2013-03-01,1,1,9,42,10,False
2013-04-01,1,1,9,52,11,False
2013-05-01,1,1,10,42,9,False
2013-06-01,1,0,10,46,10,False
2013-07-01,1,0,8,39,10,False
2013-08-01,1,0,18,40,10,False
2013-09-01,1,1,11,47,13,False
2013-10-01,1,1,13,53,11,False
2013-11-01,1,1,10,51,10,False
2013-12-01,1,1,7,41,11,False
2014-01-01,1,0,10,43,10,False
2014-02-01,1,1,11,50,11,False
2014-03-01,1,0,11,52,12,False
2014-04-01,1,0,10,49,9,False
2014-05-01,1,1,8,58,11,False
2014-06-01,1,1,7,45,9,False
2014-07-01,1,1,7,42,11,False
2014-08-01,1,1,11,43,15,False
2014-09-01,1,1,14,44,15,False
2014-10-01,1,1,15,46,12,False
2014-11-01,1,1,11,44,11,False
2014-12-01,1,1,8,38,9,False
2015-01-01,1,0,10,42,9,False
2015-02-01,1,0,11,44,11,False
2015-03-01,1,1,9,45,16,False
2015-04-01,1,1,8,46,16,False
2015-05-01,1,1,9,45,43,False
2015-06-01,0,0,8,44,19,False
2015-07-01,2,1,7,37,22,False
2015-08-01,0,0,10,42,15,False
2015-09-01,1,0,12,44,13,False
2015-10-01,1,1,10,49,11,False
2015-11-01,14,1,10,50,10,False
2015-12-01,4,0,6,39,9,False
2016-01-01,1,0,9,38,10,False
2016-02-01,1,1,10,41,10,False
2016-03-01,1,0,8,41,11,False
2016-04-01,1,0,9,44,8,False
2016-05-01,2,0,8,46,14,False
2016-06-01,1,0,7,40,11,False
2016-07-01,1,0,5,32,12,False
2016-08-01,1,1,6,33,8,False
2016-09-01,3,1,10,40,11,False
2016-10-01,2,1,7,40,10,False
2016-11-01,2,0,9,44,14,False
2016-12-01,1,0,7,37,8,False
2017-01-01,1,1,6,40,8,False
2017-02-01,1,1,6,43,9,False
2017-03-01,2,0,8,43,8,False
2017-04-01,1,0,8,42,8,False
2017-05-01,2,0,8,46,10,False
2017-06-01,1,0,5,40,8,False
2017-07-01,1,1,4,33,9,False
2017-08-01,1,0,7,39,8,False
2017-09-01,2,1,8,49,8,False
2017-10-01,9,1,24,45,7,False
2017-11-01,3,0,8,45,6,False
2017-12-01,1,0,6,38,6,False
2018-01-01,2,0,7,39,8,False
2018-02-01,2,1,7,46,7,False
2018-03-01,2,0,5,46,6,False
2018-04-01,1,0,5,46,7,False
2018-05-01,1,0,5,51,7,False
2018-06-01,1,1,5,45,7,False
2018-07-01,1,1,4,41,7,False
2018-08-01,2,0,9,47,8,False
2018-09-01,1,1,8,49,8,False
2018-10-01,1,0,7,48,9,False
2018-11-01,1,0,6,48,7,False
2018-12-01,1,0,5,42,7,False
2019-01-01,1,1,5,48,7,False
2019-02-01,1,1,5,49,8,False
2019-03-01,21,0,6,48,7,False
2019-04-01,13,0,5,46,8,False
2019-05-01,6,0,5,50,7,False
2019-06-01,3,1,4,47,7,False
2019-07-01,4,0,4,41,10,False
2019-08-01,3,0,6,45,9,False
2019-09-01,2,0,7,52,8,False
2019-10-01,1,0,7,48,7,False
2019-11-01,2,0,7,49,7,False
2019-12-01,1,1,5,41,8,False
2020-01-01,2,0,5,51,12,False
2020-02-01,2,0,5,51,23,False
2020-03-01,9,1,4,60,9,False
2020-04-01,3,1,4,100,7,False
2020-05-01,2,1,5,70,6,False
2020-06-01,2,1,4,59,7,False
2020-07-01,2,1,3,57,15,False
2020-08-01,3,1,7,53,12,False
2020-09-01,2,1,6,58,8,False
2020-10-01,4,1,5,52,9,False
