date,William Li,Graham Hill,Dee Boersma,Richard Sears,Iraola,isPartial
2004-01-01,35,35,0,30,23,False
2004-02-01,15,75,0,53,60,False
2004-03-01,18,50,0,37,18,False
2004-04-01,14,82,15,22,19,False
2004-05-01,25,92,12,42,17,False
2004-06-01,17,41,0,21,19,False
2004-07-01,52,43,0,20,17,False
2004-08-01,18,52,0,24,20,False
2004-09-01,15,52,0,18,28,False
2004-10-01,19,42,11,26,26,False
2004-11-01,28,68,0,34,34,False
2004-12-01,16,39,0,35,21,False
2005-01-01,14,52,0,34,31,False
2005-02-01,20,46,0,23,24,False
2005-03-01,16,54,0,25,19,False
2005-04-01,14,70,0,43,24,False
2005-05-01,12,67,0,29,27,False
2005-06-01,8,56,0,35,29,False
2005-07-01,14,38,0,19,25,False
2005-08-01,11,47,0,36,21,False
2005-09-01,19,72,0,46,29,False
2005-10-01,20,65,0,27,27,False
2005-11-01,10,43,7,34,27,False
2005-12-01,18,37,0,15,22,False
2006-01-01,20,38,12,25,17,False
2006-02-01,6,58,6,16,22,False
2006-03-01,21,56,0,10,38,False
2006-04-01,11,35,0,20,24,False
2006-05-01,20,57,5,30,24,False
2006-06-01,16,50,0,18,27,False
2006-07-01,11,58,0,14,32,False
2006-08-01,10,46,0,18,20,False
2006-09-01,13,44,0,22,17,False
2006-10-01,17,47,0,29,27,False
2006-11-01,7,54,8,19,25,False
2006-12-01,9,46,4,19,22,False
2007-01-01,11,41,4,12,27,False
2007-02-01,13,42,0,18,24,False
2007-03-01,12,55,0,19,39,False
2007-04-01,10,32,0,24,25,False
2007-05-01,6,43,0,21,25,False
2007-06-01,10,44,0,12,27,False
2007-07-01,12,47,0,17,22,False
2007-08-01,12,41,3,14,17,False
2007-09-01,10,36,0,17,32,False
2007-10-01,9,42,0,21,24,False
2007-11-01,8,50,3,20,21,False
2007-12-01,5,39,3,21,28,False
2008-01-01,10,46,0,18,18,False
2008-02-01,12,46,0,22,29,False
2008-03-01,9,45,0,14,25,False
2008-04-01,6,46,2,23,27,False
2008-05-01,12,63,0,16,27,False
2008-06-01,8,55,2,20,24,False
2008-07-01,8,45,0,21,15,False
2008-08-01,12,49,0,16,32,False
2008-09-01,3,43,0,18,35,False
2008-10-01,9,41,0,13,30,False
2008-11-01,10,48,2,16,31,False
2008-12-01,9,40,0,17,25,False
2009-01-01,10,52,0,14,30,False
2009-02-01,7,47,2,18,35,False
2009-03-01,13,52,0,16,24,False
2009-04-01,16,56,2,16,32,False
2009-05-01,11,46,0,12,39,False
2009-06-01,14,60,2,18,27,False
2009-07-01,6,46,2,14,26,False
2009-08-01,8,46,2,16,32,False
2009-09-01,9,38,0,15,38,False
2009-10-01,10,46,1,9,28,False
2009-11-01,11,48,1,16,36,False
2009-12-01,8,50,0,13,27,False
2010-01-01,12,39,1,12,35,False
