date,John Kasaona,Stewart Brand + Mark Z. Jacobson,David Byrne,Margaret Gould Stewart,Iraola,isPartial
2004-01-01,0,5,58,0,4,False
2004-02-01,0,2,60,0,9,False
2004-03-01,0,5,100,0,3,False
2004-04-01,0,7,92,0,3,False
2004-05-01,0,3,86,0,3,False
2004-06-01,0,5,77,0,3,False
2004-07-01,0,5,77,0,3,False
2004-08-01,0,4,71,0,3,False
2004-09-01,0,4,79,0,4,False
2004-10-01,0,9,76,0,4,False
2004-11-01,0,4,48,0,5,False
2004-12-01,0,3,51,0,3,False
2005-01-01,0,5,56,0,5,False
2005-02-01,0,4,72,0,4,False
2005-03-01,0,8,51,0,3,False
2005-04-01,0,5,52,0,4,False
2005-05-01,0,6,52,0,4,False
2005-06-01,0,6,55,0,5,False
2005-07-01,0,3,49,0,4,False
2005-08-01,0,4,45,0,3,False
2005-09-01,0,4,33,0,4,False
2005-10-01,0,3,42,0,4,False
2005-11-01,0,2,38,0,4,False
2005-12-01,0,2,38,0,3,False
2006-01-01,0,2,35,0,3,False
2006-02-01,0,2,36,0,3,False
2006-03-01,0,2,30,0,6,False
2006-04-01,0,4,32,0,4,False
2006-05-01,0,3,30,0,4,False
2006-06-01,0,1,35,0,4,False
2006-07-01,0,6,34,0,5,False
2006-08-01,0,2,33,0,3,False
2006-09-01,0,5,32,0,3,False
2006-10-01,0,4,29,0,4,False
2006-11-01,0,2,31,0,4,False
2006-12-01,0,3,28,0,3,False
2007-01-01,0,2,35,0,4,False
2007-02-01,0,4,32,0,4,False
2007-03-01,0,3,29,1,6,False
2007-04-01,0,5,28,0,4,False
2007-05-01,0,1,26,0,4,False
2007-06-01,0,2,26,0,4,False
2007-07-01,0,2,27,0,3,False
2007-08-01,0,3,23,0,3,False
2007-09-01,0,2,23,0,5,False
2007-10-01,0,3,24,0,4,False
2007-11-01,0,1,26,0,3,False
2007-12-01,0,2,28,0,4,False
2008-01-01,0,2,28,0,3,False
2008-02-01,0,4,24,0,4,False
2008-03-01,0,1,27,0,4,False
2008-04-01,0,2,26,0,4,False
2008-05-01,0,2,30,0,4,False
2008-06-01,0,1,41,0,4,False
2008-07-01,0,2,37,0,2,False
2008-08-01,0,3,77,0,5,False
2008-09-01,0,3,78,0,6,False
2008-10-01,0,2,76,0,5,False
2008-11-01,0,2,60,0,5,False
2008-12-01,0,2,59,0,4,False
2009-01-01,0,2,49,0,5,False
2009-02-01,0,2,54,0,5,False
2009-03-01,0,2,68,0,4,False
2009-04-01,0,3,57,0,5,False
2009-05-01,0,2,43,0,6,False
2009-06-01,0,3,72,0,4,False
2009-07-01,0,2,49,0,4,False
2009-08-01,0,4,40,0,5,False
2009-09-01,0,3,32,0,6,False
2009-10-01,0,4,33,0,4,False
2009-11-01,0,5,25,0,6,False
2009-12-01,0,4,27,0,4,False
2010-01-01,0,5,28,0,5,False
2010-02-01,0,3,31,0,3,False
2010-03-01,0,4,31,0,4,False
2010-04-01,0,3,40,0,4,False
2010-05-01,0,3,32,0,4,False
2010-06-01,0,4,24,1,5,False
2010-07-01,0,3,25,0,3,False
2010-08-01,0,2,24,0,4,False
2010-09-01,0,3,24,0,5,False
2010-10-01,0,4,29,0,5,False
2010-11-01,0,5,27,0,7,False
2010-12-01,0,3,23,0,5,False
2011-01-01,0,3,27,0,4,False
2011-02-01,0,2,24,0,6,False
2011-03-01,0,3,21,0,7,False
2011-04-01,0,4,26,0,5,False
2011-05-01,0,2,24,0,5,False
2011-06-01,0,2,23,0,5,False
2011-07-01,0,2,28,0,4,False
2011-08-01,0,2,25,0,7,False
2011-09-01,0,3,23,0,5,False
2011-10-01,0,6,28,0,5,False
2011-11-01,0,4,24,0,4,False
2011-12-01,0,3,23,0,4,False
2012-01-01,0,3,21,0,4,False
2012-02-01,0,3,19,0,5,False
2012-03-01,0,3,22,0,8,False
2012-04-01,0,2,22,0,5,False
2012-05-01,0,3,24,0,6,False
2012-06-01,0,3,34,0,5,False
2012-07-01,0,3,29,0,4,False
2012-08-01,0,4,32,0,4,False
2012-09-01,0,3,77,0,4,False
2012-10-01,0,3,44,0,4,False
2012-11-01,0,3,41,0,4,False
2012-12-01,0,3,28,0,4,False
