date,Ellen  Gustafson,Carl Safina,Matt Ridley,Ethan Zuckerman,Iraola,isPartial
2004-01-01,0,0,30,15,23,False
2004-02-01,15,0,45,0,60,False
2004-03-01,0,0,19,0,18,False
2004-04-01,0,14,29,14,19,False
2004-05-01,0,0,33,25,17,False
2004-06-01,0,12,25,0,19,False
2004-07-01,0,0,17,0,17,False
2004-08-01,0,0,24,12,20,False
2004-09-01,0,0,15,11,28,False
2004-10-01,0,11,34,17,26,False
2004-11-01,11,0,42,17,34,False
2004-12-01,0,11,16,0,21,False
2005-01-01,0,9,9,0,31,False
2005-02-01,0,10,20,10,24,False
2005-03-01,0,0,35,0,19,False
2005-04-01,0,18,32,9,24,False
2005-05-01,0,0,19,24,27,False
2005-06-01,0,8,16,8,29,False
2005-07-01,0,16,16,0,25,False
2005-08-01,0,8,11,8,21,False
2005-09-01,0,7,26,0,29,False
2005-10-01,0,7,36,0,27,False
2005-11-01,0,10,10,0,27,False
2005-12-01,7,0,22,7,22,False
2006-01-01,6,6,25,6,17,False
2006-02-01,0,6,14,0,22,False
2006-03-01,0,8,9,0,38,False
2006-04-01,0,6,24,6,24,False
2006-05-01,0,0,12,5,24,False
2006-06-01,0,8,20,0,27,False
2006-07-01,0,5,18,0,32,False
2006-08-01,0,5,18,0,20,False
2006-09-01,0,9,20,5,17,False
2006-10-01,4,9,20,4,27,False
2006-11-01,0,4,14,4,25,False
2006-12-01,4,0,14,4,22,False
2007-01-01,8,4,11,6,27,False
2007-02-01,0,4,9,4,24,False
2007-03-01,0,3,8,10,39,False
2007-04-01,0,7,14,7,25,False
2007-05-01,0,3,14,0,25,False
2007-06-01,6,0,9,5,27,False
2007-07-01,0,3,13,5,22,False
2007-08-01,3,0,17,5,17,False
2007-09-01,0,3,28,6,32,False
2007-10-01,3,0,30,11,24,False
2007-11-01,0,3,13,5,21,False
2007-12-01,0,3,10,4,28,False
2008-01-01,0,4,15,4,18,False
2008-02-01,2,3,7,4,29,False
2008-03-01,2,5,12,3,25,False
2008-04-01,0,7,11,2,27,False
2008-05-01,2,2,7,3,27,False
2008-06-01,0,2,9,3,24,False
2008-07-01,2,0,8,4,15,False
2008-08-01,0,4,13,4,32,False
2008-09-01,2,2,10,2,35,False
2008-10-01,2,4,11,2,30,False
2008-11-01,2,4,11,2,31,False
2008-12-01,2,2,7,5,25,False
2009-01-01,2,5,12,2,30,False
2009-02-01,0,4,14,3,35,False
2009-03-01,3,2,8,2,24,False
2009-04-01,2,2,10,9,32,False
2009-05-01,0,0,12,4,39,False
2009-06-01,0,0,11,4,27,False
2009-07-01,0,0,14,2,26,False
2009-08-01,2,2,11,3,32,False
2009-09-01,2,2,13,3,38,False
2009-10-01,0,1,12,3,28,False
