date,Diane J. Savino,Peter Molyneux,Jamil Abu-Wardeh,Maz Jobrani,Iraola,isPartial
2004-01-01,0,22,0,0,19,False
2004-02-01,0,13,0,0,52,False
2004-03-01,0,40,0,0,16,False
2004-04-01,0,29,0,25,17,False
2004-05-01,0,25,0,0,14,False
2004-06-01,0,14,0,0,16,False
2004-07-01,0,26,0,0,15,False
2004-08-01,0,17,0,0,17,False
2004-09-01,0,79,0,19,24,False
2004-10-01,0,65,0,0,23,False
2004-11-01,0,26,0,10,29,False
2004-12-01,0,30,0,9,18,False
2005-01-01,0,45,0,0,26,False
2005-02-01,0,25,0,0,21,False
2005-03-01,0,23,0,12,16,False
2005-04-01,0,8,0,0,21,False
2005-05-01,0,28,0,7,23,False
2005-06-01,0,14,0,7,25,False
2005-07-01,0,16,0,0,21,False
2005-08-01,0,23,0,0,18,False
2005-09-01,0,43,0,6,25,False
2005-10-01,0,35,0,0,23,False
2005-11-01,0,31,0,6,23,False
2005-12-01,0,34,0,6,19,False
2006-01-01,0,18,0,7,15,False
2006-02-01,0,12,0,8,19,False
2006-03-01,0,18,0,4,32,False
2006-04-01,0,27,0,5,21,False
2006-05-01,0,13,0,7,20,False
2006-06-01,0,11,0,8,23,False
2006-07-01,0,18,0,5,27,False
2006-08-01,0,20,0,13,17,False
2006-09-01,0,10,0,4,15,False
2006-10-01,0,7,0,17,23,False
2006-11-01,0,5,0,14,21,False
2006-12-01,0,12,0,4,19,False
2007-01-01,0,14,0,11,24,False
2007-02-01,0,15,0,9,20,False
2007-03-01,0,27,0,20,33,False
2007-04-01,0,10,0,21,22,False
2007-05-01,0,11,0,26,21,False
2007-06-01,0,6,0,18,23,False
2007-07-01,0,13,0,21,19,False
2007-08-01,0,14,0,21,15,False
2007-09-01,0,12,0,22,28,False
2007-10-01,0,10,0,21,20,False
2007-11-01,0,6,0,24,18,False
2007-12-01,0,12,0,28,24,False
2008-01-01,0,10,0,28,16,False
2008-02-01,0,18,0,24,25,False
2008-03-01,0,13,0,28,22,False
2008-04-01,0,5,0,18,23,False
2008-05-01,0,15,0,12,23,False
2008-06-01,0,13,0,9,20,False
2008-07-01,0,14,0,12,13,False
2008-08-01,0,11,0,16,28,False
2008-09-01,0,30,0,11,31,False
2008-10-01,0,35,0,12,26,False
2008-11-01,0,19,0,23,27,False
2008-12-01,0,38,0,17,21,False
2009-01-01,0,9,0,25,26,False
2009-02-01,2,10,0,29,30,False
2009-03-01,0,8,0,32,21,False
2009-04-01,0,13,0,13,27,False
2009-05-01,0,12,0,10,34,False
2009-06-01,0,50,0,11,23,False
2009-07-01,0,12,0,18,23,False
2009-08-01,0,20,0,13,28,False
2009-09-01,0,12,0,17,33,False
2009-10-01,0,14,1,21,24,False
2009-11-01,0,12,0,15,31,False
2009-12-01,0,12,0,14,23,False
2010-01-01,1,13,0,22,30,False
2010-02-01,0,21,0,20,15,False
2010-03-01,0,20,0,24,22,False
2010-04-01,1,15,0,25,24,False
2010-05-01,0,14,0,18,20,False
2010-06-01,0,23,0,15,25,False
2010-07-01,0,25,0,18,18,False
2010-08-01,2,24,1,39,23,False
2010-09-01,1,22,2,21,28,False
2010-10-01,0,31,0,26,30,False
2010-11-01,0,21,0,31,36,False
2010-12-01,0,10,0,22,30,False
2011-01-01,0,13,0,25,24,False
2011-02-01,0,10,0,18,33,False
2011-03-01,0,23,0,23,39,False
