date,Fabian Hemmert,Tim Birkhead,Gary Wolf,Sebastian Seung,Iraola,isPartial
2004-01-01,0,0,30,15,23,False
2004-02-01,0,0,20,15,60,False
2004-03-01,0,0,49,0,18,False
2004-04-01,0,0,36,14,19,False
2004-05-01,0,0,19,0,17,False
2004-06-01,0,25,21,12,19,False
2004-07-01,0,0,13,13,17,False
2004-08-01,0,0,28,12,20,False
2004-09-01,0,0,18,0,28,False
2004-10-01,0,0,45,11,26,False
2004-11-01,0,0,45,11,34,False
2004-12-01,0,0,11,21,21,False
2005-01-01,0,0,18,18,31,False
2005-02-01,0,10,15,10,24,False
2005-03-01,8,0,25,8,19,False
2005-04-01,0,0,9,18,24,False
2005-05-01,0,0,20,11,27,False
2005-06-01,0,0,24,8,29,False
2005-07-01,0,8,16,0,25,False
2005-08-01,0,8,8,16,21,False
2005-09-01,0,0,17,7,29,False
2005-10-01,0,7,16,0,27,False
2005-11-01,0,0,20,0,27,False
2005-12-01,0,0,22,7,22,False
2006-01-01,0,0,15,11,17,False
2006-02-01,6,0,30,0,22,False
2006-03-01,0,0,24,8,38,False
2006-04-01,0,0,11,0,24,False
2006-05-01,0,0,15,5,24,False
2006-06-01,0,0,11,5,27,False
2006-07-01,5,0,11,0,32,False
2006-08-01,5,5,19,0,20,False
2006-09-01,0,0,19,5,17,False
2006-10-01,0,0,16,4,27,False
2006-11-01,4,0,18,4,25,False
2006-12-01,9,0,20,4,22,False
2007-01-01,0,4,10,4,27,False
2007-02-01,0,4,13,4,24,False
2007-03-01,0,3,19,3,39,False
2007-04-01,0,4,8,11,25,False
2007-05-01,0,3,15,6,25,False
2007-06-01,0,3,10,0,27,False
2007-07-01,0,5,10,3,22,False
2007-08-01,0,3,11,3,17,False
2007-09-01,3,0,8,3,32,False
2007-10-01,3,5,15,5,24,False
2007-11-01,0,3,6,5,21,False
2007-12-01,0,4,22,3,28,False
2008-01-01,0,2,14,2,18,False
2008-02-01,2,2,10,4,29,False
2008-03-01,0,2,11,4,25,False
2008-04-01,0,0,8,2,27,False
2008-05-01,0,2,11,3,27,False
2008-06-01,0,7,8,2,24,False
2008-07-01,0,2,7,2,15,False
2008-08-01,0,0,17,0,32,False
2008-09-01,0,2,10,0,35,False
2008-10-01,2,2,9,0,30,False
2008-11-01,2,0,5,2,31,False
2008-12-01,0,3,5,0,25,False
2009-01-01,2,3,10,2,30,False
2009-02-01,0,2,10,2,35,False
2009-03-01,0,0,11,2,24,False
2009-04-01,0,2,9,5,32,False
2009-05-01,2,2,12,3,39,False
2009-06-01,2,2,11,3,27,False
2009-07-01,0,2,8,2,26,False
2009-08-01,0,2,11,2,32,False
2009-09-01,2,2,9,0,38,False
2009-10-01,0,1,12,1,28,False
2009-11-01,1,3,13,2,36,False
2009-12-01,0,3,11,3,27,False
2010-01-01,1,1,10,2,35,False
2010-02-01,3,1,11,3,18,False
2010-03-01,1,3,12,2,26,False
2010-04-01,0,1,10,2,27,False
2010-05-01,0,2,17,3,24,False
2010-06-01,0,0,11,1,29,False
2010-07-01,0,1,13,2,20,False
2010-08-01,0,0,10,2,27,False
2010-09-01,2,1,9,8,32,False
2010-10-01,1,1,9,15,34,False
2010-11-01,1,2,9,5,42,False
2010-12-01,2,1,6,2,34,False
2011-01-01,0,1,11,3,28,False
2011-02-01,1,0,9,3,38,False
2011-03-01,1,1,11,2,46,False
2011-04-01,1,1,12,5,34,False
2011-05-01,1,2,10,1,31,False
2011-06-01,1,0,10,1,33,False
2011-07-01,1,0,9,2,28,False
2011-08-01,1,0,11,2,42,False
2011-09-01,1,1,10,3,34,False
2011-10-01,2,1,8,1,32,False
2011-11-01,0,1,10,2,28,False
2011-12-01,0,1,9,2,27,False
2012-01-01,1,1,10,2,25,False
2012-02-01,1,2,8,6,30,False
2012-03-01,1,2,9,7,54,False
2012-04-01,0,1,6,5,34,False
2012-05-01,1,1,7,5,41,False
2012-06-01,1,2,10,3,32,False
2012-07-01,1,1,9,3,23,False
2012-08-01,0,1,8,2,24,False
2012-09-01,1,2,9,4,26,False
2012-10-01,1,1,11,3,25,False
2012-11-01,0,1,10,3,27,False
2012-12-01,1,1,6,3,23,False
2013-01-01,1,1,8,3,24,False
2013-02-01,1,1,6,2,25,False
2013-03-01,0,2,7,2,23,False
2013-04-01,1,1,6,2,25,False
2013-05-01,1,1,7,2,21,False
2013-06-01,1,1,9,3,23,False
2013-07-01,0,1,10,3,23,False
2013-08-01,1,1,11,4,24,False
2013-09-01,1,2,7,2,30,False
2013-10-01,2,1,8,2,26,False
2013-11-01,1,1,8,1,24,False
2013-12-01,1,1,12,2,25,False
2014-01-01,1,2,13,2,22,False
2014-02-01,1,1,10,2,25,False
2014-03-01,1,1,11,1,28,False
2014-04-01,1,1,8,3,22,False
2014-05-01,1,1,9,4,25,False
2014-06-01,0,1,9,2,21,False
2014-07-01,0,1,9,1,26,False
2014-08-01,0,1,10,2,34,False
2014-09-01,1,1,9,2,35,False
2014-10-01,1,1,9,2,27,False
2014-11-01,0,1,6,1,26,False
2014-12-01,0,1,5,1,22,False
2015-01-01,1,0,8,6,21,False
2015-02-01,1,1,10,2,26,False
2015-03-01,1,0,9,2,37,False
2015-04-01,1,1,8,1,38,False
2015-05-01,0,0,7,2,100,False
2015-06-01,1,1,9,1,44,False
2015-07-01,1,1,9,3,50,False
2015-08-01,0,0,6,1,34,False
2015-09-01,0,0,7,2,30,False
2015-10-01,1,1,8,2,24,False
2015-11-01,0,1,7,2,23,False
2015-12-01,0,0,8,3,20,False
2016-01-01,1,0,9,1,24,False
2016-02-01,0,0,14,1,23,False
2016-03-01,1,2,11,2,26,False
2016-04-01,0,1,10,1,18,False
2016-05-01,0,1,10,2,32,False
2016-06-01,0,1,7,1,26,False
2016-07-01,0,1,9,2,28,False
2016-08-01,1,2,8,2,18,False
2016-09-01,0,1,8,2,25,False
2016-10-01,0,0,9,0,24,False
2016-11-01,0,1,7,2,33,False
2016-12-01,0,0,7,2,19,False
2017-01-01,0,1,6,2,18,False
2017-02-01,0,1,5,2,21,False
2017-03-01,0,1,8,1,18,False
2017-04-01,0,0,6,1,19,False
2017-05-01,0,0,8,1,24,False
2017-06-01,0,1,8,1,19,False
2017-07-01,0,1,7,1,20,False
2017-08-01,0,1,7,1,18,False
2017-09-01,0,1,6,1,18,False
2017-10-01,1,1,6,0,16,False
2017-11-01,0,0,6,1,14,False
2017-12-01,0,1,6,1,14,False
2018-01-01,0,0,6,1,19,False
2018-02-01,0,0,8,1,17,False
2018-03-01,0,1,7,1,14,False
2018-04-01,0,1,7,2,16,False
2018-05-01,0,1,7,2,17,False
2018-06-01,0,1,6,1,17,False
2018-07-01,0,1,6,1,16,False
2018-08-01,0,1,5,1,17,False
2018-09-01,0,1,5,1,18,False
2018-10-01,0,1,4,1,20,False
2018-11-01,0,1,4,1,17,False
2018-12-01,0,1,6,0,16,False
2019-01-01,0,1,7,1,16,False
2019-02-01,0,1,7,1,19,False
2019-03-01,0,1,5,1,15,False
2019-04-01,0,0,5,1,19,False
2019-05-01,0,1,7,1,16,False
2019-06-01,0,0,6,1,17,False
2019-07-01,0,1,4,1,24,False
2019-08-01,0,0,5,1,20,False
2019-09-01,0,1,4,1,17,False
2019-10-01,0,1,6,1,16,False
2019-11-01,0,0,5,0,16,False
2019-12-01,0,0,5,1,19,False
2020-01-01,0,1,5,1,28,False
2020-02-01,0,1,5,1,54,False
2020-03-01,0,1,4,1,21,False
2020-04-01,0,1,5,1,17,False
2020-05-01,0,1,6,1,14,False
2020-06-01,0,1,5,2,16,False
2020-07-01,0,0,6,1,34,False
2020-08-01,0,0,4,1,27,False
2020-09-01,0,0,5,1,19,False
2020-10-01,0,0,4,1,21,False
