date,E.O. Wilson,James Nachtwey,Jane Goodall,Seth Godin,Iraola,isPartial
2004-01-01,4,18,55,7,3,False
2004-02-01,2,21,81,10,8,False
2004-03-01,2,9,84,7,2,False
2004-04-01,4,17,83,6,3,False
2004-05-01,3,11,52,7,2,False
2004-06-01,3,10,25,10,2,False
2004-07-01,3,7,25,10,2,False
2004-08-01,5,7,27,4,3,False
2004-09-01,1,11,58,6,4,False
2004-10-01,3,10,61,8,4,False
2004-11-01,3,8,46,5,5,False
2004-12-01,1,5,34,6,3,False
2005-01-01,1,11,62,4,4,False
2005-02-01,1,18,56,6,3,False
2005-03-01,3,8,57,6,3,False
2005-04-01,3,8,45,6,3,False
2005-05-01,2,9,42,8,4,False
2005-06-01,1,7,33,7,4,False
2005-07-01,1,11,24,8,3,False
2005-08-01,1,5,28,8,3,False
2005-09-01,3,7,54,8,4,False
2005-10-01,2,9,56,9,4,False
2005-11-01,2,9,41,8,4,False
2005-12-01,2,5,33,9,3,False
2006-01-01,3,7,41,9,2,False
2006-02-01,2,6,50,8,3,False
2006-03-01,1,5,49,7,5,False
2006-04-01,2,7,45,12,3,False
2006-05-01,2,6,39,9,3,False
2006-06-01,2,3,20,10,4,False
2006-07-01,1,4,20,8,4,False
2006-08-01,1,5,24,11,3,False
2006-09-01,2,6,46,14,2,False
2006-10-01,2,9,39,9,4,False
2006-11-01,1,8,33,10,3,False
2006-12-01,1,8,33,10,3,False
2007-01-01,1,7,35,14,4,False
2007-02-01,2,9,38,11,3,False
2007-03-01,2,7,42,11,5,False
2007-04-01,3,11,38,12,3,False
2007-05-01,2,6,32,15,3,False
2007-06-01,1,5,19,13,4,False
2007-07-01,2,3,15,11,3,False
2007-08-01,2,6,22,13,2,False
2007-09-01,1,6,38,12,4,False
2007-10-01,2,8,41,12,3,False
2007-11-01,2,5,26,12,3,False
2007-12-01,1,5,22,12,4,False
2008-01-01,1,6,29,14,2,False
2008-02-01,1,4,35,14,4,False
2008-03-01,1,6,37,14,3,False
2008-04-01,2,5,37,16,4,False
2008-05-01,2,4,32,13,4,False
2008-06-01,1,4,15,11,3,False
2008-07-01,1,3,12,12,2,False
2008-08-01,0,3,15,11,4,False
2008-09-01,2,4,30,14,5,False
2008-10-01,1,9,26,17,4,False
2008-11-01,1,6,28,17,4,False
2008-12-01,1,5,23,18,3,False
2009-01-01,1,5,22,16,4,False
2009-02-01,1,4,30,19,5,False
2009-03-01,2,6,36,16,3,False
2009-04-01,1,5,28,20,4,False
