date,Kim Gorgens,Zainab Salbi,Jason Fried,Dan Phillips,Iraola,isPartial
2004-01-01,0,0,0,30,23,False
2004-02-01,0,0,0,38,60,False
2004-03-01,0,0,0,19,18,False
2004-04-01,0,0,0,15,19,False
2004-05-01,0,0,0,12,17,False
2004-06-01,0,12,0,25,19,False
2004-07-01,0,0,13,32,17,False
2004-08-01,0,0,0,16,20,False
2004-09-01,0,11,11,11,28,False
2004-10-01,0,0,11,11,26,False
2004-11-01,0,0,11,34,34,False
2004-12-01,0,0,0,25,21,False
2005-01-01,0,14,9,12,31,False
2005-02-01,0,10,10,26,24,False
2005-03-01,0,8,8,29,19,False
2005-04-01,0,0,9,18,24,False
2005-05-01,0,0,8,32,27,False
2005-06-01,0,8,8,21,29,False
2005-07-01,0,0,8,22,25,False
2005-08-01,0,0,8,13,21,False
2005-09-01,0,10,11,14,29,False
2005-10-01,0,9,10,18,27,False
2005-11-01,0,22,11,11,27,False
2005-12-01,0,7,13,31,22,False
2006-01-01,0,12,12,17,17,False
2006-02-01,0,9,10,20,22,False
2006-03-01,0,10,20,27,38,False
2006-04-01,0,6,8,19,24,False
2006-05-01,0,5,8,25,24,False
2006-06-01,0,5,21,12,27,False
2006-07-01,0,0,8,28,32,False
2006-08-01,0,0,5,17,20,False
2006-09-01,0,5,9,14,17,False
2006-10-01,0,10,6,7,27,False
2006-11-01,0,12,0,8,25,False
2006-12-01,0,4,6,13,22,False
2007-01-01,0,11,4,16,27,False
2007-02-01,0,4,4,14,24,False
2007-03-01,0,7,7,18,39,False
2007-04-01,0,0,4,14,25,False
2007-05-01,0,3,5,11,25,False
2007-06-01,0,6,5,12,27,False
2007-07-01,0,5,5,10,22,False
2007-08-01,0,5,9,12,17,False
2007-09-01,0,6,5,11,32,False
2007-10-01,0,5,4,14,24,False
2007-11-01,0,5,6,16,21,False
2007-12-01,0,8,5,14,28,False
2008-01-01,0,4,6,4,18,False
2008-02-01,3,2,9,11,29,False
2008-03-01,0,7,6,10,25,False
2008-04-01,0,4,5,15,27,False
2008-05-01,0,3,7,17,27,False
2008-06-01,0,0,5,14,24,False
2008-07-01,0,4,9,12,15,False
2008-08-01,0,0,4,14,32,False
2008-09-01,0,2,7,8,35,False
2008-10-01,0,2,9,10,30,False
2008-11-01,0,4,12,8,31,False
2008-12-01,0,3,10,10,25,False
2009-01-01,0,2,5,11,30,False
2009-02-01,0,5,7,14,35,False
2009-03-01,0,3,7,16,24,False
2009-04-01,0,5,8,16,32,False
2009-05-01,0,2,7,11,39,False
2009-06-01,0,3,7,11,27,False
2009-07-01,0,5,7,13,26,False
2009-08-01,0,5,6,11,32,False
2009-09-01,0,3,9,26,38,False
2009-10-01,0,7,9,21,28,False
2009-11-01,1,4,18,23,36,False
2009-12-01,0,5,15,16,27,False
2010-01-01,0,3,8,18,35,False
2010-02-01,0,3,9,13,18,False
2010-03-01,0,4,20,12,26,False
2010-04-01,0,4,25,13,27,False
2010-05-01,1,1,17,17,24,False
2010-06-01,0,1,16,16,29,False
2010-07-01,0,3,15,12,20,False
2010-08-01,1,3,13,10,27,False
2010-09-01,2,3,12,14,32,False
2010-10-01,1,4,11,9,34,False
2010-11-01,3,6,20,17,42,False
2010-12-01,1,5,26,19,34,False
2011-01-01,0,5,18,18,28,False
2011-02-01,0,7,16,13,38,False
2011-03-01,1,7,22,12,46,False
2011-04-01,1,3,13,23,34,False
2011-05-01,0,4,14,11,31,False
2011-06-01,0,5,14,11,33,False
2011-07-01,0,2,12,12,28,False
2011-08-01,1,3,13,10,42,False
2011-09-01,1,6,11,15,34,False
2011-10-01,1,4,14,15,32,False
2011-11-01,1,3,8,15,28,False
2011-12-01,1,6,8,15,27,False
2012-01-01,0,2,11,8,25,False
2012-02-01,1,4,10,11,30,False
2012-03-01,0,4,10,14,54,False
2012-04-01,0,3,12,12,34,False
2012-05-01,1,3,10,20,41,False
2012-06-01,0,3,9,13,32,False
2012-07-01,0,2,8,13,23,False
2012-08-01,1,2,13,13,24,False
2012-09-01,1,2,15,12,26,False
2012-10-01,0,4,11,12,25,False
2012-11-01,0,4,13,8,27,False
2012-12-01,0,2,9,9,23,False
2013-01-01,0,2,11,13,24,False
2013-02-01,1,2,14,13,25,False
