date,Beverly + Dereck Joubert,Sheryl Sandberg,Brené Brown,Arianna Huffington,Iraola,isPartial
2004-01-01,85,0,0,1,0,False
2004-02-01,85,0,0,1,1,False
2004-03-01,80,0,0,0,0,False
2004-04-01,83,0,0,2,0,False
2004-05-01,80,0,0,1,0,False
2004-06-01,86,0,0,1,0,False
2004-07-01,89,0,0,1,0,False
2004-08-01,87,0,0,1,0,False
2004-09-01,76,0,0,1,0,False
2004-10-01,76,0,0,1,0,False
2004-11-01,73,0,0,1,0,False
2004-12-01,76,0,0,0,0,False
2005-01-01,85,0,0,0,0,False
2005-02-01,82,0,0,1,0,False
2005-03-01,89,0,0,0,0,False
2005-04-01,87,0,0,2,0,False
2005-05-01,93,0,0,2,0,False
2005-06-01,94,0,0,1,0,False
2005-07-01,94,0,0,1,0,False
2005-08-01,97,0,0,1,0,False
2005-09-01,83,0,0,1,0,False
2005-10-01,85,0,0,2,0,False
2005-11-01,77,0,0,1,0,False
2005-12-01,81,0,0,1,0,False
2006-01-01,82,0,0,0,0,False
2006-02-01,79,0,0,1,0,False
2006-03-01,80,0,0,2,0,False
2006-04-01,82,0,0,1,0,False
2006-05-01,80,0,0,1,0,False
2006-06-01,81,0,0,0,0,False
2006-07-01,81,0,0,0,0,False
2006-08-01,80,0,0,1,0,False
2006-09-01,74,0,0,1,0,False
2006-10-01,71,0,0,1,0,False
2006-11-01,70,0,0,1,0,False
2006-12-01,73,0,0,1,0,False
2007-01-01,75,0,0,1,0,False
2007-02-01,73,0,0,0,0,False
2007-03-01,71,0,0,1,0,False
2007-04-01,73,0,0,1,0,False
2007-05-01,75,0,0,1,0,False
2007-06-01,75,0,0,1,0,False
2007-07-01,84,0,0,1,0,False
2007-08-01,75,0,0,1,0,False
2007-09-01,69,0,0,0,0,False
2007-10-01,67,0,0,0,0,False
2007-11-01,63,0,0,0,0,False
2007-12-01,64,0,0,0,0,False
2008-01-01,69,0,0,1,0,False
2008-02-01,70,0,0,1,0,False
2008-03-01,69,1,0,1,0,False
