date,Jody Williams,Amber Case,Thomas Thwaites,Elizabeth Lesser,Iraola,isPartial
2004-01-01,30,30,0,0,23,False
2004-02-01,25,15,0,0,60,False
2004-03-01,43,19,19,0,18,False
2004-04-01,29,0,0,0,19,False
2004-05-01,42,17,0,0,17,False
2004-06-01,21,37,0,0,19,False
2004-07-01,35,20,0,13,17,False
2004-08-01,24,24,0,12,20,False
2004-09-01,18,15,0,11,28,False
2004-10-01,19,11,0,0,26,False
2004-11-01,38,11,0,0,34,False
2004-12-01,28,14,0,0,21,False
2005-01-01,14,18,0,0,31,False
2005-02-01,36,10,0,0,24,False
2005-03-01,41,16,0,0,19,False
2005-04-01,46,15,0,9,24,False
2005-05-01,16,8,0,8,27,False
2005-06-01,32,8,0,0,29,False
2005-07-01,22,16,0,0,25,False
2005-08-01,20,8,0,8,21,False
2005-09-01,24,22,7,0,29,False
2005-10-01,20,11,0,7,27,False
2005-11-01,27,7,0,0,27,False
2005-12-01,15,0,0,13,22,False
2006-01-01,23,8,0,0,17,False
2006-02-01,10,18,0,0,22,False
2006-03-01,28,12,0,5,38,False
2006-04-01,15,9,0,0,24,False
2006-05-01,15,8,0,5,24,False
2006-06-01,16,5,0,0,27,False
2006-07-01,8,9,0,16,32,False
2006-08-01,15,5,0,5,20,False
2006-09-01,22,7,5,0,17,False
2006-10-01,19,6,0,0,27,False
2006-11-01,14,6,0,4,25,False
2006-12-01,10,6,0,0,22,False
2007-01-01,21,12,0,4,27,False
2007-02-01,13,10,0,8,24,False
2007-03-01,33,7,0,3,39,False
2007-04-01,13,10,0,4,25,False
2007-05-01,21,8,3,4,25,False
2007-06-01,9,10,0,0,27,False
2007-07-01,15,7,0,0,22,False
2007-08-01,8,4,0,0,17,False
2007-09-01,19,9,3,3,32,False
2007-10-01,25,6,3,0,24,False
2007-11-01,16,5,0,3,21,False
2007-12-01,37,4,3,3,28,False
2008-01-01,23,7,2,3,18,False
2008-02-01,23,7,2,6,29,False
2008-03-01,20,7,2,13,25,False
2008-04-01,18,8,2,21,27,False
2008-05-01,13,7,0,6,27,False
2008-06-01,19,5,2,12,24,False
2008-07-01,13,4,0,10,15,False
2008-08-01,10,10,0,6,32,False
2008-09-01,13,12,0,4,35,False
2008-10-01,19,6,0,9,30,False
2008-11-01,22,5,2,5,31,False
2008-12-01,12,8,0,8,25,False
2009-01-01,12,4,0,39,30,False
2009-02-01,23,6,2,18,35,False
2009-03-01,15,13,0,15,24,False
2009-04-01,17,13,0,13,32,False
2009-05-01,17,8,2,4,39,False
2009-06-01,13,5,3,8,27,False
2009-07-01,9,9,2,11,26,False
2009-08-01,12,11,2,7,32,False
2009-09-01,15,17,2,7,38,False
2009-10-01,14,7,0,7,28,False
2009-11-01,11,9,0,5,36,False
2009-12-01,15,6,0,5,27,False
2010-01-01,12,9,0,6,35,False
2010-02-01,17,11,1,3,18,False
2010-03-01,10,13,1,6,26,False
2010-04-01,12,10,0,6,27,False
2010-05-01,14,6,1,3,24,False
2010-06-01,10,9,1,4,29,False
2010-07-01,16,10,1,5,20,False
2010-08-01,22,8,0,2,27,False
2010-09-01,9,10,2,2,32,False
2010-10-01,9,9,3,3,34,False
2010-11-01,12,9,2,7,42,False
2010-12-01,13,8,1,5,34,False
2011-01-01,17,20,4,7,28,False
2011-02-01,10,11,3,3,38,False
2011-03-01,22,14,2,4,46,False
2011-04-01,11,9,3,5,34,False
2011-05-01,14,9,1,3,31,False
2011-06-01,11,11,2,5,33,False
2011-07-01,9,9,1,2,28,False
2011-08-01,6,8,1,4,42,False
2011-09-01,11,10,1,3,34,False
2011-10-01,11,22,2,3,32,False
2011-11-01,13,16,7,5,28,False
2011-12-01,7,13,2,5,27,False
2012-01-01,11,11,2,3,25,False
2012-02-01,10,14,1,3,30,False
2012-03-01,11,18,2,3,54,False
2012-04-01,10,11,1,2,34,False
2012-05-01,7,13,1,5,41,False
2012-06-01,9,12,1,3,32,False
2012-07-01,8,11,1,3,23,False
2012-08-01,8,11,1,3,24,False
2012-09-01,7,10,2,4,26,False
2012-10-01,12,11,2,2,25,False
2012-11-01,8,11,1,1,27,False
2012-12-01,6,16,1,4,23,False
2013-01-01,7,16,2,2,24,False
2013-02-01,7,16,1,2,25,False
2013-03-01,15,11,1,3,23,False
2013-04-01,14,12,1,4,25,False
2013-05-01,6,12,0,3,21,False
2013-06-01,8,12,1,2,23,False
2013-07-01,5,11,2,1,23,False
2013-08-01,12,16,1,2,24,False
2013-09-01,7,10,2,2,30,False
2013-10-01,10,9,1,2,26,False
2013-11-01,8,12,1,4,24,False
2013-12-01,7,14,2,2,25,False
2014-01-01,10,16,1,2,22,False
2014-02-01,6,13,1,2,25,False
2014-03-01,8,11,1,3,28,False
2014-04-01,9,11,2,9,22,False
2014-05-01,9,10,1,5,25,False
2014-06-01,7,13,2,3,21,False
2014-07-01,12,11,1,4,26,False
2014-08-01,12,10,3,3,34,False
2014-09-01,7,11,2,3,35,False
2014-10-01,9,14,1,2,27,False
2014-11-01,10,7,1,3,26,False
2014-12-01,8,9,3,1,22,False
2015-01-01,9,10,2,4,21,False
2015-02-01,14,12,2,3,26,False
2015-03-01,9,10,1,3,37,False
2015-04-01,10,10,1,2,38,False
2015-05-01,6,10,1,3,100,False
2015-06-01,6,9,2,2,44,False
2015-07-01,6,7,2,2,50,False
2015-08-01,6,7,8,2,34,False
2015-09-01,4,12,7,3,30,False
2015-10-01,7,9,5,3,24,False
2015-11-01,6,11,2,2,23,False
2015-12-01,6,11,1,1,20,False
2016-01-01,8,9,1,3,24,False
2016-02-01,6,11,4,3,23,False
2016-03-01,7,12,2,2,26,False
2016-04-01,8,13,1,2,18,False
2016-05-01,8,11,8,2,32,False
2016-06-01,4,12,4,2,26,False
2016-07-01,7,10,3,2,28,False
2016-08-01,7,10,3,3,18,False
2016-09-01,7,12,10,5,25,False
2016-10-01,8,11,3,8,24,False
2016-11-01,4,12,1,2,33,False
2016-12-01,5,10,1,4,19,False
2017-01-01,7,12,2,3,18,False
2017-02-01,7,14,2,3,21,False
2017-03-01,8,12,1,3,18,False
2017-04-01,5,14,2,3,19,False
2017-05-01,5,14,1,3,24,False
2017-06-01,4,11,3,1,19,False
2017-07-01,5,11,1,1,20,False
2017-08-01,5,11,2,3,18,False
2017-09-01,7,9,1,2,18,False
2017-10-01,4,11,2,1,16,False
2017-11-01,6,13,1,3,14,False
2017-12-01,4,17,2,2,14,False
2018-01-01,4,10,2,3,19,False
2018-02-01,4,8,1,2,17,False
2018-03-01,5,9,1,3,14,False
2018-04-01,5,11,1,2,16,False
2018-05-01,5,7,2,2,17,False
2018-06-01,4,8,1,3,17,False
2018-07-01,4,14,1,7,16,False
2018-08-01,5,8,2,4,17,False
2018-09-01,4,12,1,1,18,False
2018-10-01,4,10,1,2,20,False
2018-11-01,5,11,1,2,17,False
2018-12-01,6,11,1,3,16,False
2019-01-01,4,10,1,5,16,False
2019-02-01,5,13,1,3,19,False
2019-03-01,6,12,1,2,15,False
2019-04-01,11,11,2,2,19,False
2019-05-01,6,13,1,1,16,False
2019-06-01,9,10,2,3,17,False
2019-07-01,4,12,1,1,24,False
2019-08-01,4,11,1,1,20,False
2019-09-01,4,33,2,2,17,False
2019-10-01,5,89,2,2,16,False
2019-11-01,4,12,1,2,16,False
2019-12-01,3,14,0,1,19,False
2020-01-01,5,13,1,2,28,False
2020-02-01,6,22,2,2,54,False
2020-03-01,3,13,1,2,21,False
2020-04-01,3,17,1,2,17,False
2020-05-01,4,15,1,3,14,False
2020-06-01,4,16,2,2,16,False
2020-07-01,3,38,1,1,34,False
2020-08-01,3,34,1,3,27,False
2020-09-01,5,23,1,2,19,False
2020-10-01,2,20,1,4,21,False
