date,Stefan Sagmeister,Alex Steffen,Thom Mayne,Chris Bangle,Iraola,isPartial
2004-01-01,7,6,10,22,10,False
2004-02-01,9,0,6,26,26,False
2004-03-01,24,8,0,13,8,False
2004-04-01,15,6,12,8,8,False
2004-05-01,20,5,9,13,7,False
2004-06-01,11,0,0,11,8,False
2004-07-01,6,6,8,15,7,False
2004-08-01,12,5,8,18,9,False
2004-09-01,10,0,5,11,12,False
2004-10-01,22,0,8,13,11,False
2004-11-01,20,5,5,22,15,False
2004-12-01,18,0,6,9,9,False
2005-01-01,12,0,11,13,13,False
2005-02-01,18,0,7,6,11,False
2005-03-01,20,4,100,13,8,False
2005-04-01,8,0,25,14,10,False
2005-05-01,8,3,18,9,12,False
2005-06-01,5,3,7,14,13,False
2005-07-01,8,6,8,12,11,False
2005-08-01,5,3,7,7,9,False
2005-09-01,9,3,9,4,12,False
2005-10-01,15,3,12,9,12,False
2005-11-01,13,4,12,8,12,False
2005-12-01,9,3,22,7,10,False
2006-01-01,11,0,3,12,7,False
2006-02-01,9,3,9,5,9,False
2006-03-01,12,2,11,5,16,False
2006-04-01,9,6,5,6,10,False
2006-05-01,9,3,10,3,10,False
2006-06-01,9,2,6,9,12,False
2006-07-01,5,2,7,3,14,False
2006-08-01,12,0,5,7,8,False
2006-09-01,18,3,6,4,7,False
2006-10-01,14,3,5,7,12,False
2006-11-01,10,3,25,7,11,False
2006-12-01,11,4,11,6,9,False
2007-01-01,10,2,7,7,12,False
2007-02-01,11,2,7,6,10,False
2007-03-01,12,1,7,7,17,False
2007-04-01,8,2,7,6,11,False
2007-05-01,9,2,8,6,11,False
2007-06-01,9,2,4,7,12,False
2007-07-01,9,4,4,5,9,False
2007-08-01,7,3,6,7,7,False
2007-09-01,8,2,5,14,14,False
2007-10-01,13,2,8,3,10,False
2007-11-01,12,1,6,7,9,False
2007-12-01,5,2,7,5,12,False
2008-01-01,12,2,5,6,8,False
2008-02-01,17,1,7,4,12,False
2008-03-01,25,2,5,4,11,False
2008-04-01,22,2,5,5,12,False
2008-05-01,20,1,6,3,12,False
2008-06-01,13,1,4,10,10,False
2008-07-01,13,1,3,5,6,False
2008-08-01,13,1,2,4,14,False
2008-09-01,14,2,3,5,15,False
2008-10-01,13,2,5,5,13,False
2008-11-01,16,1,6,3,13,False
2008-12-01,12,1,4,3,11,False
2009-01-01,14,2,3,5,13,False
2009-02-01,14,1,3,27,15,False
2009-03-01,12,1,4,7,10,False
2009-04-01,13,2,4,8,14,False
2009-05-01,11,1,3,8,17,False
2009-06-01,9,1,4,3,12,False
2009-07-01,7,1,4,6,11,False
2009-08-01,10,2,3,4,14,False
2009-09-01,10,1,4,6,17,False
2009-10-01,27,2,5,5,12,False
2009-11-01,21,2,3,6,16,False
2009-12-01,14,1,5,5,11,False
2010-01-01,13,0,5,5,15,False
2010-02-01,14,1,6,4,8,False
2010-03-01,16,1,4,5,11,False
2010-04-01,9,1,3,5,12,False
2010-05-01,11,2,3,4,10,False
2010-06-01,10,1,3,6,13,False
2010-07-01,9,1,1,5,9,False
2010-08-01,7,1,2,4,12,False
2010-09-01,12,1,4,3,14,False
2010-10-01,15,1,4,7,15,False
2010-11-01,17,0,4,2,18,False
2010-12-01,12,1,4,3,15,False
2011-01-01,13,1,2,5,12,False
2011-02-01,9,1,4,2,16,False
2011-03-01,13,2,4,10,20,False
2011-04-01,11,2,3,6,15,False
2011-05-01,10,1,3,5,13,False
2011-06-01,14,1,3,6,14,False
2011-07-01,9,2,2,4,12,False
2011-08-01,9,2,2,4,18,False
2011-09-01,10,2,3,4,15,False
2011-10-01,13,1,4,4,14,False
2011-11-01,12,1,2,4,12,False
2011-12-01,10,1,3,5,12,False
2012-01-01,12,1,2,4,11,False
2012-02-01,13,1,3,3,13,False
2012-03-01,12,1,3,4,23,False
2012-04-01,10,1,3,4,15,False
2012-05-01,10,1,2,4,17,False
2012-06-01,10,2,2,3,14,False
2012-07-01,7,1,1,4,10,False
2012-08-01,7,1,2,3,10,False
2012-09-01,9,1,4,3,11,False
2012-10-01,12,1,3,2,11,False
2012-11-01,11,1,3,3,11,False
