date,David Christian,Dave Meslin,Roger Ebert,Marcin Jakubowski,Iraola,isPartial
2004-01-01,8,0,46,0,1,False
2004-02-01,9,0,50,0,2,False
2004-03-01,6,0,43,0,0,False
2004-04-01,8,0,40,0,1,False
2004-05-01,8,0,40,0,0,False
2004-06-01,8,0,44,0,0,False
2004-07-01,8,0,51,0,0,False
2004-08-01,7,0,46,0,1,False
2004-09-01,8,0,33,0,1,False
2004-10-01,8,0,38,0,1,False
2004-11-01,9,0,34,0,1,False
2004-12-01,6,0,35,0,1,False
2005-01-01,8,0,32,0,1,False
2005-02-01,9,0,34,0,1,False
2005-03-01,9,0,24,0,0,False
2005-04-01,7,0,31,0,1,False
2005-05-01,8,0,37,0,1,False
2005-06-01,9,0,34,0,1,False
2005-07-01,7,0,37,0,1,False
2005-08-01,8,0,35,0,1,False
2005-09-01,8,0,30,0,1,False
2005-10-01,8,0,30,0,1,False
2005-11-01,6,0,32,0,1,False
2005-12-01,6,0,38,0,1,False
2006-01-01,8,0,35,0,0,False
2006-02-01,6,0,25,0,1,False
2006-03-01,6,0,27,0,1,False
2006-04-01,6,0,27,0,1,False
2006-05-01,7,0,28,0,1,False
2006-06-01,7,0,31,0,1,False
2006-07-01,6,0,37,0,1,False
2006-08-01,6,0,25,0,1,False
2006-09-01,6,0,20,0,0,False
2006-10-01,6,0,21,0,1,False
2006-11-01,5,0,21,0,1,False
2006-12-01,5,0,22,0,1,False
2007-01-01,6,0,18,0,1,False
2007-02-01,6,0,15,0,1,False
2007-03-01,6,0,15,0,1,False
2007-04-01,5,0,20,0,1,False
2007-05-01,6,0,14,0,1,False
2007-06-01,5,0,12,0,1,False
2007-07-01,5,0,14,0,1,False
2007-08-01,5,0,13,0,0,False
2007-09-01,5,0,13,0,1,False
2007-10-01,6,0,13,0,1,False
2007-11-01,6,0,16,0,1,False
2007-12-01,5,0,17,0,1,False
2008-01-01,5,0,17,0,0,False
2008-02-01,5,0,14,0,1,False
2008-03-01,5,0,13,0,1,False
2008-04-01,5,0,13,0,1,False
2008-05-01,6,0,13,0,1,False
2008-06-01,5,0,14,0,1,False
2008-07-01,6,0,18,0,0,False
2008-08-01,6,0,13,0,1,False
2008-09-01,5,0,15,0,1,False
2008-10-01,5,0,14,0,1,False
