date,Amit Sood,Leonard Susskind,Ed Boyden,Thomas Heatherwick,Iraola,isPartial
2004-01-01,0,18,0,26,13,False
2004-02-01,0,9,0,12,35,False
2004-03-01,0,11,0,22,11,False
2004-04-01,0,8,0,13,11,False
2004-05-01,7,7,7,11,10,False
2004-06-01,0,7,0,10,11,False
2004-07-01,8,8,0,8,10,False
2004-08-01,0,0,0,0,12,False
2004-09-01,0,13,6,13,16,False
2004-10-01,7,7,0,7,15,False
2004-11-01,0,10,0,13,20,False
2004-12-01,0,0,0,10,12,False
2005-01-01,5,0,5,22,18,False
2005-02-01,6,6,11,11,14,False
2005-03-01,0,5,5,19,11,False
2005-04-01,0,8,5,9,14,False
2005-05-01,5,0,0,9,16,False
2005-06-01,5,5,0,16,17,False
2005-07-01,14,0,0,8,14,False
2005-08-01,5,0,0,9,12,False
2005-09-01,0,0,0,11,17,False
2005-10-01,4,4,0,7,16,False
2005-11-01,0,4,0,9,16,False
2005-12-01,4,8,0,6,13,False
2006-01-01,3,8,3,7,10,False
2006-02-01,7,5,0,8,13,False
2006-03-01,3,9,0,6,22,False
2006-04-01,0,10,0,3,14,False
2006-05-01,0,0,3,12,14,False
2006-06-01,3,5,0,100,16,False
2006-07-01,0,3,3,14,19,False
2006-08-01,0,9,0,8,11,False
2006-09-01,0,4,3,19,10,False
2006-10-01,5,4,2,19,16,False
2006-11-01,2,2,0,23,15,False
2006-12-01,0,3,0,7,13,False
2007-01-01,0,5,2,8,16,False
2007-02-01,0,3,0,8,14,False
2007-03-01,2,0,3,15,23,False
2007-04-01,2,2,2,11,15,False
2007-05-01,4,4,2,10,14,False
2007-06-01,2,4,2,21,16,False
2007-07-01,3,4,2,10,13,False
2007-08-01,2,2,2,11,10,False
2007-09-01,0,2,3,12,19,False
2007-10-01,0,2,4,14,14,False
2007-11-01,1,3,2,15,12,False
2007-12-01,2,3,2,8,17,False
2008-01-01,1,3,0,8,11,False
2008-02-01,1,4,2,6,17,False
2008-03-01,1,4,4,8,15,False
2008-04-01,1,2,2,5,16,False
2008-05-01,0,2,1,10,16,False
2008-06-01,1,2,1,9,14,False
2008-07-01,3,4,1,5,9,False
2008-08-01,0,7,1,5,19,False
2008-09-01,1,7,2,7,21,False
2008-10-01,1,4,2,4,18,False
2008-11-01,1,3,2,7,18,False
2008-12-01,1,5,2,3,15,False
2009-01-01,2,4,2,4,17,False
2009-02-01,2,5,2,7,20,False
2009-03-01,1,5,2,4,14,False
2009-04-01,1,5,1,3,18,False
2009-05-01,1,3,2,5,23,False
2009-06-01,1,6,1,4,16,False
2009-07-01,1,5,2,6,15,False
2009-08-01,1,4,1,4,19,False
2009-09-01,1,5,1,6,22,False
2009-10-01,1,5,1,6,16,False
2009-11-01,1,6,1,7,21,False
2009-12-01,0,7,2,5,16,False
2010-01-01,2,4,3,5,20,False
2010-02-01,1,5,1,5,10,False
2010-03-01,1,5,1,7,15,False
2010-04-01,1,9,2,9,16,False
2010-05-01,1,6,1,10,14,False
2010-06-01,1,8,2,7,17,False
2010-07-01,1,5,1,9,12,False
2010-08-01,1,10,1,2,16,False
2010-09-01,1,9,2,7,19,False
2010-10-01,1,7,1,4,20,False
2010-11-01,1,8,1,6,24,False
2010-12-01,1,8,1,5,20,False
2011-01-01,1,8,1,4,16,False
2011-02-01,2,6,2,8,22,False
2011-03-01,1,8,1,7,27,False
2011-04-01,1,11,1,4,20,False
2011-05-01,4,14,4,13,18,False
2011-06-01,3,11,2,9,19,False
2011-07-01,4,9,3,6,16,False
2011-08-01,1,9,2,5,24,False
2011-09-01,1,7,1,6,20,False
2011-10-01,2,9,1,6,19,False
2011-11-01,1,12,3,7,17,False
2011-12-01,1,9,1,6,16,False
2012-01-01,1,7,2,8,15,False
2012-02-01,1,6,2,7,18,False
2012-03-01,1,7,2,6,32,False
2012-04-01,2,6,1,7,20,False
2012-05-01,2,7,2,12,24,False
2012-06-01,1,7,1,13,19,False
2012-07-01,0,7,1,35,13,False
2012-08-01,1,6,2,26,14,False
2012-09-01,1,8,2,20,15,False
2012-10-01,1,6,2,13,15,False
2012-11-01,1,10,1,11,15,False
2012-12-01,1,9,1,9,14,False
2013-01-01,1,8,1,11,14,False
2013-02-01,1,8,2,8,14,False
2013-03-01,1,8,5,9,13,False
2013-04-01,1,10,3,8,15,False
2013-05-01,1,9,1,8,12,False
2013-06-01,1,9,1,8,14,False
2013-07-01,1,7,2,11,14,False
2013-08-01,1,9,1,11,14,False
2013-09-01,1,6,2,11,18,False
2013-10-01,1,7,1,9,15,False
2013-11-01,1,9,1,10,14,False
2013-12-01,2,9,1,7,14,False
2014-01-01,1,10,1,8,13,False
2014-02-01,3,6,1,9,15,False
2014-03-01,2,9,1,7,16,False
2014-04-01,2,9,1,6,13,False
2014-05-01,2,8,2,7,14,False
2014-06-01,2,7,1,7,12,False
2014-07-01,1,6,2,6,15,False
2014-08-01,1,5,1,6,20,False
2014-09-01,1,5,1,10,21,False
2014-10-01,1,8,1,8,16,False
2014-11-01,2,9,1,9,15,False
2014-12-01,0,9,1,7,13,False
2015-01-01,2,7,1,7,12,False
2015-02-01,2,7,1,11,15,False
2015-03-01,2,7,1,14,21,False
2015-04-01,2,6,1,8,22,False
2015-05-01,1,8,1,6,58,False
2015-06-01,3,8,1,9,26,False
2015-07-01,2,5,1,6,29,False
2015-08-01,2,6,1,8,20,False
2015-09-01,2,6,1,10,17,False
2015-10-01,2,6,1,8,14,False
2015-11-01,2,6,2,7,13,False
2015-12-01,1,6,1,6,12,False
2016-01-01,1,6,0,7,14,False
2016-02-01,2,6,1,8,14,False
2016-03-01,2,5,1,6,15,False
2016-04-01,1,5,1,6,11,False
2016-05-01,1,5,1,9,19,False
2016-06-01,3,4,0,6,15,False
2016-07-01,2,6,1,4,16,False
2016-08-01,2,5,1,6,10,False
2016-09-01,2,5,2,10,15,False
2016-10-01,2,5,1,8,14,False
2016-11-01,1,5,2,8,19,False
2016-12-01,1,5,1,5,11,False
2017-01-01,1,6,2,5,10,False
2017-02-01,1,5,1,5,12,False
2017-03-01,2,5,1,5,11,False
2017-04-01,1,6,1,5,11,False
2017-05-01,1,6,1,4,14,False
2017-06-01,1,4,1,5,11,False
2017-07-01,2,4,0,3,12,False
2017-08-01,1,4,1,5,10,False
2017-09-01,1,5,1,8,10,False
2017-10-01,1,4,1,6,9,False
2017-11-01,1,4,1,5,8,False
2017-12-01,1,5,1,5,8,False
2018-01-01,2,4,1,5,11,False
2018-02-01,1,5,1,7,10,False
2018-03-01,1,8,2,9,8,False
2018-04-01,1,5,2,5,10,False
2018-05-01,1,6,1,5,10,False
2018-06-01,2,5,1,5,10,False
2018-07-01,2,4,1,3,9,False
2018-08-01,1,4,1,4,10,False
2018-09-01,2,5,1,5,11,False
2018-10-01,1,4,1,7,12,False
2018-11-01,1,2,1,7,10,False
2018-12-01,1,6,1,5,9,False
2019-01-01,1,5,1,5,9,False
2019-02-01,2,5,1,4,11,False
2019-03-01,1,4,1,13,9,False
2019-04-01,1,4,1,7,11,False
2019-05-01,1,7,2,7,9,False
2019-06-01,1,5,1,6,10,False
2019-07-01,1,6,1,6,14,False
2019-08-01,1,5,1,5,11,False
2019-09-01,1,5,1,8,10,False
