date,Hans Rosling,Tony Robbins,Julia Sweeney,Joshua Prince-Ramus,Iraola,isPartial
2004-01-01,0,56,3,0,1,False
2004-02-01,1,39,1,0,4,False
2004-03-01,0,35,6,0,2,False
2004-04-01,0,26,3,0,3,False
2004-05-01,0,30,13,0,1,False
2004-06-01,0,31,0,0,4,False
2004-07-01,0,35,1,0,2,False
2004-08-01,0,32,0,0,3,False
2004-09-01,0,34,3,0,5,False
2004-10-01,1,32,3,0,3,False
2004-11-01,0,30,3,0,3,False
2004-12-01,0,29,3,0,3,False
2005-01-01,0,38,5,0,3,False
2005-02-01,2,33,1,0,1,False
2005-03-01,1,30,3,0,1,False
2005-04-01,1,28,4,0,1,False
2005-05-01,0,20,2,0,3,False
2005-06-01,1,33,13,0,3,False
2005-07-01,2,29,3,0,2,False
2005-08-01,0,31,3,0,1,False
2005-09-01,0,29,2,0,4,False
2005-10-01,1,24,5,0,4,False
2005-11-01,0,20,2,0,3,False
2005-12-01,1,38,3,0,3,False
2006-01-01,0,38,1,0,2,False
2006-02-01,1,30,2,1,3,False
2006-03-01,0,25,2,0,3,False
2006-04-01,0,21,1,0,3,False
2006-05-01,0,27,3,0,3,False
2006-06-01,1,28,5,0,3,False
2006-07-01,1,22,2,0,3,False
2006-08-01,0,25,2,0,1,False
2006-09-01,1,26,2,0,2,False
2006-10-01,1,23,6,0,2,False
2006-11-01,1,25,6,0,3,False
2006-12-01,1,19,6,0,3,False
2007-01-01,1,19,4,0,2,False
2007-02-01,0,19,3,0,4,False
2007-03-01,2,29,4,0,3,False
2007-04-01,1,21,4,0,2,False
2007-05-01,1,21,2,0,2,False
2007-06-01,2,22,3,0,2,False
2007-07-01,2,21,3,0,3,False
2007-08-01,2,20,2,0,3,False
2007-09-01,2,20,2,0,2,False
2007-10-01,2,18,3,0,2,False
2007-11-01,3,22,3,0,2,False
2007-12-01,1,19,2,0,2,False
2008-01-01,2,24,3,1,3,False
2008-02-01,1,22,2,0,2,False
2008-03-01,2,19,3,1,3,False
2008-04-01,1,18,3,0,3,False
2008-05-01,2,19,2,0,3,False
2008-06-01,1,20,2,0,2,False
2008-07-01,1,20,2,0,1,False
2008-08-01,1,20,2,0,4,False
2008-09-01,1,20,1,0,4,False
2008-10-01,2,19,2,0,2,False
2008-11-01,2,18,2,0,2,False
2008-12-01,1,20,1,1,3,False
2009-01-01,1,21,2,0,3,False
2009-02-01,2,21,3,0,3,False
2009-03-01,2,22,2,0,3,False
2009-04-01,2,24,1,0,3,False
2009-05-01,7,26,1,0,3,False
2009-06-01,3,27,2,0,3,False
2009-07-01,2,25,2,0,3,False
2009-08-01,3,27,2,0,3,False
2009-09-01,4,23,2,0,4,False
2009-10-01,3,22,1,0,4,False
2009-11-01,5,23,1,0,3,False
2009-12-01,4,24,7,0,3,False
2010-01-01,3,26,3,1,4,False
2010-02-01,2,22,2,0,3,False
2010-03-01,4,21,3,0,2,False
2010-04-01,2,20,2,0,3,False
2010-05-01,2,19,2,0,3,False
2010-06-01,4,20,2,0,2,False
2010-07-01,4,49,2,0,2,False
2010-08-01,3,58,2,0,2,False
2010-09-01,4,27,2,0,3,False
2010-10-01,4,25,2,0,3,False
2010-11-01,3,23,2,0,3,False
2010-12-01,10,20,1,0,4,False
2011-01-01,6,22,2,0,2,False
2011-02-01,6,21,1,0,3,False
2011-03-01,5,22,2,0,4,False
2011-04-01,4,21,4,0,3,False
2011-05-01,4,18,2,0,4,False
2011-06-01,3,19,2,0,4,False
2011-07-01,4,18,2,0,2,False
2011-08-01,3,18,1,0,4,False
2011-09-01,4,20,2,0,4,False
2011-10-01,4,16,2,0,3,False
2011-11-01,6,20,1,0,2,False
2011-12-01,4,18,1,0,3,False
2012-01-01,8,23,2,0,2,False
2012-02-01,5,41,2,0,3,False
2012-03-01,4,29,2,0,4,False
2012-04-01,6,46,3,0,3,False
2012-05-01,5,32,3,0,4,False
2012-06-01,4,23,2,0,3,False
2012-07-01,3,50,2,0,2,False
2012-08-01,4,28,2,0,2,False
2012-09-01,4,26,2,0,2,False
2012-10-01,4,24,1,0,2,False
2012-11-01,4,25,2,0,3,False
2012-12-01,4,22,2,0,2,False
2013-01-01,4,34,2,0,3,False
2013-02-01,5,26,2,0,2,False
2013-03-01,3,30,1,0,2,False
2013-04-01,3,25,3,0,2,False
2013-05-01,3,28,2,0,2,False
2013-06-01,3,25,2,0,2,False
2013-07-01,2,27,2,0,2,False
2013-08-01,2,25,1,0,2,False
2013-09-01,3,21,1,0,3,False
2013-10-01,4,21,2,0,2,False
2013-11-01,7,28,2,0,2,False
2013-12-01,3,22,1,0,2,False
2014-01-01,5,25,2,0,2,False
2014-02-01,8,23,1,0,2,False
2014-03-01,4,25,1,0,3,False
2014-04-01,4,22,2,0,2,False
2014-05-01,4,20,2,0,2,False
2014-06-01,3,22,1,0,2,False
2014-07-01,3,20,1,0,2,False
2014-08-01,3,20,1,0,3,False
2014-09-01,6,23,1,0,4,False
