date,Jack Horner,Janet Echelman,Alice Dreger,JD Schramm,Iraola,isPartial
2004-01-01,53,0,0,0,23,False
2004-02-01,15,15,0,0,60,False
2004-03-01,56,0,0,0,18,False
2004-04-01,63,0,0,0,19,False
2004-05-01,46,0,0,0,17,False
2004-06-01,42,0,0,0,19,False
2004-07-01,59,0,0,0,17,False
2004-08-01,40,0,12,0,20,False
2004-09-01,30,0,11,0,28,False
2004-10-01,57,0,0,0,26,False
2004-11-01,49,0,11,0,34,False
2004-12-01,53,11,11,0,21,False
2005-01-01,40,0,9,0,31,False
2005-02-01,43,0,0,0,24,False
2005-03-01,49,0,0,0,19,False
2005-04-01,49,9,0,0,24,False
2005-05-01,80,0,0,0,27,False
2005-06-01,30,0,0,0,29,False
2005-07-01,38,0,0,0,25,False
2005-08-01,48,0,0,0,21,False
2005-09-01,41,7,0,0,29,False
2005-10-01,45,7,0,0,27,False
2005-11-01,29,7,0,0,27,False
2005-12-01,40,0,0,0,22,False
2006-01-01,48,6,0,6,17,False
2006-02-01,38,6,0,0,22,False
2006-03-01,33,5,5,0,38,False
2006-04-01,30,0,0,0,24,False
2006-05-01,35,5,5,0,24,False
2006-06-01,30,5,11,0,27,False
2006-07-01,21,0,0,0,32,False
2006-08-01,36,10,10,0,20,False
2006-09-01,36,0,5,0,17,False
2006-10-01,34,0,4,0,27,False
2006-11-01,31,0,8,0,25,False
2006-12-01,58,0,4,0,22,False
2007-01-01,34,4,7,0,27,False
2007-02-01,34,0,0,0,24,False
2007-03-01,33,0,0,0,39,False
2007-04-01,30,4,4,0,25,False
2007-05-01,31,0,3,0,25,False
2007-06-01,20,6,6,0,27,False
2007-07-01,22,0,3,0,22,False
2007-08-01,27,3,6,3,17,False
2007-09-01,34,6,6,0,32,False
2007-10-01,31,4,3,3,24,False
2007-11-01,26,0,3,0,21,False
2007-12-01,28,4,3,0,28,False
2008-01-01,33,4,4,0,18,False
2008-02-01,22,0,3,0,29,False
2008-03-01,28,2,0,0,25,False
2008-04-01,27,2,2,0,27,False
2008-05-01,29,2,2,0,27,False
2008-06-01,23,2,2,0,24,False
2008-07-01,32,0,5,0,15,False
2008-08-01,23,0,0,0,32,False
2008-09-01,25,2,3,0,35,False
2008-10-01,21,2,6,0,30,False
2008-11-01,33,3,4,0,31,False
2008-12-01,29,2,3,0,25,False
2009-01-01,29,3,3,0,30,False
2009-02-01,30,2,4,0,35,False
2009-03-01,29,3,2,2,24,False
2009-04-01,33,4,2,0,32,False
2009-05-01,25,2,2,2,39,False
2009-06-01,28,2,2,0,27,False
2009-07-01,30,0,0,0,26,False
2009-08-01,28,3,7,0,32,False
2009-09-01,31,4,3,0,38,False
2009-10-01,36,4,1,0,28,False
2009-11-01,30,1,1,0,36,False
2009-12-01,30,1,2,0,27,False
2010-01-01,25,4,2,0,35,False
2010-02-01,20,1,4,0,18,False
2010-03-01,20,1,3,0,26,False
2010-04-01,21,1,1,0,27,False
2010-05-01,24,1,1,0,24,False
2010-06-01,26,0,2,0,29,False
2010-07-01,27,3,1,1,20,False
2010-08-01,29,0,1,0,27,False
2010-09-01,28,2,2,0,32,False
2010-10-01,25,3,2,0,34,False
2010-11-01,32,2,1,0,42,False
2010-12-01,34,4,3,1,34,False
2011-01-01,29,2,1,2,28,False
2011-02-01,25,1,2,0,38,False
2011-03-01,25,1,1,0,46,False
2011-04-01,33,2,2,0,34,False
2011-05-01,31,0,1,0,31,False
2011-06-01,28,10,4,3,33,False
2011-07-01,25,10,2,1,28,False
2011-08-01,29,4,1,3,42,False
2011-09-01,29,5,2,0,34,False
2011-10-01,33,5,1,0,32,False
2011-11-01,31,3,2,0,28,False
2011-12-01,31,2,1,0,27,False
2012-01-01,37,4,1,1,25,False
2012-02-01,39,5,1,0,30,False
2012-03-01,29,3,1,0,54,False
2012-04-01,33,4,1,1,34,False
2012-05-01,27,3,1,1,41,False
2012-06-01,25,2,1,1,32,False
2012-07-01,21,4,1,1,23,False
2012-08-01,28,3,2,0,24,False
2012-09-01,36,3,1,1,26,False
2012-10-01,24,3,1,0,25,False
2012-11-01,37,4,2,1,27,False
2012-12-01,27,5,1,1,23,False
2013-01-01,30,2,1,1,24,False
2013-02-01,27,4,1,0,25,False
2013-03-01,28,4,2,1,23,False
2013-04-01,32,2,2,1,25,False
2013-05-01,26,3,1,1,21,False
2013-06-01,24,2,1,1,23,False
